o	o	Interj()	---
heere	heer	N(sing)	---
godt	god	N(sing)	---
coninc	koning	N(sing)	---
almachtich	almachtig	Adj()	---
die't	die+het	Pron(rel)+Art(def)	---
al	al	Adv(gener)	---
hebt	hebben	V(fin,pres,aux_cop)	---
in	in	Adp()	---
ghewelt	geweld	N(sing)	---
u	gij	Pron(poss)	---
schepsel	schepsel	N(sing)	---
hoort	horen	V(fin,pres,lex)	---
tot	tot	Adp()	---
u	gij	Pron(pers,2,sing)	---
seer	zeer	Adv(gener)	---
clachtich	klachtig	Adj()	---
in	in	Adp()	---
crancken	krank	Adj()	---
staet	staat	N(sing)	---
gestelt	stellen	V(participle,past)	---
de	de	Art(def)	---
vyanden	vijand	N(plu)	---
die	die	Pron(rel)	---
ons	wij	Pron(pers,1,plu)	---
omringhen	onmringen	V(fin,pres,lex)	---
en	en	Conj(coord)	---
dreygen	dreigen	V(fin,past,lex)	---
met	met	Adp()	---
groot	groot	Adj()	---
quaet	kwaad	N(sing)	---
wilt	willen	V(fin,pres,aux_cop)	---
door	door	Adp()	---
u	uw	Pron(poss)	---
mogentheyt	mogendheid	N(sing)	---
bedwinghen	bedwingen	V(fin,pres,lex)	---
belet	beletten	V(fin,pres,lex)	---
godtloosen	godloze	Adj()	---
raet	raad	N(sing)	---
ghy	gij	Pron(pers,2,plu)	---
weet	weten	V(fin,pres,lex)	---
o	o	Interj()	---
heer	heer	N(sing)	---
dat	dat	Conj(subord)	---
wy	wij	Pron(pers,1,plu)	---
u	gij	Pron(pers,2,sing)	---
soecken	zoeken	V(fin,pres,lex)	---
en	en	Conj(coord)	---
dijn	dijn	Pron(poss)	---
godtlijcke	goddelijk	Adj()	---
woort	woord	N(sing)	---
end'	en	Conj(coord)	---
hier	hier	Adv(dem)	---
door	door	Adp()	---
sy	zij	Pron(pers,3,plu)	---
ons	wij	Pron(pers,1,plu)	---
vervloecken	vervloeken	V(fin,pres,lex)	---
men	men	Pron(indef)	---
brant	branden	V(fin,pres,lex)	---
men	men	Pron(indef)	---
rooft	roven	V(fin,pres,lex)	---
men	men	Pron(indef)	---
moort	moorden	V(fin,pres,lex)	---
dat	dat	Conj(subord)	---
st'raffe	straf	N(sing)	---
is	zijn	V(fin,pres,aux_cop)	---
onser	ons	Pron(poss)	---
misdaden	misdaad	N(plu)	---
belijden	belijden	V(fin,pres,lex)	---
wy	wij	Pron(pers,1,plu)	---
voor	voor	Adp()	---
u	gij	Pron(pers,2,sing)	---
nochtans	nochtans	Adv(gener)	---
wy	wij	Pron(pers,1,plu)	---
die	die	Pron(rel)	---
seer	zeer	Adv(gener)	---
zijn	zijn	V(fin,pres,lex)	---
beladen	beladen	V(participle,past)	---
roepen	roepen	V(fin,pres,lex)	---
heer	heer	N(sing)	---
helpt	helpen	V(imp)	---
ons	ons	Pron(pers,1,plu)	---
nu	nu	Adv(dem)	---
ghy	gij	Pron(pers,2,plu)	---
naemt	nemen	V(fin,past,lex)	---
van	van	Adp()	---
hier	hier	Adv(dem)	---
in	in	Adp()	---
d'eerste	de+eerst	Art(def)+Num(ord)	---
tijden	tijd	N(plu)	---
door	door	Adp()	---
uwe	uw	Pron(poss)	---
watervloet	watervloed	N(sing)	---
reusen	reus	N(plur)	---
seer	zeer	Adv(gener)	---
groot	groot	Adj()	---
en	en	Conj(coord)	---
cloeck	kloek	Adj()	---
int	in+het	Adp()+Art(def)	---
strijden	strijden	V(infin,subst)	---
u	gij	Pron(poss)	---
volck	volk	N(sing)	---
hebt	hebben	V(fin,pres,aux_cop)	---
ghy	gij	Pron(pers,2,sing)	---
behoet	behoeden	V(participle,past)	---
de	de	Art(def)	---
hoofden	hoofd	N(plu)	---
vanden	de+van	Art(def)+Adp()	---
zodomieten	sodomiet	N(plu)	---
u	uw	Pron(poss)	---
hant	hand	N(sing)	---
