ontfermt	ontfermen	V(imp)	---
dy	du	Pron(pers,2,sing)	---
nu	nu	Adv(dem)	---
onser	ons	Pron(poss)	---
o	o	Interj()	---
heere	heer	N(sing)	---
godt	god	N(sing)	---
ghi	gij	Pron(pers,2,sing)	---
die	die	Art(rel)	---
daer	daar	Adv(dem)	---
zijt	zijn	V(fin,pres,aux_cop)	---
dontfermer	de+ontfermer	Art(def)+N(sing)	---
alder	aller	Num(indef)	---
dinghen	ding	N(plu)	---
wilt	willen	V(fin,pres,aux_cop)	---
ons	wij	Pron(pers,1,plu)	---
doch	doch	Adv(gener)	---
niet	niet	Adv(neg)	---
gheheelick	geheellijk	Adv(gener)	---
t'onderbringhen	ten+onder+brengen	???	---
al	al	Adv(gener)	---
hebt	hebben	V(fin,pres,aux_cop)	---
ghy	gij	Pron(pers,2,sing)	---
recht	recht	N(sing)	---
na	na	Adp()	---
dijn	dijn	Pron(poss)	---
woort	woord	N(sing)	---
en	een	Conj(coord)	---
gebodt	gebod	N(sing)	---
denct	denken	V(imp)	---
dat	dat	Conj(subord)	---
dijn	dijn	Pron(poss)	---
schepsel	schepsel	N(sing)	---
stof	stof	N(sing)	---
is	zijn	V(fin,pres,aux_cop)	---
ende	en	Conj(coord)	---
slijck	slijk	N(sing)	---
aerme	arm	adj()	---
wormkens	worm	N(plu)	---
wyens	wiens	Pron(rel)	---
dagen	dag	N(plu)	---
haest	haast	Adv(gener)	---
eynden	eindigen	V(fin,pres,lex)	---
ende	en	Conj(coord)	---
ghy	gij	Pron(pers,2,sing)	---
zijt	zijn	V(fin,pres,lex)	---
heer	heer	N(sing)	---
van	van	Adp()	---
ghenaden	genade	N(plu)	---
rijck	rijk	Adv(gener)	---
wilt	willen	V(fin,pres,aux_cop)	---
dijn	dijn	Pron(poss)	---
aenschijn	aanschijn	N(sing)	---
van	van	Adp()	---
ons	wij	Pron(pers,1,plu)	---
doch	doch	Adv(gener)	---
nu	nu	Adv(gener)	---
niet	niet	Adv(neg)	---
weynden	wenden	V(infin)	---
het	het	Pron(pers,3,sing)	---
staet	staan	V(fin,pres,lex)	---
met	met	Adp()	---
ons	wij	Pron(pers,1,plu)	---
ghelijckt'	gelijk+het	Adv(gener)+Art(def)	---
met	met	Adp()	---
juda	Juda	N(prop)	---
stont	staan	V(fin,past,lex)	---
als	als	Conj(subord)	---
dijne	dijn	Pron(poss)	---
hant	hand	N(sing)	---
toesondt	toezenden	V(fin,past,lex)	---
verdiende	verdienen	Adj()	---
plaghen	plaag	N(plu)	---
men	men	Pron(indef)	---
hoort	horen	V(fin,pres,lex)	---
niet	niet	Adv(neg)	---
dan	dan	Conj(comp)	---
kermen	kermen	V(infin)	---
schreyen	schreien	V(infin)	---
en	en	Conj(coord)	---
claghen	klagen	V(infin)	---
int'	in+het	Adp()+Art(def)	---
stad	stad	N(sing)	---
opt'	op+het	Adp()+Art(def)	---
lant	land	N(sing)	---
want	want	Conj(coord)	---
droefheydt	droefheid	N(sing)	---
t'hert	het+hart	Art(def)+N(sing)	---
doorwont	doorwonden	V(fin,pres,lex)	---
ons	ons	Pron(poss)	---
sonden	zonde	N(plu)	---
zijn	zijn	V(fin,pres,aux_cop)	---
door	door	Adp()	---
u	gij	Pron(poss)	---
straff	straf	N(sing)	---
opghewaeckt	opwaken	V(participle,past)	---
op	op	Adp()	---
onsen	ons	Pron(poss)	---
hals	hals	N(sing)	---
zijn	zijn	V(fin,pres,aux_cop)	---
sy	zij	Pron(rel)	---
te	te	Adp()	---
recht	recht	???	---
gegoten	gieten	V(participle,past)	---
ons	wij	Pron(poss)	---
onghehoorsaemheyt	ongehoorzaamheid	N(sing)	---
die	die	Pron(rel)	---
heeft	hebben	V(fin,pres,aux_cop)	---
gemaeckt	maken	V(participle,past)	---
dat	dat	Conj(subord)	---
wy	wij	Pron(pers,1,plu)	---
met	met	Adp()	---
toorne	toorn	N(sing)	---
worden	worden	V(fin,pres,aux_cop)	---
overgoten	overgieten	V(participle,past)	---
het	het	Pron(pers,3,sing)	---
schijnt	schijnen	V(fin,pres,aux_cop)	---
dat	dat	Conj(subord)	---
ghy	gij	Pron(pers,2,sing)	---
o	o	Interj()	---
trooster	trooster	N(sing)	---
inder	in+de	Adp()+Art(def)	---
noot	nood	N(sing)	---
die	die	Pron(rel)	---
hier	hier	Adv(dem)	---
gheneest	genezen	V(fin,pres,lex)	---
alle	al	Num(indef)	---
t'smenschen	???	???	---
ghebreken	gebrek	N(plu)	---
door	door	Adp()	---
ons	wij	Pron(poss)	---
misdaet	misdaad	N(sing)	---
van	van	Adp()	---
ons	wij	Pron(poss)	---
heel	heil	N(sing)	---
zijt	zijn	V(fin,pres,aux_cop)	---
geweken	wijken	V(participle,past)	---
en	en	Conj(coord)	---
ons	wij	Pron(pers,1,plu)	---
als	als	Conj(comp)	---
nu	nu	Adv(dem)	---
ganslick	ganselijk	Adv(gener)	---
van	van	Adp()	---
hulp	hulp	N(sing)	---
laet	laten	V(fin,pres,lex)	---
bloot	bloot	Adv(gener)	---
keert	keren	V(imp)	---
weder	weder	Adv(gener)	---
heer	heer	N(sing)	---
ende	en	Conj(coord)	---
dijn	dijn	Pron(poss)	---
volck	volk	N(sing)	---
vervult	vervullen	V(participle,past)	---
met	met	Adp()	---
dijnen	dijn	Pron(poss)	---
troost	troost	N(sing)	---
en	en	Conj(coord)	---
cracht	kracht	N(sing)	---
van	van	Adp()	---
uwen	uw	Pron(poss)	---
gheeste	geest	N(sing)	---
gheeft	geven	V(fin,pres,lex)	---
dat	dat	Pron(rel)	---
oprecht	oprecht	???	---
werde	worden	V(fin,past,lex)	---
bekent	bekennen	V(participle,past)	---
ons	ons	Pron(poss)	---
schult	schuld	N(sing)	---
en	en	Conj(coord)	---
boete	boete	N(sing)	---
doen	doen	V(infin)	---
van	van	Adp()	---
herten	hart	N(plu)	---
minst	minst	Adv(gener)	---
en	en	Conj(coord)	---
meeste	meest	Adv(gener)	---
wy	wij	Pron(pers,1,plu)	---
hebben	hebben	V(fin,pres,aux_cop)	---
niet	niet	Adv(neg)	---
ghehoort	horen	V(participle,past)	---
het	het	Art(def)	---
goet	goed	Adj()	---
vermaen	vermaan	N(sing)	---
als	als	Conj(comp)	---
ons	wij	Pron(pers,1,plu)	---
dijn	dijn	Pron(poss)	---
woort	woord	N(sing)	---
oprechtlick	oprechtelijk	Adv(gener)	---
wordt	worden	V(fin,pres,aux_cop)	---
