een	een	Art(indef)	---
yegelijck	iegelijk	Pron(indef)	---
sy	zij	Pron(pers,3,plu)	---
onderdanich	onderdanig	Adj()	---
mede	mede	Adv(gener)	---
de	de	Art(def)	---
ouerheyt	overheid	N(sing)	---
en	en	Conj(coord)	---
macht	macht	N(sing)	---
in	in	Adp()	---
elcker	elk	Pron(indef)	---
stede	stad	N(sing)	---
want	want	Conj(coord)	---
daer	daar	Adv(dem)	---
en	ne	Adv(neg)	---
is	zijn	V(fin,pres,aux_cop)	---
hier	hier	Adv(dem)	---
geen	geen	Adv(neg)	---
macht	macht	N(sing)	---
dan	dan	Conj(comp)	---
van	van	Adp()	---
gode	god	N(sing)	---
ende	en	Conj(coord)	---
diet	duiden	Pron(rel)+Pron(pers,3,sing)	---
zijn	zijn	V(fin,pres,aux_cop)	---
die	de	Pron(dem)	---
zijnt	zijn+het	V(fin,pres,lex)+Pron(pers,3,sing)	---
door	door	Adp()	---
gods	god	N(sing)	---
gebode	gebod	N(sing)	---
wie	wie	Pron(inter)	---
haer	zij	Pron(pers,3,sing)	---
dan	dan	Adv(dem)	---
wederstaet	weerstaan	V(fin,pres,lex)	---
met	met	Adp()	---
daet	daad	N(sing)	---
oft	of	Conj(coord)	---
woorden	woord	N(plu)	---
die	die	Pron(rel)	---
is	zijn	V(fin,pres,aux_cop)	---
hier	hier	Adv(dem)	---
wederstaende	weerstaan	V(particle,pres)	---
godes	god	N(sing)	---
oorden	oord	N(sing)	---
bysonder	bijzonder	Adj()	---
diese	die+zij	Pron(rel)+Pron(pers,3,plu)	---
wederstaen	weerstaan	V(infin)	---
seer	zeer	Adv()	---
dwalen	dwalen	V(infin)	---
want	want	Conj(coord)	---
doordeel	het+oordeel	Art(def)+N(sing)	---
gods	god	N(prop)	---
op	op	Adp()	---
hen	hem	Pron(refl,3,plu)	---
seluen	zelf	Pron(dem)	---
sy	zij	Pron(pers,3,plu)	---
halen	halen	V(infin)	---
voor	voor	Adp()	---
d'ouerheyt	de+overheid	Art(def)+N(sing)	---
doruen	durven	V(infin)	---
hen	zij	Pron(pers,3,plu)	---
niet	niet	Adv(neg)	---
verschricken	verschrikken	V(infin)	---
die	die	Pron(rel)	---
goet	goed	Adj()	---
doen	doen	V(infin)	---
maer	maar	Conj(coord)	---
die	die	Pron(rel)	---
hen	zij	Pron(pers,3,plu)	---
qualijck	kwalijk	Adv(gener)	---
aen	aan	Adp()	---
schicken	schikken	V(infin)	---
daerom	daarom	PronAdv(dem)	---
en	ne	Adv(neg)	---
wilt	willen	V(fin,pres,aux_cop)	---
ghy	gij	Pron(pers,2,plu)	---
hier	hier	Adv(dem)	---
de	de	Art(def)	---
macht	macht	N(sing)	---
niet	niet	Adv(neg)	---
vreesen	vrezen	V(infin)	---
doet	doen	V(fin,pres,aux_cop)	---
goet	goed	Adj()	---
ghy	gij	Pron(pers,2,plu)	---
wert	worden	V(fin,pres,aux_cop)	---
als	als	Conj(comp)	---
dan	dan	Conj(comp)	---
van	van	Adp()	---
haer	haar	Pron(pers,3,sing)	---
ghepresen	prijzen	V(participle,past)	---
vvant	want	Conj(subord)	---
sy	zij	Pron(pers,3,sing)	---
is	zijn	V(fin,pres,aux_cop)	---
gods	god	N(sing)	---
dienersse	dienares	N(sing)	---
tot	tot	Adp()	---
den	de	Art(def)	---
goede	goed	Adj()	---
doet	doen	V(fin,pres,lex)	---
ghy	gij	Pron(pers,2,plu)	---
het	het	Pron(pers,3,sing)	---
quaet	kwaad	N(sing)	---
vreest	vrezen	V(fin,pres,lex)	---
en	en	Conj(coord)	---
zijt	zijn	V(imp)	---
op	op	Adp()	---
v	uw	Pron(poss)	---
hoede	hoeden	N(sing)	---
want	want	Conj(coord)	---
sy	zij	Pron(pers,3,plu)	---
en	en	Adv(neg)	---
sal	zullen	V(fin,pres,aux_cop)	---
tswaert	het+jaar	Pron(pers,2,plu)+Adp()+Adp()	---
