ghelijckerwijs	gelijkerwijs	Conj(comp)	---
vol	vol	Adj()	---
rouwen	rouw	N(sing)	---
sadt	zitten	V(fin,past,lex)	---
tvolck	het+volk	Art(def)+N(sing)	---
van	van	Adp()	---
israel	israel	N(prop)	---
in	in	Adp()	---
dbabiloensch	de+Babylonië	Art(def)+N(prop)	---
landouwen	landouw	N(sing)	---
deur	door	Adp()	---
tyrannije	tyrannie	N(sing)	---
fel	fel	Adj()	---
soo	zo	Adv(resum)	---
hebben	hebben	V(fin,pres,aux_cop)	---
wy	wij	Pron(pers,1,plu)	---
gheseten	zitten	V(participle,past)	---
in	in	Adp()	---
tsoete	het+zoet	Art(def)+Adj()	---
nederlant	Nederland	N(prop)	---
vol	vol	Adj()	---
lijdens	lijden	V(infin,subs)	---
onghemeten	ongemeten	Adj()	---
door	door	Adp()	---
spaingsche	Spaans	Pron(poss)	---
iock	juk	N(sing)	---
en	en	Conj(coord)	---
bant	band	N(sing)	---
maer	maar	Conj(coord)	---
god	god	N(sing)	---
heeft	hebben	V(fin,pres,aux_cop)	---
ons	wij	Pron(pers,1,plu)	---
ghesonden	zenden	V(participle,past)	---
van	van	Adp()	---
nassouwen	Nassau	N(prop)	---
een	een	Art(indef)	---
helt	held	N(sing)	---
welck	welk	Pron(rel)	---
heeft	hebben	V(fin,pres,aux_cop)	---
den	de	Art(def)	---
bant	band	N(sing)	---
ontbonden	ontbinden	V(participle,past)	---
die	die	Pron(rel)	---
ons	wij	Pron(pers,1,plu)	---
dus	dus	Adv(dem)	---
heeft	hebben	V(fin,pres,aux_cop)	---
ghequelt	kwellen	V(participle,past)	---
daer	daar	Adv(dem)	---
naer	naar	Adp()	---
is	zijn	V(fin,pres,aux_cop)	---
dlot	de+lot	Art(def)+N(sing)	---
ghevallen	vallen	V(participle,past)	---
op	op	Adp()	---
u	gij	Pron(pers,2,plu)	---
matthias	Matthias	N(prop)	---
goet	goed	Adj()	---
die	de	Pron(rel)	---
voortaen	voortaan	Adv(gener)	---
sult	zullen	V(fin,pres,aux_cop)	---
voor	voor	Adp()	---
allen	al	Num(indef)	---
ons	wij	Pron(poss)	---
qualen	kwaal	N(plu)	---
gheven	geven	V(infin)	---
boet	boete	N(sing)	---
ghy	gij	Pron(pers,2,plu)	---
sult	zullen	V(fin,pres,aux_cop)	---
te~vreden	tevreden	Adv(gener)	---
stellen	stellen	V(infin)	---
onsen	ons	Pron(poss)	---
lantsheere	landsheer	N(sing)	---
ontpayt	ontpaaien	V(participle,past)	---
en	en	Conj(coord)	---
die	de	Art(def)	---
leughen	leugen	N(sing)	---
mellen	mellen	V(infin)	---
die	die	Pron(rel)	---
van	van	Adp()	---
ons	wij	Pron(pers,1,plu)	---
is	zijn	V(fin,pres,aux_cop)	---
ghesaeyt	zaaien	V(participle,past)	---
soo	zo	Adv(resum)	---
dat	dat	Conj(subord)	---
wy	wij	Pron(pers,1,plu)	---
van	van	Adp()	---
matthias	Matthias	N(prop)	---
hopen	hopen	V(fin,pres,lex)	---
dat	dat	Conj(subord)	---
hy	hij	Pron(pers,3,sing)	---
sal	zullen	V(fin,pres,aux_cop)	---
sijn	zijn	V(infin)	---
recht	recht	Adj()	---
als	als	Conj(comp)	---
eenen	een	Art(indef)	---
meesias	messias	N(sing)	---
onsen	ons	Pron(poss)	---
verlosser	verlosser	N(sing)	---
zijn	zijn	V(fin,pres,aux_cop)	---
dus	dus	Adv(dem)	---
sijt	zijn	V(imp)	---
ons	wij	Pron(pers,1,plu)	---
wel	wel	Adv(gener)	---
ghecomen	komen	V(participle,past)	---
eel	edel	Adj()	---
bloet	bloed	N(sing)	---
van	van	Adp()	---
oostenrijck	Oostenrijk	N(prop)	---
stelt	stellen	V(imp)	---
