een	een	Art(indef)	---
hertsroer	hartsroer	N(sing)	---
zoet	zoet	Adj()	---
na	na	Adp()	---
macht	macht	N(sing)	---
in	in	Adp()	---
ghoedheyd	goedheid	N(sing)	---
lustigh	lustig	Adj()	---
om	om	Adp()	---
lief	lief	Adj()	---
te	te	Adp()	---
doen	doen	V(infin)	---
daar	daar	Adv(rel)	---
tlieve	het+lijf	Art(def)+N(sing)	---
hert	hart	N(sing)	---
aankleeft	aankleven	V(fin,pres,lex)	---
is	zijn	V(fin,pres,aux_cop)	---
reyne	rein	Adj()	---
liefd	liefde	N(sing)	---
die	die	Pron(rel)	---
vrolick	vrolijk	Adv(gener)	---
maackt	maken	V(fin,pres,lex)	---
en	en	Conj(coord)	---
rustigh	rustig	Adj()	---
oock	ook	Adv(gener)	---
zaligh	zalig	Adj()	---
al	al	Adv(gener)	---
daar	geven	V(fin,past,lex)	---
zy	zij	Pron(pers,3,sing)	---
warachtelick	waarachtiglijk	Adv()	---
in	in	Adp()	---
leeft	leven	V(fin,pres,lex)	---
haar	arm	N(sing)	---
zelf	zelf	N(sing)	---
gheheel	gelijk	Adv(gener)	---
zy	zij	Pron(pers,3,sing)	---
altyt	of	Conj(subord)	---
blydelicken	zonderling	Adv(gener)	---
gheeft	geven	V(fin,pres,lex)	---
tgheliefde	goud+het	N(sing)+Art(def)	---
lief	lief	Adj()	---
daar	komen	V(fin,past,lex)	---
uyt	gij	N(sing)	---
zy	zij	Pron(pers,3,sing)	---
is	zijn	V(fin,pres,aux_cop)	---
gheboren	geboren	Adj()	---
dits	dit+zijn	Pron(dem)+V(fin,pres,aux_cop)	---
wezen	dat	V(fin,pres,lex)	---
schoon	schoon	Adj()	---
voort	voort	Adp()	---
best	best	Adj()	---
by	bij	Adp()	---
haar	haar	Pron(poss)	---
verkoren	verkiezen	Adj()	---
als	als	Conj(comp)	---
thooghste	het+hoog	Art(def)+Adj()	---
ghoed	goed	N(sing)	---
dat	dat	Pron(rel)	---
zy	zij	Pron(pers,3,sing)	---
in	in	Adp()	---
allen	al	Num(indef)	---
meent	menen	V(fin,pres,lex)	---
dat	dat	Pron(dem)	---
jaaght	jagen	V(fin,pres,lex)	---
zy	zij	Pron(pers,3,sing)	---
na	na	Adp()	---
dat	dat	Pron(dem)	---
zoeckt	zoeken	V(fin,pres,lex)	---
zy	zij	Pron(pers,3,plu)	---
te	te	Adp()	---
besporen	besporen	V(infin)	---
dat	dat	Pron(dem)	---
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)	---
oock	ook	Adv(gener)	---
daar	daar	Pron(rel)	---
zy	zij	Pron(pers,3,plu)	---
al	al	Adv(gener)	---
haar	hun	Pron(poss)	---
lievers	lief	N(plu)	---
met	met	Adp()	---
vereent	verenen	V(fin,pres,lex)	---
de	de	Art(def)	---
kennis	kennis	N(sing)	---
klaar	klaar	Adj()	---
van	van	Adp()	---
ghoedheyds	goedheid	N(sing)	---
