die	die	Pron(dem)	---
zaayen	zaaien	V(infin)	---
wil	willen	V(fin,pres,aux_cop)	---
op	op	Adp()	---
t	het	Art(def)	---
vruchtbaar	vruchtbaar	Adj()	---
land	land	N(sing)	---
wied	wieden	V(fin,pres,lex)	---
eerst	eerst	Adv(gener)	---
daar~uyt	daaruit	PronAdv(dem)	---
met	met	Adp()	---
kloecker	kloek	Adj()	---
hand	hand	N(sing)	---
al	al	Adv(gener)	---
t	het	Art(def)	---
onkruydt	onkruid	N(sing)	---
distel	distel	N(sing)	---
vaarn	varen	N(sing)	---
en	en	Conj(coord)	---
doorne	doorn	N(plu)	---
op~dat	opdat	Conj(coord)	---
daar	daar	Adv(dem)	---
groey	groeien	V(fin,pres,lex)	---
ruym	ruim	Adv(gener)	---
onbelet	onbelet	Adv(gener)	---
die	die	Pron(dem)	---
nutte	nut	Adj()	---
vrucht	vrucht	N(sing)	---
grof	grof	Adj()	---
mild	mild	Adj()	---
en	en	Conj(coord)	---
vet	vet	Adj()	---
vant	vinden	V(fin,past,lex)	---
voedelyck	voedelijk	Adj()	---
en	en	Conj(coord)	---
weeldigh	weeldig	Adj()	---
koorne	koren	N(sing)	---
der	de	Art(def)	---
biikens	bij	N(plu)	---
werck	werk	N(sing)	---
zeer	zeer	Adv(gener)	---
zoet	zoet	Adj()	---
ghemaackt	maken	V(participle,past)	---
den	de	Art(def)	---
tong	tong	N(sing)	---
noch	nog	Adv(gener)	---
veel	veel	Num(indef)	---
te	te	Adp()	---
zoeter	zoet	Adj()	---
smaackt	smaken	V(fin,pres,lex)	---
alst	als+het	Conj(subord)+Pron(pers,3,sing)	---
wert	worden	V(fin,past,aux_cop)	---
gheproeft	proeven	V(participle,past)	---
na	na	Adp()	---
strengheid	strengheid	N(sing)	---
zure	zuur	Adj()	---
t	het	Art(def)	---
ghestert	gesterd	Adj()	---
licht	licht	N(sing)	---
meest	meest	Adv(gener)	---
lieflyck	lieflijk	Adj()	---
en	en	Conj(coord)	---
klaar	klaar	Adj()	---
na	na	Adp()	---
t	het	Art(def)	---
eynden	eind	N(sing)	---
vande	van+de	Adp()+Art(def)	---
