weest	zijn	V(imp)	---
nu	nu	Adv(dem)	---
verhueght	verheugen	V(participle,past)	---
al	al	Pron(indef)	---
ghy	gij	Pron(pers,2,plu)	---
oprechten	oprechte	N(plu)	---
in	in	Adp()	---
godt	god	N(prop)	---
den	de	Art(def)	---
heer'	heer	N(sing)	---
v	gij	Pron(pers,2,plu)	---
al	al	Pron(indef)	---
verblydt	verblijden	V(participle,past)	---
dat	dat	Conj(subord)	---
lof	lof	N(sing)	---
in	in	Adp()	---
den	de	Art(def)	---
mond	mond	N(sing)	---
sijner	zijn	Pron(poss)	---
knechten	knecht	N(plu)	---
is	zijn	V(fin,pres,aux_cop)	---
heerlick	heerlijk	Adj()	---
end	en	Conj(coord)	---
schoon	schoon	Adj()	---
t'aller	te+al	Adp()+Num(indef)	---
tyt	tijd	N(sing)	---
met	met	Adp()	---
harpen	harp	N(plu)	---
vol	vol	Adj()	---
snaeren	snaar	N(plu)	---
wilt	willen	V(imp)	---
nu	nu	Adv(dem)	---
openbaeren	openbaren	V(infin)	---
sijnen	zijn	Pron(poss)	---
prys	prijs	N(Sing)	---
end	en	Conj(coord)	---
eer'	eleazar	V(fin,pres,lex)	---
dat	dat	Conj(subord)	---
psalters	psalter	N(plu)	---
end	en	Conj(coord)	---
kelen	keel	N(plu)	---
nu	nu	Adv(dem)	---
singhen	zingen	V(infin)	---
end	en	Conj(coord)	---
spelen	spelen	V(infin)	---
onsen	ons	Pron(poss)	---
godt	god	N(sing)	---
end	en	Conj(coord)	---
heer'	heer	N(sing)	---
singht	zingen	V(imp)	---
den	de	Art(def)	---
heeren	heer	N(sing)	---
sijnde	zijn	V(prtcl,pres)	---
met	met	Adp()	---
vrueghden	vreugde	N(sing)	---
nieuw'	nieuw	Adj()	---
lofsangen	lofzang	N(plu)	---
lieflick	lieflijk	Adv(gener)	---
en	en	Conj(coord)	---
soet	zoet	Adv(gener)	---
op	op	Adp()	---
den	de	Art(def)	---
psalter	psalter	N(sing)	---
sijn	zijn	Pron(poss)	---
lof	lof	N(sing)	---
sijn	zijn	Pron(poss)	---
deughden	deugden	N(plu)	---
spelet	spelen	V(imp)	---
end	en	Conj(coord)	---
maeckt	maken	V(imp)	---
ghenoechte	geneugte	N(sing)	---
goet	goed	Adj()	---
want	want	Conj(coord)	---
t'beuel	het+bevel	Art(def)+N(sing)	---
des	de	Art(def)	---
heeren	heer	N(sing)	---
dat	dat	Pron(rel)	---
hy	hij	Pron(pers,3,sing)	---
ons	wij	Pron(pers,1,plu)	---
wil	willen	V(fin,pres,aux_cop)	---
leeren	leren	V(infin)	---
is	zijn	V(fin,pres,aux_cop)	---
recht	recht	Adj()	---
end'	en	Conj(coord)	---
eerbaer	eerbaar	Adj()	---
sijn	zijn	Pron(poss)	---
woorden	woord	N(plu)	---
end	en	Conj(coord)	---
wercken	werk	N(plu)	---
sijn	zijn	V(fin,pres,aux_cop)	---
so	zo	Adv(resum)	---
men	men	Pron(indef)	---
kan	kunnen	V(fin,pres,aux_cop)	---
mercken	merken	V(infin)	---
seker	zeker	Adj()	---
end	en	Conj(coord)	---
gantsch	gans	Adv(gener)	---
waer	waar	Adj()	---
hy	hij	Pron(pers,3,sing)	---
bemindt	beminnen	V(fin,pres,lex)	---
seer	zeer	Adv(gener)	---
tot	tot	Adp()	---
allen	al	Num(indef)	---
tyden	tijd	N(plu)	---
dat	het	Art(def)	---
recht	recht	N(sing)	---
end	en	Conj(coord)	---
die	de	Art(def)	---
gherechticheit	gerechtigheid	N(sing)	---
d'	de	Art(def)	---
eerd'	aarde	N(sing)	---
is	zijn	V(fin,pres,aux_cop)	---
oock	ook	Adv(gener)	---
vol	vol	Adj()	---
aen	aan	Adp()	---
alle	al	Num(indef)	---
zyden	zijde	N(plu)	---
van	van	Adp()	---
sijn	zijn	Pron(poss)	---
groote	groot	Adj()	---
barmherticheit	barmhartigheid	N(sing)	---
godt	god	N(sing)	---
doer	door	Adp()	---
t'woort	het+woord	Art(def)+N(sing)	---
