o	o	Interj()	---
myn	mijn	Pron(poss)	---
volck	volk	N(sing)	---
wilt	willen	V(fin,pres,aux_cop)	---
myn	mijn	Pron(poss)	---
leeringh'	lering	N(sing)	---
nu	nu	Adv(dem)	---
aenhooren	aanhoren	V(fin,past,lex)	---
neyght	neigen	V(imp)	---
v'	uw	Pron(poss)	---
verstandt	verstand	N(sing)	---
wilt	willen	V(imp)	---
open	open	Adj()	---
doen	doen	V(infin)	---
v'	uw	Pron(poss)	---
ooren	oor	N(plu)	---
verneemt	vernemen	V(imp)	---
myns	mijn	Pron(poss)	---
monds	mond	N(sing)	---
schoon'	schoon	Adj()	---
end	en	Conj(coord)	---
heerlicke	heerlijk	Adj()	---
reden	reden	N(sing)	---
van	van	Adp()	---
my	ik	Pron(pers,1,sing)	---
werden	worden	V(fin,past,aux_cop)	---
godes	god	N(sing)	---
wercken	werk	N(plu)	---
beleden	belijden	V(participle,past)	---
van	van	Adp()	---
sijn	zijn	Pron(poss)	---
grootdaeden	grootdaad	N(plu)	---
wil	willen	V(fin,pres,aux_cop)	---
ick	ik	Pron(pers,1,sing)	---
doen	doen	V(infin)	---
vermaen	vermaand	N(sing)	---
die	die	Art(def)	---
onse	ons	Pron(poss)	---
godt	god	N(sing)	---
hier	hier	Adv(dem)	---
voormaels	voormaals	Adv()	---
heeft	hebben	V(fin,pres,aux_cop)	---
ghedaen	doen	V(participle,past)	---
die	die	Pron(rel)	---
daeden	daad	N(plu)	---
die	die	Pron(rel)	---
ons	wij	Pron(pers,1,plu)	---
voortyts	voortijds	Adv(gener)	---
sijn	zijn	Pron(poss)	---
vermondet	vermonden	V(participle,past)	---
die	die	Pron(rel)	---
ons	wij	Pron(pers,1,plu)	---
ons	wij	Pron(refl,1,plu)	---
grootvaeders	grootvader	N(sing)	---
hebben	hebben	V(infin)	---
verkondet	verkonden	V(infin)	---
dat	dat	Conj(subord)	---
se	zij	Pron(pers,3,sing)	---
die	de	Art(def)	---
kindren	kind	N(plu)	---
oock	ook	Adv(gener)	---
wisten	weten	V(fin,past,lex)	---
alvoren	alvorens	Adv()	---
die	die	Art(def)	---
noch	noch	Conj(coord)	---
naer	naar	Adv(gener)	---
hen	zij	Pron(pers,3,plu)	---
souden	zullen	V(fin,past,aux_cop)	---
werden	worden	V(infin)	---
gheboren	geboren	V(participle,past)	---
op	op	Adp()	---
dat	dat	Conj(subord)	---
se	zij	Pron(pers,3,sing)	---
wisten	weten	V(fin,past,lex)	---
den	de	Art(def)	---
roem	roem	N(sing)	---
end	en	Conj(coord)	---
die	de	Art(def)	---
kracht	kracht	N(sing)	---
end	en	Conj(coord)	---
wercken	werk	N(plu)	---
groot	groot	Adj()	---
onses	ons	Pron(poss)	---
gods	god	N(sing)	---
hoogh'geacht	hooggeacht	Adj()	---
godt	god	N(sing)	---
heeft	hebben	V(fin,pres,aux_cop)	---
