goet	goed	Adj()	---
willicheyt	willigheid	N(sing)	---
toont	tonen	V(imp)	---
v	uw	Pron(poss)	---
broeder	broeder	N(sing)	---
met	met	Adp()	---
vreuchde	vreugde	N(sing)	---
leeft	leven	V(imp)	---
maect	maken	V(imp)	---
geen	geen	Pron(indef)	---
onderscheyt	onderscheid	N(sing)	---
tusschen	tussen	Adp()	---
heyden	heiden	N(sing)	---
ofte	of	Conj(coord)	---
iode	jood	N(sing)	---
want	want	Conj(coord)	---
elck	elk	Pron(indef)	---
door	door	Adp()	---
den	de	Art(def)	---
gheloof	geloof	N(sing)	---
zijn	zijn	Pron(poss)	---
beroepinghe	beroeping	N(sing)	---
heeft	hebben	V(fin,pres,aux_cop)	---
gheen	geen	Pron(indef)	---
goede	goed	Adj()	---
wercken	werken	N(plu)	---
en	en	Conj(coord)	---
maken	maken	V(fin,pres,lex)	---
salich	zalig	Adj()	---
voor	voor	Adp()	---
gode	god	N(sing)	---
ick	ik	Pron(pers,1,sing)	---
seg	zeggen	V(fin,pres,lex)	---
in	in	Adp()	---
christo	christus	N(prop)	---
jesu	jezus	N(prop)	---
de	de	Art(def)	---
waerheyt	waarheid	N(sing)	---
ick	ik	Pron(pers,1,sing)	---
lieghe	liegen	V(fin,pres,lex)	---
niet	niet	Adv(neg)	---
want	want	Conj(coord)	---
heel	heel	N(sing)	---
sonder	zonder	Adp()	---
swaerheyt	zwaarheid	N(sing)	---
can	kunnen	V(fin,pres,aux_cop)	---
goet	goed	Adj()	---
getuyge	getuige	N(sing)	---
geuen	geven	V(infin)	---
mijn	mijn	Pron(poss)	---
conscientie	conscientie	N(sing)	---
door	door	Adp()	---
godes	god	N(sing)	---
geest	geest	N(sing)	---
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)	---
mi	ik	Pron(pers,1,sing)	---
int	in+het	Adp()+Art(def)	---
hert	hart	N(sing)	---
droefheyt	droefheid	N(sing)	---
nv	nu	Adv(dem)	---
aldermeest	allermeest	Adv(gener)	---
en	en	Conj(coord)	---
smerte	smart	N(sing)	---
daer	daar	Adv(dem)	---
beneuen	beneven	Adp()	---
ick	ik	Pron(pers,1,sing)	---
wensch	wensen	V(fin,pres,lex)	---
my	ik	Pron(pers,1,sing)	---
selfs	zelf	Pron(dem)	---
verworpen	verwerpen	V(participle,past)	---
te	te	Adp()	---
zijne	zijn	V(infin)	---
van	van	Adp()	---
christo	christus	N(prop)	---
voor	voor	Adp()	---
de	de	Art(def)	---
broeders	broeder	N(plu)	---
ende	en	Conj(coord)	---
mijne	mijn	Pron(poss)	---
maechschap	maagschap	N(sing)	---
na	na	Adp()	---
den	de	Art(def)	---
vleesch	vlees	N(sing)	---
te	te	Adp()	---
spreken	spreken	V(infin)	---
israelijten	israëlieten	N(prop)	---
zijnt	zijn+het	V(fin,pres,lex)+Pron(pers,3,sing)	---
den	de	Art(def)	---
welcken	welk	Pron(rel)	---
stam	stam	N(sing)	---
d	de	Art(def)	---
aenneminghe	aanneming	N(sing)	---
der	de	Art(def)	---
kinderen	kind	N(plu)	---
toe	toe	Adp()	---
quam	komen	V(fin,past,lex)	---
want	want	Conj(coord)	---
desen	deze	Pron(dem)	---
is	zijn	V(fin,pres,aux_cop)	---
ghebleken	blijken	V(participle,past)	---
heerlijckheyt	heerlijkheid	N(sing)	---
wet	wet	N(sing)	---
en	en	Conj(coord)	---
oock	ook	Adv(gener)	---
de	de	Art(def)	---
verbonden	verbinden	V(participle,past)	---
godsdienst	godsdienst	N(sing)	---
beloften	belofte	N(plu)	---
seer	zeer	N(sing)	---
diep	diep	Adj()	---
om	om	Adp()	---
gronden	grond	N(plu)	---
so~dat	zodat	Conj(subord)	---
sy	zij	Pron(pers,3,plu)	---
zijn	zijn	V(fin,pres,aux_cop)	---
de	de	Art(def)	---
vaders	vader	N(sing)	---
daer	daar	PronAdv(rel)	---
christus	christus	N(prop)	---
van	van	Adp()	---
is	zijn	V(fin,pres,aux_cop)	---
so	zo	Adv(dem)	---
veel	veel	Num(indef)	---
tvleesch	het+vlees	Art(def)+N(sing)	---
aen	aan	Adp()	---
gaet	gaan	V(fin,pres,lex)	---
de	de	Art(def)	---
welck	welk	Pron(rel)	---
is	zijn	V(fin,pres,aux_cop)	---
te	te	Adp()	---
prijsen	prijzen	V(infin)	---
vroech	vroeg	Adv(gener)	---
en	en	Conj(coord)	---
laet	laat	Conj(coord)	---
sijt	zijn	V(imp)	---
hem	hij	Pron(pers,3,sing)	---
dan	dan	Adv(dem)	---
gheen	geen	Pron(indef)	---
versmaders	versmader	N(plu)	---
onmoghelijck	onmogelijk	Adj()	---
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)	---
nochtans	nochtans	Adv(gener)	---
in	in	Adp()	---
desen	deze	Pron(dem)	---
dat	dat	Pron(rel)	---
gods	god	N(sing)	---
woort	woord	N(sing)	---
te	te	Adp()	---
niete	niet	N(sing)	---
soude	zullen	V(fin,past,aux_cop)	---
wesen	wezen	V(infin)	---
want	want	Conj(coord)	---
tzijn	het+zijn	Prin(pers,3,sing)	---
niet	niet	Adv(neg)	---
al	al	Adv(gener)	---
te	te	Adp()	---
samen	samen	Adv(gener)	---
israels	Israël	N(prop)	---
noch	nog	Conj(coord)	---
abrahams	abraham	N(prop)	---
kinderen	kind	N(plu)	---
die	die	Pron(rel)	---
van	van	Adp()	---
hem	hij	Pron(pers,3,sing)	---
zijn	zijn	V(fin,pres,aux_cop)	---
ten	het+ne	Pron(pers,3,sing)+Adv(neg)	---
mach	mogen	V(fin,pres,aux_cop)	---
niet	niet	Adv(neg)	---
hinderen	hinderen	V(infin)	---
siet	zien	V(imp)	---
isaac	Isaak	N(prop)	---
by	bij	Adp()	---
namen	naam	N(sing)	---
