sy	zij	Pron(pers,3,plu)	---
aten	eten	V(fin,past,lex)	---
enghelsbroot	engelenbrood	N(sing)	---
de	de	Art(def)	---
volhede	volheid	N(sing)	---
der	de	Art(def)	---
spijsen	spijs	N(plu)	---
heeft	hebben	V(fin,pres,aux_cop)	---
hy	hij	Pron(pers,3,sing)	---
ghesonden	zenden	V(participle,past)	---
haer	zij	Pron(poss)	---
den	de	Art(def)	---
oostenwint	oostenwind	N(sing)	---
liet	laten	V(fin,past,lex)	---
hy	hij	Pron(pers,3,sing)	---
te	te	Adp()	---
dier	die	Pron(dem)	---
stede	stad	N(sing)	---
sterc	sterk	Adj()	---
waeyen	waaien	V(infin)	---
onder	onder	Adp()	---
den	de	Art(def)	---
hemel	hemel	N(sing)	---
claer	klaar	Adj()	---
end	en	Conj(coord)	---
verwecte	verwekken	V(fin,past,lex)	---
door	door	Adp()	---
zijn	zijn	Pron(poss)	---
stercheyt	sterkheid	N(sing)	---
crachtich	krachtig	Adv(gener)	---
den	de	Art(def)	---
suyden~wint	zuidenwind	N(sing)	---
met	met	Adp()	---
zijn	zijn	Pron(poss)	---
handen	hand	N(plu)	---
machtich	machtig	Adj()	---
ende	en	Conj(coord)	---
liet	laten	V(fin,past,lex)	---
op	op	Adp()	---
hun	zij	Pron(pers,3,plu)	---
reghenen	regenen	V(infin)	---
vleesch	vlees	N(sing)	---
als	als	Conj(comp)	---
stof	stof	N(sing)	---
voghelen	vogel	N(plu)	---
na	na	Adp()	---
hunnen	hun	Pron(poss)	---
eesch	eis	N(sing)	---
ghelijc	gelijk	Adv(gener)	---
sant	zand	N(sing)	---
aende	aan+de	Adp()+Art(def)	---
zee	zee	N(sing)	---
hun	zij	Pron(pers,3,plu)	---
verthoonden	vertonen	V(fin,past,lex)	---
ende	en	Conj(coord)	---
liets	laten+ze	V(fin,past,lex)+Pron(pers,3,sing)	---
ouer	over	Adp()	---
all	al	Num(indef)	---
vallen	vallen	V(infin)	---
ras	ras	Adv()	---
onder	onder	Adp()	---
hunne	hun	Pron(poss)	---
leghers	leger	N(plu)	---
daer	daar	PronAdv(rel)	---
