zi	zij	Pron(pers,3,plu)	---
dusdanighen	dusdanige	N(plu)	---
vreese	vrees	N(sing)	---
verre	ver	Adv(gener)	---
verwinnen	verwinnen	V(infin)	---
maer	maar	Conj(coord)	---
een	een	Art(indef)	---
ander	ander	Adj()	---
tempeest	tempeest	N(sing)	---
vreese	vrees	N(sing)	---
ick	ik	Pron(pers,1,sing)	---
ten	de+te	Art(def)+Adp()	---
desen	deze	Pron(dem)	---
tyden	tijd	N(plu)	---
dat	dat	Pron(dem)	---
is	zijn	V(fin,pres,aux_cop)	---
dat	dat	Conj(subord)	---
ghy	gij	Pron(pers,2,sing)	---
zaudt	zullen	V(fin,pres,lex)	---
came	komen	V(fin,past,lex)	---
ick	ik	Pron(pers,1,sing)	---
t'uwent	convent+het	N(sing)+Art(def)	---
binnen	binnen	Adv(gener)	---
met	met	Adp()	---
quade	kwaad	Adj()	---
andwoorde	antwoorden	V(fin,pres,lex)	---
my	ik	Pron(pers,1,sing)	---
wederstaen	weerstaan	V(infin)	---
en	en	Conj(coord)	---
bestryden	bestrijden	V(fin,past,lex)	---
d'welck	de+welke	Art(def)+Pron(rel)	---
my	ik	Pron(pers,1,sing)	---
dacht'	denken	V(fin,past,lex)	---
ic	ik	Pron(pers,1,sing)	---
zoude	zullen	V(fin,past,lex)	---
bringhen	brengen	V(infin)	---
in	in	Adp()	---
alle	al	Num(indef)	---
lyden	lijden	N(plu)	---
vvant	want	Conj(subord)	---
naer	naar	Adv(gener)	---
dien	die	Pron(rel)	---
my	ik	Pron(pers,1,sing)	---
tghepeyns	het+gepeins	Art(def)+N(sing)	---
van	van	Adp()	---
u	uw	Pron(poss)	---
grati'	gratie	N(sing)	---
te	te	Adp()	---
deruen	droef	N(plu)	---
alree'	algeheel	V(fin,pres,lex)	---
zulcken	zaak	V(infin)	---
druck	druk	N(sing)	---
anbringhd	afgrondig	V(fin,past,lex)	---
an	aan	Adp()	---
alle	al	Num(indef)	---
syden	zijde	N(plu)	---
vvat	wat	Adv(inter)	---
zoude	zullen	V(fin,past,lex)	---
my	ik	Pron(pers,1,sing)	---
ghebeuren	gebeuren	V(infin)	---
anders	anders	Adv(gener)	---
dan	dan	Conj(comp)	---
tbesteruen	tortelduif	N(sing)	---
hoord'	horen	V(fin,pres,lex)	---
ic	ik	Pron(pers,1,sing)	---
dat	dat	Conj(subord)	---
ic	ik	Pron(pers,1,sing)	---
gheensins	geenszins	Adv(gener)	---
en	en	Adv(neg)	---
mocht	mogen	V(fin,past,aux_cop)	---
troost	troost	N(sing)	---
verweruen	verwerven	V(infin)	---
ghy	gij	Pron(pers,2,plu)	---
mocht	mogen	V(fin,past,aux_cop)	---
vraghen	vragen	V(infin)	---
waerom	waarom	PronAdv(inter)	---
dat	dat	Conj(subord)	---
ic	ik	Pron(pers,1,sing)	---
vreese	vrees	N(sing)	---
so	zo	Adv(dem)	---
seere	zeer	Adv(gener)	---
quade	kwaad	Adj()	---
antwoorde	antwoorden	N(sing)	---
