mijn	mijn	Pron(poss)	---
god	god	N(sing)	---
mijn	mijn	Pron(poss)	---
god	god	N(sing)	---
waerom	waarom	PronAdv(inter)	---
hebdy	hebben+du	V(fin,pres,aux_cop)+Pron(pers,2,sing)	---
my	ik	Pron(pers,1,sing)	---
toch	toch	Adv(gener)	---
dus	dus	Adv(dem)	---
verlaten	verlaten	V(infin)	---
ende	en	Conj(coord)	---
vervremt	vervreemden	V(particle,past)	---
u	gij	Pron(refl,2,sing)	---
noch	noch	Conj(coord)	---
van	van	Adp()	---
mijn	mijn	Pron(poss)	---
hulpe	hulp	N(sing)	---
suchten	zucht	V(infin)	---
en	en	Conj(coord)	---
claghen	klagen	V(infin)	---
och	och	Interj()	---
d'welck	de+welke	Art(def)+Pron(rel)	---
ick	ik	Pron(pers,1,sing)	---
u	gij	Pron(pers,2,sing)	---
dede	doen	V(fin,past,lex)	---
eylaes	eustachius	N(prop)	---
daegh'lics	dagelijks	Adv(gener)	---
roup'	roepen	N(sing)	---
ic	ik	Pron(pers,1,sing)	---
tot	tot	Adp()	---
u	gij	Pron(pers,2,sing)	---
ooc	ook	Adv(gener)	---
mede	mede	Adv(gener)	---
maer	maar	Conj(coord)	---
ghy	gij	Pron(pers,2,sing)	---
en	ne	Adv(neg)	---
verandwort	verantwoorden	V(fin,pres,lex)	---
niet	niet	Adv(neg)	---
op	op	Adp()	---
mijn	mijn	Pron(poss)	---
bede	bede	N(sing)	---
al	al	Num(indef)	---
en	en	Conj(coord)	---
heeft	hebben	V(fin,pres,aux_cop)	---
rust'	rust	N(sing)	---
alsoo	alzo	Adv(gener)	---
in	in	Adp()	---
my	ik	Pron(pers,1,sing)	---
gheen	geen	Adv(neg)	---
ste	schoon	Adj()	---
de	de	Art(def)	---
den	de	Art(def)	---
gh'eelen	geheel	Adj()	---
nacht	nacht	N(sing)	---
nochtans	nochtans	Adv(gener)	---
zidi	zien	Pron(pers,3,sing)+V(fin,past,lex)	---
dat	dat	Conj(subord)	---
helighe	heilig	N(sing)	---
gheacht	achten	V(participle,past)	---
vvonende	wonen	V(participle,pres)	---
onder	onder	Adp()	---
t'israelsche	het+Israel	Art(def)+N(prop)	---
gheslacht'	geslacht	N(sing)	---
daer	daar	Adv(dem)	---
ghy	gij	Pron(pers,2,sing)	---
wild	willen	V(fin,past,lex)	---
datmen	dat+men	Conj(subord)+Pron(indef)	---
u	gij	Pron(pers,2,plu)	---
met	met	Adp()	---
alder	al+de	Num(indef)+Art(def)	---
macht	macht	N(sing)	---
zal	zullen	V(fin,pres,aux_cop)	---
exalteren	ei	V(infin)	---
men	men	Pron(indef)	---
heeft	hebben	V(fin,pres,aux_cop)	---
ons	wij	Pron(pers,1,plu)	---
voorvaders	voorvader	N(plu)	---
zonder	zonder	Adp()	---
cesseren	cesseren	V(infin,subs)	---
haer	haar	Pron(poss)	---
hope	hoop	N(sing)	---
zien	zien	V(infin)	---
altijd	altijd	Adv(gener)	---
vp	op	Adp()	---
