ick	ik	Pron(pers,1,sing)	---
heb	hebben	V(fin,pres,aux_cop)	---
dy	du	Pron(pers,2,sing)	---
lief	lief	Adj()	---
o	o	Interj()	---
heer	heer	N(sing)	---
uyt	uit	Art(def)	---
s	de	Art(def)	---
herten	hart	N(sing)	---
gronde	grond	N(sing)	---
die	die	Pron(rel)	---
du	du	Pron(pers,2,sing)	---
mijn	mijn	Pron(poss)	---
sterct	sterken	V(fin,pres,lex)	---
end+de	en+de	Conj(coord)+Art(def)	---
cracht	kracht	N(sing)	---
bist	zijn	V(fin,pres,aux_cop)	---
te	te	Adp()	---
elcker	elk	Pron(indef)	---
stonde	stond	N(sing)	---
god	god	N(sing)	---
is	zijn	V(fin,pres,aux_cop)	---
mijn	mijn	Pron(poss)	---
borcht	burcht	N(sing)	---
mijn	mijn	Pron(poss)	---
blochuys	blokhuis	N(sing)	---
sterc	sterk	Adj()	---
end	en	Conj(coord)	---
vast	vast	Adj()	---
mijn	mijn	Pron(poss)	---
crachtich	krachtig	N(sing)	---
god	god	N(sing)	---
die	die	Pron(rel)	---
my	ik	Pron(pers,1,sing)	---
helpt	helpt	V(fin,pres,lex)	---
uyt	uit	Adp()	---
den	de	Art(def)	---
last	last	N(sing)	---
op	op	Adp()	---
hem	hij	Pron(pers,3,sing)	---
alleen	alleen	Adv(gener)	---
staet	staan	V(fin,pres,lex)	---
alle	al	Pron(indef)	---
mijn	mijn	Pron(poss)	---
vertrouwen	vertrouwen	N(sing)	---
mijn	mijn	Pron(poss)	---
schilt	schild	N(sing)	---
mijn	mijn	Pron(poss)	---
heyl	heil	N(sing)	---
op	op	Adp()	---
dien	die	Pron(dem)	---
ick	ik	Pron(pers,1,sing)	---
vry	vrij	Adv()	---
mach	mogen	V(fin,pres,aux_cop)	---
bouwen	bouwen	V(infin)	---
als	als	Conj(comp)	---
ick	ik	Pron(pers,1,sing)	---
god	god	N(sing)	---
lou	loven	V(fin,pres,lex)	---
end	en	Conj(coord)	---
aenroep	aanroepen	V(fin,pres,lex)	---
met	met	Adp()	---
aendacht	aandacht	N(sing)	---
ick	ik	Pron(pers,1,sing)	---
word	worden	V(fin,pres,aux_cop)	---
terstont	terstond	Adv(dem)	---
verlost	verliezen	V(participle,past)	---
uyt	uit	Adp()	---
s	de	Art(def)	---
vyants	vijand	N(sing)	---
macht	macht	N(sing)	---
ick	ik	Pron(pers,1,sing)	---
was	zijn	V(fin,past,aux_cop)	---
verstrickt	verstrikken	V(participle,past)	---
in	in	Adp()	---
doodelijcke	dodelijk	Adj()	---
banden	band	N(plu)	---
doe	toen	Adv(dem)	---
t	het	Art(def)	---
boos	boos	Adj()	---
ghespuys	gespuis	N(sing)	---
sloegh	slaan	V(fin,past,lex)	---
ouer	over	Adp()	---
my	ik	Pron(pers,1,sing)	---
sijn	zijn	Pron(poss)	---
handen	hand	N(plu)	---
ick	ik	Pron(pers,1,sing)	---
was	zijn	V(fin,past,aux_cop)	---
gelijck	gelijk	Adv(gener)	---
ghesloten	sluiten	V(participle,past)	---
onder	onder	Adp()	---
t	het	Art(def)	---
graf	graf	N(sing)	---
end	en	Conj(coord)	---
lagh	liggen	V(fin,past,lex)	---
verstrickt	verstrikken	V(participle,past)	---
met	met	Adp()	---
s	dat	Art(def)	---
doodes	dood	N(sing)	---
laghen	liggen	V(fin,past,lex)	---
straf	straf	N(sing)	---
doe	toen	Conj(subord)	---
riepic	raden+ik	V(fin,past,lex)+pron(pers,1,sing)	---
aen	aan	Adp()	---
met	met	Adp()	---
ancxt	angst	N(sing)	---
den	de	Art(def)	---
heer	heer	N(sing)	---
almachtich	almachtig	Adj()	---
tot	tot	Adp()	---
mynen	mijn	Pron(poss)	---
god	god	N(sing)	---
rees	rijzen	V(fin,past,lex)	---
op	op	Adp()	---
mijn	mijn	Pron(poss)	---
schreyen	schreien	V(infin)	---
clachtich	klachtig	Adj()	---
hy	hij	Pron(pers,3,sing)	---
hoorde	horen	V(fin,past,lex)	---
my	ik	Pron(pers,1,sing)	---
uyt	uit	Adp()	---
synen	zijn	Pron(poss)	---
tempel	tempel	N(sing)	---
hoog	hoog	Adj()	---
end	en	Conj(coord)	---
liet	laten	V(fin,past,aux_cop)	---
hem	zij	Pron(pers,3,sing)	---
gaen	gaan	V(infin)	---
ter	te+de	Adp()+Art(def)	---
ooren	oor	N(plu)	---
mijn	mijn	Pron(poss)	---
vertoog	vertoog	N(sing)	---
van	van	Adp()	---
stonden	stond	N(plu)	---
aen	aan	Adp()	---
begonde	beginnen	V(fin,past,lex)	---
deerd	de+aarde	Art(def)+N(sing)	---
te	te	Adp()	---
beuen	beven	V(infin)	---
de	de	Art(def)	---
diepste	diep	Adj()	---
grondt	grond	N(sing)	---
der	de	Art(def)	---
berghen	berg	N(plu)	---
hoog	hoog	Adj()	---
verheuen	verheffen	V(participle,past)	---
craect	kraken	V(fin,past,lex)	---
ende	en	Conj(coord)	---
beefd	beven	V(fin,past,lex)	---
uyt	uit	Adp()	---
ancxt	angst	N(sing)	---
met	met	Adp()	---
groot	groot	Adj()	---
ghewelt	geweld	N(sing)	---
midts	midden	Adp()	---
dat	dat	Conj(subord)	---
