verwonnen	verwinnen	v(participle,past)
te	te	adp()
doen	doen	v(infin)
klemmen	klimmen	V(infin)
vant	vinden	Adp()+Art(def)
snode	snood	adj()
juck	juk	N(sing)
des	de	Art(def)
wellusts	wellust	N(sing)
schandelyck	schandelijk	Adj()
waar	waar	Adv(dem)
al	al	Adv(gener)
de	de	Art(def)
werld	wereld	N(sing)
dyn	dijn	Pron(poss)
wet	wet	n(sing)
ghedoghende	gedogen	V(participle,past)
mooghdy	mogen+gij	V(fin,pres,aux_cop)+Pron(pers,2,sing)
de	de	Art(def)
zorgh	zorg	N(sing)
en	en	Conj(coord)
t	het	Art(def)
'	?	punc(quest)
jammerlycke	jammerlijk	Adv(gener)
klaghen	klagen	v(infin)
niet	niet	adv(neg)
mannelyck	mannelijk	Adj(gener)
door	door	Adp()
wysheid	wijsheid	N(sing)
uyt	uit	Adp()
u	gij	Pron(poss)
jaghen	jagen	V(infin)
voorwaar	vandaar	N(sing)
zo	zo	Adv(gener)
zyt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
gheenssins	geenszins	Adv(gener)
moghende	mogend	Adj(gener)
o	o	interj()
glori	glorie	n(sing)
van	van	adp()
veel	veel	num(indef)
menschen	mens	n(plu)
zeer	zeer	Adv(gener)
verkoren	verkiezen	V(participle,past)
wat	wat	Pron(inter)
zydy	zijn+gij	V(fin,pres,aux_cop)+Pron(pers,2,plu)
anders	anders	Adv(gener)
dan	dan	Conj(comp)
t	het	Art(def)
'	?	punc(quest)
ghetuyt	getuigen	N(sing)
der	de	Art(def)
ooren	oor	N(plu)
t	het	Art(def)
'	?	punc(quest)
gheslacht	geslacht	N(sing)
'	?	punc(quest)
op	op	Adp()
aarden	aarde	n(plu)
menschelyck	menselijk	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
al	al	Adv(gener)
een	een	Art(indef)
oorsprong	oorsprong	N(sing)
wenschelyck	wenselijk	Adv(gener)
uyt	uit	Adp()
eenen	een	Art(indef)
vader	vader	N(sing)
alder	al+de	adj()
dingen	ding	n(plu)
diet	die+het	pron(rel)+pron(pers,3,sing)
al	al	adv(gener)
bestiert	besturen	V(fin,pres,lex)
en	en	Conj(coord)
kan	kunnen	v(fin,pres,aux_cop)
bedwingen	bedwingen	V(infin)
hy	hij	Pron(pers,3,sing)
ghaf	geven	V(fin,past,lex)
de	de	Art(def)
zon	zon	N(sing)
zyn	zijn	Pron(poss)
glantse	glans	N(sing)
klaar	klaar	Adj()
twee	twee	Num(card)
hoornen	hoorn	N(plu)
krom	krom	N(sing)
de	de	Art(def)
maan	maan	N(sing)
eerbaar	eerbaar	Adj(gener)
en	en	Conj(coord)
d	d	Art(def)
'	?	punc(quest)
aard	aarde	N(sing)
'	?	punc(quest)
den	de	Art(def)
mensch	mens	n(sing)
der	de	Art(def)
schepsels	schepsels	N(plu)
krone	kroon	N(sing)
oock	ook	Adv(gener)
sterren	ster	N(plu)
klaar	klaar	Adj()
den	de	Art(def)
hemel	hemel	N(sing)
schone	schoon	adj()
in	in	Adp()
s	sint	Art(def)
'	?	punc(quest)
menschen	mens	N(plu)
leden	lijden	N(plu)
hy	hij	Pron(pers,3,sing)
bepaalt	bepalen	V(fin,pres,lex)
t	het	Art(def)
'	?	punc(quest)
