waer	waar	v(fin,past,aux_cop)
om	om	Adp()
verlaet	verlaten	V(fin,pres,lex)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
myn	mijn	Pron(poss)
god	god	N(sing)
myn	mijn	Pron(poss)
heer	heer	N(sing)
verr	ver	Adv(gener)
'	?	punc(quest)
is	zijn	v(fin,pres,aux_cop)
v	gij	Pron(poss)
hulp	hulp	N(sing)
'	?	punc(quest)
doch	doch	Adv(gener)
ben	zijn	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
benauwt	benauwd	Adj()
seer	zeer	Adv(gener)
verr	ver	Adv(gener)
'	?	punc(quest)
hebt	hebben	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
myn	mijn	Pron(poss)
klachten	klachten	N(plu)
versteken	versteken	V(participle,past)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
wtbreken	uitbreken	V(infin)
des	de	Art(def)
daeghs	dag	n(sing)
aenroep	aanroepen	V(fin,pres,lex)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
v	gij	Pron(pers,2,plu)
wt	uit	Adp()
s	de	Art(def)
'	?	punc(quest)
herten	hart	N(sing)
gronde	grond	N(sing)
nochtans	nochtans	Adv(gener)
antwoort	antwoorden	V(fin,pres,lex)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
tot	tot	Adp()
geener	geen	Pron(indef)
stonde	stond	n(sing)
ende	en	conj(coord)
des	de	art(def)
nachts	nacht	n(sing)
laet	laten	v(imp)
ick	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
af	af	PronAdv(rel)
van	van	adp()
klaeghen	klagen	N(plu)
seer	zeer	Adv(gener)
verslaeghen	verslaan	V(infin)
doch	doch	Adv(gener)
heer	heer	N(sing)
ghy	gij	Pron(pers,2,plu)
sijt	zijn	V(fin,pres,aux_cop)
die	de	Art(def)
heyligh	heilig	adj()
'	?	punc(quest)
euen	even	adv(gener)
wel	wel	adv(gener)
die	die	pron(rel)
daer	daar	Adv(dem)
woent	wonen	v(fin,pres,lex)
onder	onder	Adp()
v	uw	Pron(poss)
volck	volk	N(sing)
israel	israel	N(prop)
daer	daar	Adv(dem)
ghy	gij	Pron(pers,2,sing)
wilt	willen	V(fin,pres,aux_cop)
dat	dat	Conj(subord)
hem	hij	Pron(pers,3,sing)
steedts	steeds	Adv(gener)
vermeere	vermeren	V(fin,pres,lex)
v	gij	Pron(poss)
'	?	punc(quest)
prijs	prijs	N(sing)
end	en	Conj(coord)
eere	eer	N(sing)
ons	ons	Pron(poss)
vaders	vader	n(sing)
hebben	hebben	V(fin,pres,aux_cop)
op	op	adp()
v	gij	Pron(pers,2,plu)
vast	vast	Adj()
gebauwet	bouwen	V(participle,past)
iae	ja	interj()
op	op	Adp()
v	gij	Pron(pers,2,plu)
alleyn	alleen	Adv(gener)
hebben	hebben	V(fin,pres,aux_cop)
se	zij	Pron(pers,3,plu)
vertrauwet	vertrouwen	V(participle,past)
die	die	Pron(rel)
haer	haar	Pron(poss)
banden	band	n(plu)
geweldigh	geweldig	Adj()
hebt	hebben	V(fin,pres,aux_cop)
ontbonden	ontbinden	V(participle,past)
t	het	Art(def)
'	?	punc(quest)
allen	al	Num(indef)
stonden	stond	n(plu)
biddende	bidden	v(participle,pres)
waeren	zijn	V(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
van	van	Adp()
druck	druk	N(sing)
bevrijdt	bevrijden	V(participle,past)
sy	zij	Pron(pers,3,plu)
hoepten	hopen	V(fin,past,lex)
op	op	Adp()
v	uw	Pron(poss)
goetheit	goedheid	N(sing)
t	het	Art(def)
'	?	punc(quest)
aller	al	Num(indef)
tijdt	tijd	N(sing)
end	en	Conj(coord)
ghy	gij	Pron(pers,2,plu)
beweest	bewijzen+het	V(fin,past,lex)+Art(def)
hen	zij	Pron(pers,3,plu)
vroegh	vroeg	Adv(gener)
end	en	Conj(coord)
staede	stade	N(sing)
vwe	uw	Pron(poss)
ghenaede	genade	N(sing)
maer	maar	Conj(coord)
ick	ik	Pron(pers,1,sing)
ben	zijn	V(fin,pres,aux_cop)
een	een	Art(indef)
worm	worm	N(sing)
end	en	Conj(coord)
gheen	geen	Pron(indef)
mensch	mens	N(sing)
'	?	punc(quest)
in	in	Adp()
krachten	kracht	n(plu)
een	een	Art(indef)
yders	ieder	Pron(indef)
spot	spot	n(sing)
want	want	Conj(coord)
se	zij	Pron(pers,3,plu)
my	ik	Pron(pers,1,sing)
al	al	Adv(gener)
verachten	verachten	V(infin)
my	ik	Pron(pers,1,sing)
tot	tot	Adp()
een	een	Art(indef)
spreeckwoort	spreekwoord	N(sing)
sy	zij	Pron(pers,3,plu)
te	te	Adp()
maeken	maken	V(infin)
plegen	plegen	V(infin)
aller	al	Num(indef)
weghen	weg	N(plu)
een	een	Art(indef)
yder	ieder	Pron(indef)
siet	zien	V(fin,pres,lex)
hoe	hoe	Adv(inter)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
heer	heer	N(sing)
slaet	slaan	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
bespott	bespotten	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
end	en	Conj(coord)
belacht	belachen	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
met	met	Adp()
smaet	smaad	N(sing)
verachtende	verachten	V(participle,pres)
steken	steken	V(infin)
se	zij	Pron(pers,3,plu)
den	de	Art(def)
mondt	mond	N(sing)
op	op	Adp()
end	en	Conj(coord)
schudden	schudden	V(infin)
den	de	Art(def)
kop	kop	n(sing)
dan	dan	Conj(comp)
sprekense	spreken+ze	N(fin,pres,lex)+Pron(pers,3,plu)
hy	hij	Pron(pers,3,sing)
staet	staan	V(fin,pres,lex)
tot	tot	Adp()
allen	al	Num(indef)
tyden	tijd	N(plu)
gantsch	gans	Adv(gener)
op	op	Adp()
synen	zijn	Pron(poss)
godt	god	N(sing)
dien	die	Pron(rel)
hy	hij	Pron(pers,3,sing)
bidt	bidden	V(fin,pres,lex)
in	in	Adp()
'	?	punc(quest)
t	het	Art(def)
lyden	lijden	N(plu)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
hem	hij	Pron(pers,3,sing)
help	helpen	N(sing)
'	?	punc(quest)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
hem	hij	Pron(pers,3,sing)
beminnet	beminnen	V(fin,pres,lex)
end	en	Conj(coord)
versinnet	verzinnen	V(fin,pres,lex)
doch	doch	Adv(gener)
hebt	hebben	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
wt	uit	Adp()
myns	mijn	Pron(poss)
moeders	moeder	N(sing)
lichaem	lichaam	N(sing)
ghebracht	brengen	V(participle,past)
end	en	Conj(coord)
hulpe	hulp	N(sing)
bewesen	bewijzen	V(infin)
bequaem	bekwaam	Adj()
van	van	adp()
myns	mijn	Pron(poss)
moeders	moeder	n(sing)
borst	borst	N(sing)
ghy	gij	Pron(pers,2,plu)
my	ik	Pron(pers,1,sing)
steets	steeds	Adv(gener)
bystaet	bijstaan	V(fin,pres,lex)
godt	god	N(sing)
myn	mijn	Pron(poss)
toeuerlaet	toeverlaat	N(sing)
iae	ja	interj()
dat	dat	Conj(subord)
meer	meer	Num(indef)
is	zijn	v(fin,pres,aux_cop)
so	zo	Adv(resum)
haest	haast	Adv(gener)
ick	ik	Pron(pers,1,sing)
was	zijn	V(fin,past,aux_cop)
geboren	geboren	V(participle,past)
hebt	hebben	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
my	ik	Pron(pers,1,sing)
ontfangen	ontvangen	V(infin)
ende	en	conj(coord)
verkoren	verkiezen	v(participle,past)
ende	en	conj(coord)
ghetoont	tonen	v(participle,past)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
myn	mijn	Pron(poss)
godt	god	N(sing)
wilt	willen	V(fin,pres,aux_cop)
wesen	wezen	V(infin)
hoogh	hoog	Adj()
gepresen	prijzen	V(participle,past)
daerom	daarom	PronAdv(dem)
van	van	Adp()
my	ik	Pron(pers,1,sing)
so	zo	adv(resum)
verr	ver	Adv(gener)
'	?	punc(quest)
doch	doch	Adv(gener)
niet	niet	Adv(neg)
en	ne	Adv(neg)
wyckt	wijken	v(fin,pres,lex)
den	de	art(def)
moet	moed	n(sing)
ontualt	ontvallen	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
end	en	Conj(coord)
t	het	Art(def)
'	?	punc(quest)
hert	hart	N(sing)
'	?	punc(quest)
my	ik	Pron(pers,1,sing)
beswyckt	bezwijken	V(fin,pres,lex)
end	en	Conj(coord)
daer	daar	Adv(dem)
is	zijn	V(fin,pres,aux_cop)
niemant	niemand	Pron(indef)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
geeft	geven	V(fin,pres,lex)
die	de	Art(def)
handt	hand	N(sing)
hulpe	hulp	N(sing)
noch	noch	Conj(coord)
bystandt	bijstand	N(sing)
veel	veel	Num(indef)
stercke	sterk	Adj()
stieren	stier	N(plu)
my	ik	Pron(pers,1,sing)
als	als	Conj(comp)
nu	nu	Adv(dem)
omringen	omringen	v(fin,pres,lex)
die	de	art(def)
ossen	os	n(plu)
vet	vet	Adj()
wt	uit	Adp()
basan	basan	N(prop)
my	ik	Pron(pers,1,sing)
bespringen	bespringen	V(infin)
om	om	Adp()
my	ik	Pron(pers,1,sing)
te	te	Adp()
verstricken	verstrikken	V(infin)
sy	zij	Pron(pers,3,plu)
vlijt	vlijt	V(fin,pres,lex)
anwenden	aanwenden	V(fin,past,lex)
my	ik	Pron(pers,1,sing)
te	te	Adp()
schenden	schenden	V(infin)
se	zij	Pron(pers,3,plu)
syn	zijn	v(fin,pres,aux_cop)
als	als	Conj(comp)
een	een	art(indef)
leeuw	leeuw	n(sing)
die	die	pron(rel)
verscheurt	verscheuren	V(fin,pres,lex)
seer	zeer	Adv(gener)
strangh	strang	Adj()
die	de	Pron(rel)
loert	loeren	v(fin,pres,lex)
om	om	adp()
te	te	adp()
roouen	roven	V(infin)
een	een	art(indef)
schaepken	schaap	N(sing)
kranck	krank	Adj()
sy	zij	Pron(pers,3,plu)
ontdoen	ontdoen	V(fin,past,lex)
haer	haar	Pron(poss)
kelen	keel	N(plu)
wijdt	wijd	N(sing)
en	en	Conj(coord)
breedt	breed	Adj()
schricklick	schrikkelijk	Adv(gener)
end	en	Conj(coord)
wreedt	wreed	Adj()
end	en	Conj(coord)
'	?	punc(quest)
als	als	Conj(comp)
water	water	n(sing)
vloeyen	vloeien	V(infin)
wegh	weg	n(sing)
myne	mijn	Pron(poss)
krachten	kracht	N(plu)
myn	mijn	Pron(poss)
leuen	leven	N(sing)
is	zijn	V(fin,pres,aux_cop)
ontstelt	onstellen	V(participle,past)
end	en	Conj(coord)
doer	door	Adp()
myn	mijn	Pron(poss)
klachten	klachten	N(plu)
smelt	smelten	V(fin,pres,lex)
myn	mijn	Pron(poss)
hert	hart	N(sing)
'	?	punc(quest)
als	als	conj(comp)
was	zijn	V(fin,past,aux_cop)
ooc	ook	Adv(gener)
vergaet	vergaan	V(participle,past)
myn	mijn	Pron(poss)
leuen	leven	N(sing)
met	met	Adp()
swaer	zwaar	Adj()
beuen	beven	V(infin)
pavse	paus	N(sing)
als	als	Conj(comp)
een	een	Art(indef)
potscherf	potscherf	n(sing)
is	zijn	v(fin,pres,aux_cop)
verdrooght	verdrogen	V(participle,past)
