ontfermt	ontfermen	v(imp)
v	gij	pron(pers,2,plu)
ouer	over	Adp()
my	ik	Pron(pers,1,sing)
aermen	arm	V(infin)
sondaer	zondaar	N(sing)
heer	heer	N(sing)
nae	na	Adp()
uwe	uw	Pron(poss)
goedtheit	goedheid	N(sing)
niet	niet	Adv(neg)
om	om	Adp()
volprysen	volprijzen	V(infin)
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
dit	dit	Pron(dem)
mael	maal	N(sing)
v	gij	pron(pers,2,plu)
'	?	punc(quest)
ghenaede	genade	N(sing)
bewysen	bewijzen	V(infin)
end	en	Conj(coord)
vergheeft	vergeven	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
myn	mijn	Pron(poss)
sonden	zonde	N(plu)
groot	groot	Adj()
end	en	Conj(coord)
swaer	zwaar	Adj()
wascht	wassen	V(imp)
my	ik	Pron(pers,1,sing)
o	o	Interj()
godt	god	N(sing)
maeckt	maken	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
suyuer	zuiver	N(sing)
end	en	Conj(coord)
klaer	klaar	Adj()
van	van	Adp()
myn	mijn	Pron(poss)
leelicke	lelijk	adj()
stinckende	stinkend	N(sing)
misdaeden	misdaad	n(plu)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
voor	voor	Adp()
v	gij	Pron(poss)
onreyn	onrein	Adj()
maeken	maken	V(infin)
voorwaer	voorwaar	Adv(gener)
reynight	reinigen	V(imp)
my	ik	Pron(pers,1,sing)
doer	door	Adp()
t	het	Art(def)
'	?	punc(quest)
water	water	N(sing)
uwer	uw	pron(poss)
ghenaeden	genade	n(sing)
want	want	Conj(coord)
doer	door	Adp()
veel	veel	num(indef)
klaeghens	klagen	N(plu)
myn	mijn	Pron(poss)
hert	hart	N(sing)
'	?	punc(quest)
my	ik	Pron(pers,1,sing)
verflauwt	verflauwen	V(fin,pres,lex)
als	als	Conj(comp)
ick	ik	Pron(pers,1,sing)
och	och	Interj()
aerm	arm	N(sing)
gheuoel	voel	n(sing)
'	?	punc(quest)
myn	mijn	Pron(poss)
groote	groot	Adj()
sonde	zonde	N(sing)
end	en	Conj(coord)
dat	dat	Conj(subord)
meer	meer	Num(indef)
is	zijn	V(fin,pres,aux_cop)
voor	voor	Adp()
my	ik	Pron(pers,1,sing)
staen	staan	V(infin)
t	het	Art(def)
'	?	punc(quest)
elcker	elk	Pron(indef)
stonde	stond	N(sing)
myn	mijn	Pron(poss)
sonden	zonde	N(plu)
al	al	Adv(gener)
dies	dat	Pron(dem)
ick	ik	Pron(pers,1,sing)
heer	heer	N(sing)
ben	zijn	V(fin,pres,aux_cop)
benauwt	benauwd	Adj()
voor	voor	Adp()
v	gij	Pron(pers,2,plu)
end	en	Conj(coord)
teghen	tegen	Adp()
v	gij	Pron(poss)
hebb	hebben	V(fin,pres,aux_cop)
