o	o	Interj()
myn	mijn	Pron(poss)
volck	volk	N(sing)
wilt	willen	V(fin,pres,aux_cop)
myn	mijn	Pron(poss)
leeringh	lering	N(sing)
'	?	punc(quest)
nu	nu	adv(dem)
aenhooren	aanhoren	V(infin)
neyght	neigen	V(imp)
v	gij	pron(pers,2,plu)
'	?	punc(quest)
verstandt	verstand	N(sing)
wilt	willen	V(fin,pres,aux_cop)
open	open	Adj()
doen	doen	V(infin)
v	gij	pron(pers,2,plu)
'	?	punc(quest)
ooren	oor	N(plu)
verneemt	vernemen	V(imp)
myns	mijn	Pron(poss)
monds	mond	N(sing)
schoon	schoon	adj()
'	?	punc(quest)
end	en	Conj(coord)
heerlicke	heerlijk	Adj()
reden	rede	N(sing)
van	van	adp()
my	ik	pron(pers,1,sing)
werden	worden	V(fin,past,aux_cop)
godes	god	N(sing)
wercken	werk	N(plu)
beleden	belijden	V(fin,past,lex)
van	van	Adp()
sijn	zijn	Pron(poss)
grootdaeden	grootdaad	N(plu)
wil	willen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
doen	doen	V(infin)
vermaen	vermaan	V(infin)
die	die	Pron(rel)
onse	ons	Pron(poss)
godt	god	N(sing)
hier	hier	Adv(dem)
voormaels	voormaals	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
ghedaen	doen	V(participle,past)
die	die	Pron(rel)
daeden	daad	n(plu)
die	die	pron(rel)
ons	wij	Pron(pers,1,plu)
voortyts	voortijds	Adv(gener)
sijn	zijn	pron(poss)
vermondet	vermonden	v(participle,past)
die	die	pron(rel)
ons	wij	pron(pers,1,plu)
ons	wij	pron(pers,1,plu)
grootvaeders	grootvader	N(sing)
hebben	hebben	v(fin,pres,aux_cop)
verkondet	verkonden	v(participle,past)
dat	dat	conj(subord)
se	zij	pron(pers,3,sing)
die	de	art(def)
kindren	kind	N(plu)
oock	ook	Adv(gener)
wisten	weten	V(fin,past,lex)
alvoren	alvorens	V(infin)
die	die	pron(rel)
noch	nog	Adv(gener)
naer	naar	adp()
hen	zij	pron(pers,3,plu)
souden	zullen	v(fin,past,aux_cop)
werden	worden	v(infin)
gheboren	geboren	adj()
op	op	adp()
dat	dat	Conj(subord)
se	zij	pron(pers,3,sing)
wisten	weten	v(fin,past,lex)
den	de	Art(def)
roem	roem	N(sing)
end	en	Conj(coord)
die	de	Art(def)
kracht	kracht	N(sing)
end	en	Conj(coord)
wercken	werk	N(plu)
groot	groot	Adj()
onses	ons	Pron(poss)
gods	god	N(sing)
hoogh	hoog	Adj()
'	?	punc(quest)
geacht	achten	N(sing)
godt	god	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
in	in	Adp()
iacob	jacob	n(prop)
sijn	zijn	Pron(poss)
verbondt	verbond	v(participle,past)
gegeuen	geven	V(participle,past)
end	en	Conj(coord)
in	in	Adp()
israel	israel	N(prop)
