wilt	willen	V(fin,pres,aux_cop)
godt	god	N(sing)
lof	lof	N(sing)
end	en	Conj(coord)
eer	eer	N(sing)
gheuen	geven	V(infin)
groot	groot	adj()
is	zijn	v(fin,pres,aux_cop)
sijn	zijn	Pron(poss)
vriendtlickheit	vriendelijkheid	N(sing)
end	en	Conj(coord)
sijn	zijn	Pron(poss)
goetheit	goedheid	N(sing)
verheuen	verheffen	V(participle,past)
blyft	blijven	V(fin,pres,aux_cop)
in	in	Adp()
der	de	art(def)
eewighheit	eeuwigheid	n(sing)
sy	zij	Pron(pers,3,plu)
die	die	Pron(rel)
vry	vrij	Adj()
sijn	zijn	Pron(poss)
ghekocht	kopen	V(participle,past)
sullen	zullen	v(fin,pres,aux_cop)
sijn	zijn	Pron(poss)
naem	naam	n(sing)
verklaeren	verklaren	V(infin)
end	en	Conj(coord)
die	de	Pron(rel)
godt	god	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
ghebrocht	brengen	V(participle,past)
wt	uit	Adp()
angst	angst	N(sing)
end	en	Conj(coord)
groot	groot	Adj()
beswaeren	bezwaren	V(infin)
hy	hij	Pron(pers,3,sing)
bringht	brengen	V(fin,pres,lex)
dat	dat	Art(def)
volck	volk	N(sing)
te	te	Adp()
saemen	samen	V(infin)
wt	uit	Adp()
oost	oost	N(sing)
'	?	punc(quest)
end	en	Conj(coord)
t	het	Art(def)
'	?	punc(quest)
weste	west	Adj()
breedt	breed	V(fin,pres,lex)
end	en	Conj(coord)
wt	uit	Adp()
t	het	Art(def)
'	?	punc(quest)
noord	noord	N(sing)
'	?	punc(quest)
onbequaeme	onbekwaam	Adj()
end	en	Conj(coord)
oock	ook	Adv(gener)
wt	uit	Adp()
t	het	Art(def)
'	?	punc(quest)
zuyde	zuid	N(sing)
heet	heten	v(fin,pres,aux_cop)
so	zo	Adv(resum)
sy	zij	pron(pers,3,plu)
dolen	dolen	V(infin)
met	met	Adp()
een	een	art(indef)
in	in	adp()
onghebaende	ongewapend	adj()
weghen	weg	n(plu)
ende	en	conj(coord)
doch	doch	adv(gener)
vinden	vinden	v(infin)
gheen	geen	Pron(indef)
plaetse	plaats	n(sing)
hen	zij	Pron(pers,3,plu)
welgheleghen	wegleiden	adj()
so	zo	Adv(resum)
sy	zij	Pron(pers,3,plu)
doer	door	Adp()
s	de	Art(def)
'	?	punc(quest)
honghers	honger	N(plu)
krachten	kracht	N(plu)
end	en	Conj(coord)
met	met	Adp()
dorst	dorst	N(sing)
sijn	zijn	Pron(poss)
ghequelt	kwellen	V(participle,past)
end	en	Conj(coord)
dat	dat	Conj(subord)
schier	schier	Adv(gener)
oock	ook	Adv(gener)
versmachten	versmachten	V(infin)
siel	ziel	N(sing)
end	en	Conj(coord)
lyf	lijf	N(sing)
op	op	Adp()
dat	dat	art(def)
veldt	veld	v(fin,pres,lex)
so	zo	Adv(resum)
sy	zij	Pron(pers,3,plu)
dan	dan	Adv(dem)
godt	god	N(sing)
seer	zeer	Adv(gener)
goet	goed	Adj()
bidden	bidden	v(infin)
in	in	adp()
haer	haar	pron(poss)
elenden	ellende	Adj()
hy	hij	Pron(pers,3,sing)
sal	zullen	V(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
met	met	adp()
der	de	art(def)
spoet	spoed	N(sing)
haest	haast	Adv(gener)
tot	tot	Adp()
haeren	haar	Pron(poss)
troost	troost	N(sing)
wenden	wenden	V(infin)
hy	hij	Pron(pers,3,sing)
bringht	brengen	V(fin,pres,lex)
se	zij	Pron(pers,3,sing)
dan	dan	Adv(dem)
seer	zeer	Adv(gener)
goedigh	goedig	Adj()
op	op	Adp()
eenen	een	Art(indef)
rechten	recht	adj()
padt	pad	N(sing)
tot	tot	Adp()
dat	dat	Conj(subord)
se	zij	Pron(pers,3,sing)
kommen	komen	V(infin)
spoedigh	spoedig	Adv(gener)
in	in	Adp()
een	een	Art(indef)
bewoende	bewonen	adj()
stadt	stad	N(sing)
alsdan	alsdanig	Adv(gener)
singhen	zingen	V(infin)
sy	zij	Pron(pers,3,plu)
reyn	rein	Adj()
godts	god	N(sing)
goetheit	goedheid	N(sing)
die	die	Pron(rel)
se	zij	Pron(pers,3,sing)
prysen	prijzen	V(infin)
van	van	Adp()
sijn	zijn	Pron(poss)
wondren	wonderen	n(plu)
niet	niet	adv(neg)
kleyn	klein	Adj()
t	het	Art(def)
'	?	Art(def)
volck	volk	N(sing)
sy	zij	Pron(pers,3,plu)
fyn	fijn	Adj()
onderwysen	onderwijzen	V(infin)
de	de	Art(def)
heer	heer	N(sing)
'	?	punc(quest)
verquickt	verkwikken	V(fin,pres,lex)
dat	het	art(def)
herte	hart	n(sing)
dat	dat	pron(rel)
van	van	adp()
dorste	dorst	v(fin,past,aux_cop)
vergaet	vergaan	v(fin,pres,lex)
dat	dat	Conj(subord)
oock	ook	Adv(gener)
lydt	lid	N(sing)
s	de	Art(def)
'	?	punc(quest)
honghers	honger	N(plu)
smerte	smart	n(sing)
van	van	adp()
hem	hij	pron(pers,3,sing)
sijn	zijn	pron(poss)
spys	spijs	n(sing)
'	?	punc(quest)
ontfaet	ontvangen	V(fin,pres,lex)
sy	zij	pron(pers,3,plu)
die	de	art(def)
gheuanghen	gevangen	Adj()
sijn	zijn	v(fin,pres,aux_cop)
in	in	adp()
moordtkuylen	moordkuil	N(sing)
verstooten	verstoten	V(participle,past)
vol	vol	adv(gener)
van	van	Adp()
angst	angst	N(sing)
vrees	vrees	N(sing)
'	?	punc(quest)
end	en	Conj(coord)
pyn	pijn	N(sing)
in	in	Adp()
ketenen	keten	N(plu)
ghesloten	sluiten	v(participle,past)
om	om	Adp()
dat	dat	Conj(subord)
se	zij	pron(pers,3,plu)
niet	niet	Adv(neg)
betrachtet	betrachten	v(participle,past)
hadden	hebben	v(fin,past,aux_cop)
des	de	Art(def)
heeren	heer	N(sing)
woort	woord	N(sing)
maer	maar	Conj(coord)
hadden	hebben	V(fin,past,aux_cop)
stout	stout	adj()
verachtet	verachten	V(participle,past)
godts	god	N(sing)
ghebodt	gebod	N(sing)
voort	voort	Adv(gener)
end	en	Conj(coord)
voort	voort	Adv(gener)
doch	doch	Adv(gener)
als	als	Conj(comp)
se	zij	Pron(pers,3,plu)
sijn	zijn	v(fin,pres,aux_cop)
in	in	Adp()
noot	nood	N(sing)
end	en	Conj(coord)
ootmoedelick	ootmoedelijk	Adj()
klaeghen	klagen	V(infin)
end	en	Conj(coord)
in	in	Adp()
lyden	lijden	N(plu)
seer	zeer	Adv(gener)
groot	groot	Adj()
benauwt	benauwd	Adj()
sijn	zijn	V(fin,pres,aux_cop)
end	en	Conj(coord)
verslaeghen	verslagen	V(infin)
so	zo	Adv(resum)
sy	zij	Pron(pers,3,plu)
bidden	bidden	v(infin)
den	de	Art(def)
heere	heer	n(sing)
in	in	adp()
al	al	Num(indef)
haer	haar	Pron(poss)
lyden	lijden	N(plu)
swaer	zwaar	Adj()
haer	haar	Pron(poss)
kruys	kruis	N(sing)
om	om	adp()
sijns	zijn	pron(poss)
naems	naam	n(sing)
eere	eer	n(sing)
weert	zijn+het	N(sing)
hy	hij	Pron(pers,3,sing)
hen	zij	Pron(refl,3,plu)
haest	haast	Adv(gener)
'	?	punc(quest)
daer	daar	Adv(dem)
naer	naar	Adp()
wt	uit	Adp()
den	de	Art(def)
moordtkuylen	moordkuil	N(sing)
fel	fel	Adj()
wt	uit	Adp()
angst	angst	N(sing)
end	en	Conj(coord)
oock	ook	Adv(gener)
wt	uit	Adp()
schanden	schande	N(sing)
verlost	verlossen	V(participle,past)
hy	hij	Pron(pers,3,sing)
die	die	Pron(rel)
seer	zeer	Adv(gener)
snel	snel	Adj()
end	en	Conj(coord)
wt	uit	Adp()
yseren	ijzeren	V(infin)
banden	band	N(plu)
godts	god	N(sing)
goetheit	goedheid	N(sing)
die	die	Pron(rel)
se	zij	Pron(pers,3,sing)
prysen	prijzen	V(infin)
