dancket	danken	V(imp)
den	de	Art(def)
heer	heer	N(sing)
'	?	punc(quest)
seer	zeer	Adv(gener)
hoogh	hoog	Adj()
'	?	punc(quest)
ghepresen	prijzen	V(participle,past)
want	want	Conj(coord)
groot	groot	Adj()
is	zijn	v(fin,pres,aux_cop)
sijn	zijn	Pron(poss)
vriendelickheit	vriendelijkheid	n(sing)
syn	zijn	v(fin,pres,aux_cop)
goedertierenheit	goedertierenheid	n(sing)
sal	zullen	v(fin,pres,aux_cop)
wesen	wezen	v(infin)
bestendigh	bestendig	adj()
in	in	adp()
der	de	art(def)
eewicheit	eeuwigheid	n(sing)
israel	israel	N(prop)
moet	moeten	V(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
nu	nu	adv(dem)
begheuen	begeven	v(infin)
om	om	Adp()
te	te	adp()
verkonden	verscheiden	v(infin)
met	met	adp()
bescheydt	bescheid	N(sing)
dat	dat	Conj(subord)
godts	god	N(sing)
barmherticheit	barmhartigheid	n(sing)
verheuen	verheffen	V(participle,past)
gheduert	geduren	V(participle,past)
tot	tot	Adp()
in	in	adp()
der	de	art(def)
eewicheyt	eeuwigheid	n(sing)
dat	dat	conj(subord)
huys	huis	n(sing)
aarons	a's1aron	n(prop)
al	al	adv(gener)
te	te	adp()
saemen	samen	v(infin)
moet	moeten	V(fin,pres,aux_cop)
nu	nu	adv(dem)
bekennen	bekennen	v(infin)
wydt	wijd	Adj()
end	en	Conj(coord)
breydt	breed	V(fin,pres,lex)
dat	dat	Conj(subord)
des	de	Art(def)
heeren	heer	N(sing)
goetheit	goedheid	N(sing)
bequaeme	bekwaam	Adj()
gheduert	geduren	V(participle,past)
tot	tot	Adp()
in	in	adp()
der	de	art(def)
eewicheit	eeuwigheid	n(sing)
sy	zij	Pron(pers,3,plu)
all	al	Num(indef)
'	?	punc(quest)
die	de	Pron(rel)
godt	god	N(sing)
vreesen	vrezen	V(fin,pres,lex)
ootmoedigh	ootmoedig	Adj()
