valschen	vals	adj()
klachten	klachten	N(plu)
ben	zijn	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
nu	nu	Adv(dem)
belaen	beladen	V(participle,past)
van	van	adp()
den	de	art(def)
hooueerdighen	hovaardig	n(sing)
seer	zeer	Adv(gener)
lueghenachtigh	leugenachtig	V(participle,past)
doch	doch	Adv(gener)
ick	ik	Pron(pers,1,sing)
sal	zullen	V(fin,pres,aux_cop)
in	in	Adp()
uwer	uw	pron(poss)
wet	wet	N(sing)
stracks	strak	Adv(gener)
voort	voorts	Adv(gener)
gaen	gaan	V(infin)
haer	haar	Pron(poss)
hert	hart	N(sing)
'	?	punc(quest)
is	zijn	V(fin,pres,aux_cop)
bedeckt	bedekken	V(participle,past)
met	met	Adp()
haer	haar	Pron(poss)
vett	vet	N(sing)
smeer	smeer	N(sing)
krachtigh	krachtig	Adj()
dies	dat	Pron(dem)
sy	zij	Pron(pers,3,plu)
niets	niets	Adv(neg)
konnen	kunnen	V(infin)
verstaen	verstaan	V(infin)
maer	maar	Conj(coord)
myn	mijn	Pron(poss)
vrueghdt	vreugde	N(sing)
sal	zullen	V(fin,pres,aux_cop)
altydt	altijd	Adv(gener)
sijn	zijn	v(infin)
in	in	Adp()
uwe	uw	pron(poss)
wet	wet	N(sing)
waerachtigh	waarachtig	Adj()
gheen	geen	Pron(indef)
meerder	meer	N(sing)
goet	goed	Adj()
heer	heer	N(sing)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
gheuen	geven	V(infin)
mueght	mogen	v(fin,pres,aux_cop)
dan	dan	conj(comp)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
vernedert	vernederen	V(participle,past)
end	en	Conj(coord)
maeckt	maken	V(fin,pres,lex)
kleyne	klein	Adj()
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
leer	leren	V(fin,pres,lex)
'	?	punc(quest)
uwe	uw	Pron(poss)
wet	wet	N(sing)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
verhueght	verheugen	V(fin,pres,lex)
veel	veel	Num(indef)
siluers	zilver	N(sing)
end	en	Conj(coord)
goudts	goud	N(sing)
geloutert	geloverd	V(participle,past)
seer	zeer	Adv(gener)
reyne	rein	Adj()
is	zijn	V(fin,pres,aux_cop)
niet	niet	Adv(neg)
so	zo	adv(resum)
kostelick	kostelijk	adv(gener)
noch	noch	conj(coord)
goet	goed	adj()
van	van	adp()
dueghdt	deugd	Conj(comp)+Pron(pers,3,sing)
als	als	conj(comp)
v	gij	pron(pers,2,plu)
'	?	punc(quest)
woort	woord	N(sing)
is	zijn	V(fin,pres,aux_cop)
end	en	Conj(coord)
uwe	uw	Pron(poss)
wet	wet	N(sing)
alleyne	alleen	Adv(gener)
vwe	uw	Pron(poss)
handen	hand	N(plu)
hebben	hebben	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
toebereydt	toebereiden	v(fin,pres,lex)
ende	en	conj(coord)
ghemaeckt	maken	v(participle,past)
wilt	willen	v(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
uwen	uw	Pron(poss)
gheest	geest	N(sing)
geuen	geven	v(infin)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
magh	mogen	V(fin,pres,aux_cop)
houden	houden	V(infin)
v	gij	Pron(poss)
'	?	punc(quest)
wet	wet	N(sing)
met	met	Adp()
bescheydt	bescheid	N(sing)
dan	dan	conj(comp)
sullen	zullen	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
die	die	Pron(rel)
in	in	Adp()
v	gij	pron(pers,2,plu)
'	?	punc(quest)
vreese	vrees	n(sing)
leuen	leven	V(infin)
als	als	Conj(comp)
sy	zij	Pron(pers,3,plu)
my	ik	Pron(pers,1,sing)
sien	zien	V(infin)
vast	vast	Adv(gener)
staen	staan	V(infin)
op	op	Adp()
v	uw	pron(pers,2,plu)
'	?	punc(quest)
woort	woord	N(sing)
klaer	klaar	Adj()
hen	zij	Pron(refl,3,plu)
oock	ook	Adv(gener)
verblyden	verblijden	V(infin)
in	in	Adp()
v	uw	Pron(poss)
'	?	punc(quest)
woort	woord	N(sing)
verheuen	verheffen	V(participle,past)
als	als	Conj(comp)
ghy	gij	Pron(pers,2,sing)
die	de	Art(def)
weereldt	wereld	N(sing)
straft	straffen	N(sing)
met	met	Adp()
v	gij	Pron(poss)
'	?	punc(quest)
handt	hand	N(sing)
swaer	zwaar	Adj()
ghy	gij	Pron(pers,2,plu)
doet	doen	V(fin,pres,lex)
haer	haar	Pron(poss)
recht	recht	N(sing)
nae	na	Adp()
v	uw	Pron(poss)
'	?	punc(quest)
gherechticheden	gerechtigheid	N(plu)
ghy	gij	Pron(pers,2,plu)
vernedert	vernederen	V(participle,past)
my	ik	Pron(pers,1,sing)
oock	ook	Adv(gener)
te	te	Adp()
recht	recht	N(sing)
'	?	punc(quest)
eenpaer	eenpaar	Adv(gener)
ick	ik	Pron(pers,1,sing)
bidd	bidden	V(fin,pres,lex)
'	?	punc(quest)
v	uw	Pron(poss)
heer	heer	N(sing)
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
doer	door	Adp()
v	gij	Pron(poss)
'	?	punc(quest)
goetheden	goedheid	n(plu)
in	in	adp()
desen	deze	pron(dem)
angst	angst	n(sing)
troosten	troosten	V(fin,past,lex)
myn	mijn	pron(poss)
herte	hart	N(sing)
bloot	bloot	Adj()
so	zo	Adv(resum)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
toeseyt	toezeggen	V(fin,pres,lex)
in	in	Adp()
tyden	tijd	N(plu)
voorleden	voorleden	V(participle,past)
hebt	hebben	V(fin,pres,aux_cop)
metlyden	teglijden	n(plu)
met	met	Adp()
my	ik	Pron(pers,1,sing)
in	in	Adp()
dit	dit	Pron(dem)
kruys	kruis	N(sing)
groot	groot	adj()
so	zo	Adv(resum)
kan	kunnen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
leuen	leven	V(infin)
want	want	Conj(coord)
in	in	adp()
uwer	uw	pron(poss)
leere	leer	n(sing)
