ick	ik	Pron(pers,1,sing)
paulus	paulus	N(prop)
jesu	jezus	N(prop)
christi	christus	n(prop)
knecht	knecht	n(sing)
geroepen	roepen	V(participle,past)
en	ne	Conj(coord)
vercoren	verkiezen	v(participle,past)
te	te	Adp()
prediken	prediken	V(infin)
het	het	Art(def)
woort	woord	N(sing)
te	te	Adp()
recht	recht	N(sing)
gepropheteert	profeteren	V(participle,past)
te	te	Adp()
voren	voren	adv(gener)
van	van	adp()
jesu	jezus	N(prop)
christo	christus	n(prop)
onsen	ons	Pron(poss)
heer	heer	N(sing)
hier	hier	Adv(dem)
nae	na	Adp()
den	de	Art(def)
vleesche	vlees	N(sing)
swac	zwak	Adj()
en	en	Conj(coord)
teer	teer	Adv(gener)
wt	uit	adp()
dauids	david	n(prop)
zaet	zaad	n(sing)
geboren	geboren	adj()
seer	zeer	n(sing)
crachtlijck	krachtelijk	Adv(gener)
is	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
na	na	Adp()
den	de	Art(def)
gheest	geest	n(sing)
gods	god	n(prop)
sone	zoon	N(sing)
oock	ook	adv(gener)
bewesen	bewijzen	v(participle,past)
die	die	Pron(rel)
ons	wij	Pron(pers,1,plu)
heylich	heilig	Adj()
maeckt	maken	V(fin,pres,lex)
alder	al+de	Num(indef)+Art(def)
meest	meest	Adv(gener)
na	na	Adp()
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
verresen	verrijzen	V(participle,past)
des	de	art(def)
derden	derde	num(ord)
daechs	dag	n(sing)
weer	zijn	v(fin,past,aux_cop)
vander	van+de	Adp()+Art(def)
doot	dood	N(sing)
door	door	Adp()
hem	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
de	de	Art(def)
ghenade	genade	N(sing)
groot	groot	Adj()
op	op	Adp()
ons	wij	Pron(pers,1,plu)
hy	hij	Pron(pers,3,sing)
sy	zij	Pron(pers,3,plu)
ghepresen	prijzen	V(participle,past)
vvy	gij	Pron(pers,2,plu)
dancken	danken	V(infin)
van	van	Adp()
tghelooue	het+geloof	Art(def)+N(sing)
al	al	num(indef)
hem	hij	pron(pers,3,sing)
diet	die+het	pron(rel)+pron(pers,3,sing)
gheeft	geven	V(fin,pres,lex)
menichfuldich	menigvuldig	Adj()
men	men	Pron(indef)
spreeckt	spreken	v(fin,pres,lex)
daer	daar	adv(dem)
van	van	adp()
int	het+in	art(def)+adp()
aertsche	aards	n(sing)
dal	dal	N(sing)
elck	elk	Pron(indef)
sy	zij	Pron(pers,3,plu)
christum	christus	N(prop)
ghehuldich	gehulpig	Adj()
tsgheests	het+van+de+geest	Art(def)+Adp()+Art(def)+N(sing)
gauen	geven	v(infin)
deylt	delen	n(sing)
en	ne	adv(neg)
willich	gewillig	Adj()
werckt	werken	V(imp)
den	de	Art(def)
griecken	griek	N(sing)
als	als	Conj(comp)
barbaren	baren	N(plu)
sterckt	sterken	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
zijts	zijn	V(fin,pres,aux_cop)
'	?	punc(quest)
oock	ook	Adv(gener)
alle	al	Num(indef)
schuldich	schuldig	Adj()
en	en	adv(neg)
schaemt	schamen	v(fin,pres,lex)
v	gij	pron(refl,2,plu)
teuangely	lang+te	adv(gener)
niet	niet	adv(neg)
een	een	Art(indef)
cracht	kracht	n(sing)
gods	god	N(sing)
hooch	hoog	Adj()
verheuen	verheffen	V(participle,past)
gheloouighen	gelovige	Adj()
het	het	Art(def)
heyl	heil	N(sing)
aenbiet	aanbidden	V(fin,pres,lex)
meer	meer	Num(indef)
wort	worden	v(fin,pres,aux_cop)
dan	dan	conj(comp)
noch	nog	adv(gener)
ghegheuen	geven	v(participle,past)
gherechticheyt	gerechtigheid	n(sing)
wort	worden	V(fin,pres,aux_cop)
v	gij	Pron(poss)
ontdect	ontdekken	v(participle,past)
want	want	conj(coord)
de	de	art(def)
gherechtighe	gerechtige	adj()
perfect	perfect	v(fin,pres,lex)
sal	zullen	v(fin,pres,aux_cop)
wt	uit	adp()
tghelooue	het+geloof	Art(def)+N(sing)
leuen	leven	V(infin)
den	de	Art(def)
toorne	toorn	N(sing)
gods	god	N(sing)
hem	hij	Pron(pers,3,sing)
openbaert	openbaren	v(fin,pres,lex)
ouer	over	adp()
de	de	art(def)
goddeloosheyt	goddeloos	n(sing)
en	en	adv(neg)
ouer	over	Adp()
ongherechten	ongerecht	adj()
aert	aard	n(sing)
der	de	art(def)
menschen	mens	N(plu)
vol	vol	adj()
van	van	adp()
broosheyt	broosheid	N(sing)
de	de	art(def)
ghene	gene	pron(dem)
die	die	pron(rel)
de	de	art(def)
waerheyt	waarheid	n(sing)
puer	puur	Adj()
in	in	Adp()
ongherechtheyt	ongerechtheid	n(sing)
telcker	te+elk	Adp()+Pro(indef)
uer	vrouw	n(sing)
onthouden	onthouden	v(infin)
door	door	adp()
haer	haar	Pron(poss)
boosheyt	boosheid	N(sing)
de	de	Art(def)
moghentheyt	mogendheid	N(sing)
en	en	art(indef)
godheyt	godheid	n(sing)
goet	goed	adj()
in	in	adp()
god	god	N(sing)
hier	hier	adv(dem)
onsienlijcke	onzienlijk	Adv(gener)
wortmen	worden+men	v(fin,pres,aux_cop)+pron(pers,indef)
wt	uit	Adp()
tswerelts	het+van+de+wereld	Art(def)+N(sing)
schepsel	schepsel	N(sing)
vroet	vroed	Adj()
neemt	nemen	V(fin,pres,lex)
voorder	verder	N(sing)
gheen	geen	Pron(indef)
wijcke	wijk	N(sing)
want	want	Conj(coord)
door	door	Adp()
de	de	Art(def)
creatueren	creatuur	N(plu)
fijn	fijn	adj()
can	kunnen	v(fin,pres,aux_cop)
de	de	Art(def)
schepper	schepper	N(sing)
wel	wel	Adv(gener)
bekent	bekend	Adj()
zijn	zijn	v(fin,pres,aux_cop)
een	een	Art(indef)
god	god	n(sing)
van	van	adp()
tshemels	te+hemel	Art(def)+N(sing)
rijcke	rijk	n(sing)
die	die	pron(rel)
hem	hij	Pron(pers,3,sing)
hier	hier	Adv(dem)
door	door	Adp()
niet	niet	Adv(neg)
heeft	hebben	V(fin,pres,aux_cop)
bekent	bekend	Adj()
ghedanckt	gedenken	V(participle,past)
noch	noch	conj(coord)
betoont	betonen	n(sing)
eere	eer	n(sing)
die	die	pron(dem)
