daer	daar	Adv(dem)
is	zijn	v(fin,pres,aux_cop)
nv	nu	adv(dem)
gheen	geen	pron(indef)
verdoemenis	verdoemenis	n(sing)
hen	zij	Pron(pers,3,plu)
die	die	pron(rel)
in	in	Adp()
christo	christus	N(prop)
blijuen	blijven	V(infin)
niet	niet	Adv(neg)
na	na	Adp()
den	de	Art(def)
vleesche	vlees	n(sing)
ongewis	ongewis	N(plu)
maer	maar	Conj(coord)
die	de	art(def)
gods	god	N(sing)
gheest	geest	n(sing)
sal	zullen	v(fin,pres,aux_cop)
drijuen	drijven	V(infin)
de	de	Art(def)
wet	wet	N(sing)
des	de	Art(def)
geests	geest	n(sing)
die	die	pron(rel)
godlijc	goddelijk	adj()
smaect	smaken	V(fin,pres,lex)
heeft	hebben	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
van	van	adp()
der	de	Art(def)
wet	wet	N(sing)
vry	vrij	Adj()
ghemaect	maken	V(participle,past)
van	van	Adp()
sond	zonde	n(sing)
'	?	punc(quest)
en	en	Conj(coord)
doot	dood	N(sing)
door	door	Adp()
tsgheests	het+van+de+geest	Art(def)+Adp()+Art(def)+N(sing)
inlijuen	inlijven	V(infin)
vvant	want	Conj(subord)
als	als	Conj(comp)
de	de	Art(def)
wet	wet	N(sing)
onmachtich	onmachtig	adj()
was	zijn	v(fin,past,aux_cop)
en	en	Conj(coord)
cranck	krank	Adj()
door	door	Adp()
tvleesch	het+vlees	Art(def)+N(sing)
hier	hier	Adv(dem)
wert	worden	V(fin,past,aux_cop)
gheuonden	vinden	V(participle,past)
heeft	hebben	V(fin,pres,aux_cop)
god	god	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
soon	zoon	N(sing)
die	die	Pron(rel)
ons	wij	pron(pers,1,plu)
ghenas	genezen	v(fin,past,lex)
int	in+het	Adp()+Art(def)
sondich	zondig	Adj()
vleesch	vlees	N(sing)
neder	neder	Adv(gener)
ghesonden	zenden	V(participle,past)
in	in	adp()
de	de	art(def)
ghedaent	gedaante	N(sing)
eens	een	art(indef)
knechts	knecht	N(sing)
voornoemt	vernoemen	V(participle,past)
voor	voor	Adp()
sond	zonde	N(sing)
'	?	punc(quest)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
de	de	Art(def)
sond	zonde	N(sing)
'	?	punc(quest)
verdoemt	verdoemen	V(participle,past)
int	het+in	Adp()+Art(def)
vleesch	vlees	n(sing)
wie	wie	Pron(inter)
mach	mogen	v(fin,pres,aux_cop)
gods	god	N(sing)
goetheyt	goedheid	N(sing)
gronden	grond	N(plu)
op	op	Adp()
dat	dat	Pron(dem)
doch	doch	Adv(gener)
het	het	Art(def)
recht	recht	N(sing)
van	van	adp()
de	de	art(def)
wet	wet	N(sing)
veruult	vervullen	v(participle,past)
wert	worden	adv(gener)
in	in	adp()
ons	wij	pron(pers,1,plu)
groot	groot	Adj()
en	en	Conj(coord)
cleyne	klein	Adj()
wy	wij	Pron(pers,1,plu)
die	die	Pron(rel)
na	na	Adp()
tvleesche	het+vlees	Art(def)+N(sing)
twelck	hetwelk	Pron(rel)
besmet	besmetten	V(fin,pres,lex)
niet	niet	Adv(neg)
leuen	leven	v(infin)
maer	maar	Conj(coord)
na	na	Adp()
gheest	geest	N(sing)
alleyne	alleen	Adv(gener)
want	want	Conj(coord)
diemen	die+men	Pron(rel)+Pron(indef)
vleeschelijck	vrolijk	Adj()
bekint	bekennen	v(fin,pres,lex)
sijn	zijn	v(fin,pres,aux_cop)
na	na	adp()
den	de	Art(def)
vleesche	vlees	n(sing)
hier	hier	Adv(dem)
ghesint	zenden	V(participle,past)
gheestlijcke	geestelijk	Adj()
na	na	adp()
den	de	art(def)
gheest	geest	n(sing)
gods	god	N(sing)
reyne	rein	Adj()
v	gij	Pron(pers,2,plu)
verstant	verstand	N(sing)
des	de	art(def)
vleeschs	vlees	n(sing)
dat	dat	pron(dem)
is	zijn	v(fin,pres,aux_cop)
de	de	art(def)
doot	dood	N(sing)
tsgheests	het+van+de+geest	Art(def)+Adp()+Art(def)+N(sing)
verstant	verstand	N(sing)
is	zijn	V(fin,pres,aux_cop)
leuen	leven	N(sing)
en	en	Conj(coord)
vrede	vrede	n(sing)
het	het	Art(def)
eerste	eerst	num(rod)
is	zijn	v(fin,pres,aux_cop)
vyantschap	vijandschap	N(sing)
groot	groot	Adj()
teghen	tegen	Adp()
gods	god	N(sing)
heerlijckhede	heerlijkheid	N(sing)
gods	god	N(sing)
wet	wet	N(sing)
wort	worden	V(fin,pres,aux_cop)
het	het	Pron(pers,3,sing)
niet	niet	adv(neg)
onderdaen	onderdaan	v(infin)
ten	te+de	art(def)+adp()
can	kunnen	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
niet	niet	Adv(neg)
die	die	Pron(rel)
int	in+het	art(def)+adp()
vleesch	vlees	n(sing)
staen	staan	V(infin)
connen	kunnen	V(fin,pres,aux_cop)
god	god	N(sing)
niet	niet	Adv(neg)
behaghen	behagen	v(infin)
mede	mede	adv(gener)
niet	niet	adv(neg)
in	in	adp()
het	het	Art(def)
vleesch	vlees	N(sing)
maer	maar	Conj(coord)
gheest	geest	N(sing)
ghy	gij	Pron(pers,2,plu)
leeft	leven	V(fin,pres,lex)
want	want	Conj(coord)
gods	god	N(sing)
gheest	geest	n(sing)
in	in	adp()
v	gij	pron(pers,2,plu)
is	zijn	v(fin,pres,aux_cop)
woonachtich	woonachtig	Adj()
die	die	pron(rel)
den	de	art(def)
gheest	geest	n(sing)
christi	christus	N(prop)
niet	niet	Adv(neg)
en	en	Adv(neg)
heeft	hebben	v(fin,pres,aux_cop)
en	en	Conj(coord)
