hebdy	hebben+gij	v(fin,pres,aux_cop)+pron(pers,2,sing)
niet	niet	Adv(neg)
ter	te+de	Adp()+Art(def)
missen	mis	n(sing)
gheweest	zijn	V(participle,past)
inder	in+de	Adp()+Art(def)
papen	paap	N(plu)
kercke	kerk	N(sing)
t	het	Art(def)
'	?	punc(quest)
guychelspel	kwikzilver	N(sing)
dat	dat	conj(subord)
men	men	pron(indef)
daer	daar	adv(dem)
leest	lezen	v(fin,pres,lex)
gaet	gaan	v(fin,pres,lex)
het	het	pron(pers,3,sing)
wel	wel	adv(gener)
te	te	Adp()
wercke	werk	n(sing)
oremus	oremus	N(sing)
craeyen	kraaien	v(infin)
cruycen	kruis	v(infin)
saeyen	zaaien	v(infin)
nijghen	neigen	v(infin)
draeyen	draaien	V(infin)
soo	zo	Adv(resum)
ickt	ik+dat	Pron(pers,1,sing)+Pron(dem)
wel	wel	Adv(gener)
aenmercke	aanmerken	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
duckt	dukken	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
buckt	bukken	V(fin,pres,lex)
voor	voor	Adp()
den	de	Art(def)
altaer	altaar	N(sing)
dan	dan	adv(dem)
droomt	dromen	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
oock	ook	Adv(gener)
int	in+het	Adp()+Art(def)
slape	slaap	N(sing)
seer	zeer	adv(gener)
veel	veel	num(indef)
cruycen	kruis	N(plu)
maeckt	maken	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
daer	daar	Adv(dem)
naer	naar	Adp()
verwondert	verwonderen	v(participle,past)
is	zijn	V(fin,pres,aux_cop)
de	de	art(def)
pape	paap	n(sing)
dat	dat	conj(subord)
zijn	zijn	v(fin,pres,aux_cop)
goyken	afgod	N(plu)
duyvels	duivel	N(sing)
boyken	boek	n(plu)
onder	onder	Adp()
d	de	Art(def)
'	?	punc(quest)
loyken	lokken	V(infin)
niet	niet	adv(neg)
wech	weg	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
zijn	zijn	pron(poss)
knape	knaap	N(sing)
hierom	hierom	PronAdv(dem)
soo	zo	Adv(resum)
is	zijn	V(fin,pres,aux_cop)
de	de	Art(def)
paep	paap	N(sing)
verblijt	verblijden	V(fin,pres,lex)
en	en	Conj(coord)
laet	laten	V(imp)
een	een	art(indef)
schelleken	schel	adj()
klincken	klinken	V(infin)
al	al	adv(gener)
coemter	komen+er	V(fin,pres,lex)+Pron(indef)
veel	veel	Num(indef)
tot	tot	Adp()
zijn	zijn	Pron(poss)
ombijt	ontbijt	N(sing)
niemant	niemand	Pron(indef)
en	en	Adv(neg)
wil	willen	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
schincken	schenken	V(infin)
maer	maar	Conj(coord)
acht	achten	V(fin,pres,lex)
onreene	onrein	Adj()
tvolck	het+volk	Art(def)+N(sing)
ghemeene	gemeen	Adv(gener)
want	want	Conj(coord)
alleene	alleen	adv(gener)
wil	willen	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
t	het	Art(def)
'	?	punc(quest)
wijntgen	wijn	V(infin)
drincken	drinken	v(infin)
tgoyken	het+afgod	Art(def)+N(sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
eten	eten	v(infin)
sal	zullen	v(fin,pres,aux_cop)
heft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
flucks	vlug	N(sing)
om	om	Adp()
hooghe	hoog	Adj()
zijn	zijn	Pron(poss)
knaep	knaap	N(sing)
stelt	stellen	V(fin,pres,lex)
als	als	Conj(comp)
een	een	Art(indef)
gheck	gek	N(sing)
seer	zeer	Adv(gener)
mal	malen	n(sing)
des	de	Art(def)
papen	paap	N(plu)
aers	aar	n(sing)
ten	te+de	art(def)+adp()
thooge	toon	N(sing)
al	al	adv(gener)
diet	die+het	pron(rel)+pron(pers,3,sing)
aenschouwen	aanschouwen	V(infin)
knien	knie	N(plu)
