ofter	of+er	conj(subord)+pronadv(pers)
yemant	iemand	pron(indef)
vraechde	vragen	v(fin,past,lex)
hoe	hoe	Adv(inter)
ick	ik	Pron(pers,1,sing)
ben	zijn	V(fin,pres,aux_cop)
befaemt	befaamd	Adj()
der	de	art(def)
papen	paap	n(plu)
claghe	klaag	n(sing)
benick	ik+zijn	pron(pers,1,sing)+v(fin,pres,aux_cop)
ghenaemt	genaamd	v(participle,past)
hoe	hoe	Adv(inter)
seer	zeer	Adv(gener)
sietmen	zien+men	V(fin,pres,lex)+Pron(indef)
nu	nu	Adv(dem)
dalen	dalen	V(infin)
ons	wij	pron(pers,1,plu)
pauselick	valselijk	Adj()
roomsche	rooms	Adj()
rijck	rijk	n(sing)
bisschoppen	bisschoppen	V(infin)
en	en	Conj(coord)
cardinalen	kardinaal	N(plu)
papen	paap	N(plu)
en	en	Conj(coord)
monicken	monnik	N(plu)
alle	al	Num(indef)
ghelijck	gelijk	Adv(gener)
wy	wij	Pron(pers,1,plu)
vallen	vallen	V(infin)
tot	tot	Adp()
den	de	Art(def)
ooren	oor	N(plu)
int	in+het	Adp()+Art(def)
slijck	slijk	N(sing)
wie	wie	Pron(inter)
sal	zullen	v(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
weder	weder	adv(gener)
oprechten	oprichten	v(infin)
want	want	conj(coord)
onse	ons	pron(poss)
knechten	knecht	n(plu)
nu	nu	adv(dem)
nemen	nemen	v(infin)
den	de	art(def)
wijck	wijk	n(sing)
des	dat	pron(dem)
moghen	mogen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
wel	wel	Adv(gener)
crijten	krijsen	V(infin)
suchten	zuchten	v(infin)
ende	en	conj(coord)
claghen	klagen	v(infin)
seer	zeer	Adv(gener)
ons	wij	Pron(pers,1,plu)
kerck	kerk	N(sing)
met	met	Adp()
haer	haar	Pron(poss)
profijten	profijt	n(plu)
willen	willen	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
nu	nu	Adv(dem)
trecken	trekken	V(infin)
ter	te+de	Adp()+Art(def)
neer	neer	N(sing)
sy	zij	Pron(pers,3,plu)
vallen	vallen	V(infin)
vast	vast	Adv(gener)
aen	aan	Adp()
hoe	hoe	adv(inter)
langer	lang	adv(gener)
hoe	hoe	adv(inter)
meer	meer	num(indef)
die	die	Pron(rel)
nu	nu	Adv(dem)
de	de	art(def)
nappen	nap	n(plu)
draghen	dragen	v(fin,pres,lex)
sonder	zonder	adp()
vertraghen	vertragen	v(infin)
trecken	trekken	v(infin)
om	om	Adp()
seer	zeer	Adv(gener)
aen	aan	Adp()
onse	ons	pron(poss)
heylighe	heilig	adj()
santen	sant	N(plu)
sy	zij	Pron(pers,3,plu)
als	als	Conj(comp)
nu	nu	Adv(dem)
de	de	Art(def)
handen	hand	N(plu)
slaen	slaan	V(infin)
end	en	Conj(coord)
achtense	achten+zij	V(fin,past,lex)+Pron(pers,3,plu)
als	als	Conj(comp)
onnutte	onnut	adj()
planten	planten	n(plu)
die	de	art(def)
langh	lang	Adv(gener)
gheen	geen	Pron(indef)
mirakel	mirakel	N(sing)
hebben	hebben	v(fin,pres,aux_cop)
gedaen	doen	v(participle,past)
dus	dus	adv(dem)
moeten	moeten	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
nu	nu	Adv(dem)
te	te	Adp()
water	water	n(sing)
gaen	gaan	V(infin)
sy	zij	Pron(pers,3,plu)
willense	willen+zij	V(participle,pres)
oock	ook	Adv(gener)
wel	wel	Adv(gener)
vieren	vieren	V(infin)
en	en	adv(neg)
vercieren	versieren	V(infin)
met	met	Adp()
roode	rood	adj()
tabbaerden	volboorden	n(prop)+adp()
aen	aan	Adp()
wonder	wonder	N(sing)
sietmen	zien+men	V(fin,pres,lex)+Pron(indef)
bedrijven	bedrijven	v(infin)
van	van	adp()
de	de	Art(def)
geusen	geus	N(plu)
seer	zeer	Adv(gener)
menichfout	menigvoud	Adv(gener)
sy	zij	Pron(pers,3,plu)
willen	willen	V(fin,pres,aux_cop)
ons	wij	Pron(pers,1,plu)
verdrijven	verdrijven	V(infin)
uit	uit	Adp()
onse	ons	Pron(poss)
clooster	klooster	N(sing)
lustich	lustig	adj()
ghebout	bouwen	N(sing)
och	och	Interj()
als	als	Conj(subord)
sy	zij	Pron(pers,3,plu)
aldus	aldus	adv(dem)
hebben	hebben	v(fin,pres,aux_cop)
ghebrout	broeden	v(participle,past)
waer	waar	v(fin,past,aux_cop)
willen	willen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
dan	dan	Adv(dem)
loopen	lopen	V(infin)
spaceren	spacieren	V(infin)
met	met	Adp()
hoopen	hoop	N(plu)
int	in+het	Adp()+Art(def)
groene	groen	adj()
wout	woud	n(sing)
de	de	art(def)
ghestichten	gesticht	n(plu)
ende	en	conj(coord)
wercken	werken	n(plu)
van	van	adp()
onsen	ons	pron(poss)
vader	vader	n(sing)
den	de	art(def)
heylighen	heilig	n(plu)
helt	held	N(sing)
sijn	zijn	V(fin,pres,aux_cop)
nu	nu	Adv(dem)
in	in	adp()
alle	al	num(indef)
kercken	kerk	N(plu)
meest	meest	Adv(gener)
al	al	adv(gener)
te	te	Adp()
samen	samen	Adv(gener)
qualick	kwalijk	adv(gener)
ghestelt	stellen	V(participle,past)
ons	wij	Pron(pers,1,plu)
misse	mis	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
haer	zij	Pron(pers,3,sing)
te	te	adp()
bedde	bed	n(sing)
ghevelt	vellen	V(participle,past)
sy	zij	Pron(pers,3,plu)
soeckt	zoeken	V(fin,pres,lex)
veel	veel	Num(indef)
medecijnen	medicijn	V(infin)
sy	zij	Pron(pers,3,plu)
wil	willen	V(fin,pres,aux_cop)
verdwijnen	verdwijnen	V(infin)
in	in	Adp()
ghebreck	gebrek	n(sing)
van	van	adp()
ghelt	geld	N(sing)
sy	zij	Pron(pers,3,plu)
zijn	zijn	V(fin,pres,aux_cop)
in	in	Adp()
groot	groot	Adj()
benouwen	benauwen	V(infin)
ons	wij	Pron(poss)
aflaten	aflaten	V(infin)
al	al	adv(gener)
inder	in+de	art(def)+adp()
kist	kist	n(sing)
om	om	adp()
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
niet	niet	Adv(neg)
moghen	mogen	V(fin,pres,aux_cop)
aenschouwen	aanschouwen	V(infin)
het	het	Art(def)
vaghevyer	vagevuur	N(sing)
dat	dat	conj(subord)
ons	wij	pron(pers,1,plu)
seer	zeer	Adv(gener)
mist	missen	V(fin,pres,lex)
ratten	rat	N(plu)
en	en	Conj(coord)
muysen	mussen	V(infin)
hebbent	hebben+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
uutghepist	uitrekken	n(sing)
sijn	zijn	v(fin,pres,aux_cop)
dit	dit	pron(dem)
niet	niet	Adv(neg)
groote	groot	Adj()
plaghen	plaag	N(plu)
by	bij	Adp()
vlaghen	vlaag	N(plu)
bedrijvense	bedrijven	V(infin)
sulcken	zulk	Pron(dem)
list	list	N(sing)
hoe	hoe	Adv(inter)
haest	haast	Adv(gener)
sietmen	zien+men	V(fin,pres,lex)+Pron(indef)
verkeeren	verkeren	V(infin)
in	in	adp()
corten	kort	adj()
tijen	tijd	n(sing)
so	zo	adv(gener)
men	men	pron(indef)
mach	mogen	v(fin,pres,aux_cop)
sien	zien	v(infin)
om	om	adp()
datmen	dat+men	Conj(subord)+Pron(indef)
ons	wij	pron(pers,1,plu)
niet	niet	Adv(neg)
meer	meer	Adv(gener)
wil	willen	V(fin,pres,aux_cop)
eeren	eer	v(infin)
stuypen	stuip	V(infin)
nijghen	neigen	V(infin)
en	en	Conj(coord)
buyghen	buigen	V(infin)
de	de	Art(def)
knien	knie	n(plu)
de	de	Art(def)
biecht	biecht	N(sing)
is	zijn	v(fin,pres,aux_cop)
doof	doof	adj()
gheworden	worden	V(participle,past)
by	bij	adp()
dien	die	Pron(rel)
sy	zij	Pron(pers,3,plu)
en	ne	Adv(neg)
can	kunnen	V(fin,pres,aux_cop)
niet	niet	adv(neg)
meer	meer	num(indef)
gheweten	geweten	V(participle,past)
de	de	art(def)
secreten	sekreet	n(plu)
al	al	adv(gener)
van	van	adp()
de	de	Art(def)
lien	lieden	n(plu)
princelicke	prinselijk	adj()
vader	vader	N(sing)
ghepresen	prijzen	V(participle,past)
gheresen	rijzen	V(participle,past)
te	te	Adp()
roome	rome	N(sing)
groot	groot	Adj()
wilt	willen	V(fin,pres,aux_cop)
onse	ons	Pron(poss)
voorstander	voorgezegd	N(sing)
wesen	wezen	v(infin)
in	in	adp()
desen	deze	pron(dem)
want	want	conj(coord)
nu	nu	Adv(dem)
wil	willen	V(fin,pres,aux_cop)
treffen	treffen	V(infin)
de	de	Art(def)
cloot	kloot	N(sing)
uwen	uw	Pron(poss)
schat	schat	N(sing)
wilt	willen	V(fin,pres,aux_cop)
nu	nu	Adv(dem)
ontdecken	ontdekken	V(infin)
bloot	bloot	Adj()
ende	en	conj(coord)
wilt	willen	v(fin,pres,aux_cop)
hem	hij	pron(pers,3,sing)
lustich	lustig	Adj()
uuten	uit+de	Adp()+Art(def)
end	en	Conj(coord)
ontsluyten	ontsluiten	V(infin)
want	want	Conj(coord)
het	het	pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
noot	nood	N(sing)
