o	o	Interj()
godt	god	N(sing)
van	van	Adp()
hemelrijcke	hemelrijk	N(sing)
wilt	willen	V(fin,pres,aux_cop)
u	gij	Pron(poss)
oogen	oog	N(plu)
nederwaerts	nederwaarts	Adv(gener)
slaen	slaan	V(infin)
op	op	Adp()
u	gij	Pron(poss)
kinderen	kind	N(plu)
al	al	Adv(gener)
gelijcke	gelijk	adv(gener)
die	die	pron(rel)
met	met	Adp()
druck	druk	n(sing)
noch	noch	Conj(coord)
zijn	zijn	Pron(poss)
belaen	beladen	V(participle,past)
al	al	Adv(gener)
somen	som	pron(indef)
nu	nu	adv(dem)
siet	zien	v(imp)
inder	in+de	adp()+art(def)
werelt	wereld	n(sing)
dit	dit	pron(dem)
is	zijn	v(fin,pres,aux_cop)
claer	klaar	adj()
van	van	Adp()
groot	groot	Adj()
oproer	oproer	N(sing)
en	en	Conj(coord)
tweedracht	tweedracht	N(sing)
voorwaer	voorwaar	Adv(gener)
men	men	Pron(indef)
siet	zien	V(fin,pres,lex)
daechgelicx	dagelijks	Adv(gener)
voor	voor	Adp()
ons	wij	Pron(pers,1,plu)
oogen	oog	N(plu)
niemant	niemand	Pron(indef)
wil	willen	V(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
tot	tot	adp()
duechden	deugd	n(plu)
poghen	pogen	n(plu)
alsoot	alzo+het	conj(comp)+pron(pers,3,sing)
nu	nu	adv(dem)
cortelinge	korteling	adv(gener)
is	zijn	v(fin,pres,aux_cop)
gebleken	blijken	v(participle,past)
al	al	adv(gener)
in	in	adp()
dat	het	art(def)
vlaenderen	vlaanderen	adj()
lant	land	n(sing)
hoe	hoe	adv(inter)
der	de	art(def)
ses	zes	num(card)
vaendel	onedel	N(sing)
guesknechten	schenken	V(participle,past)
zijn	zijn	v(fin,pres,aux_cop)
gestreken	strijken	V(participle,past)
om	om	adp()
de	de	art(def)
stadt	stad	N(sing)
van	van	Adp()
valecijn	vaatje	N(sing)
te	te	adp()
doen	doen	v(infin)
onderstant	onderstant	v(infin)
dat	dat	conj(subord)
verhoorde	verhoren	v(fin,past,lex)
mijn	mijn	pron(poss)
van	van	adp()
rijsseghom	rijs	n(prop)
ende	en	conj(coord)
hy	hij	Pron(pers,3,sing)
heetse	heten+zij	v(fin,pres,aux_cop)+pron(pers,3,sing)
wellecome	welkom	Adj()
certeyn	certein	N(sing)
hy	hij	Pron(pers,3,sing)
voerdese	voeren+zij	V(fin,past,lex)+Pron(pers,3,plu)
binnen	binnen	Adv(gener)
zijn	zijn	v(fin,pres,aux_cop)
heerlickhede	heerlijkheid	N(sing)
die	de	Pron(rel)
knechten	knecht	n(plu)
waren	zijn	v(fin,past,aux_cop)
niet	niet	adv(neg)
wel	wel	adv(gener)
te	te	adp()
vreden	vrede	N(sing)
hy	hij	Pron(pers,3,sing)
vraechde	vragen	V(fin,past,lex)
als	als	Conj(comp)
judas	judas	n(prop)
dede	doen	v(fin,past,lex)
alsoot	alzo+het	Adv(dem)+Pron(rel)
aen	aan	adp()
hem	hij	Pron(pers,3,sing)
bleeck	blijken	Adj()
voorwaer	voorwaar	Adv(gener)
een	een	Art(indef)
bode	bode	N(sing)
sont	zoon	N(sing)
hy	hij	Pron(pers,3,sing)
na	na	Adp()
rijssele	prijselijk	N(sing)
binnen	binnen	adp()
der	de	art(def)
stede	stad	n(sing)
dat	dat	conj(subord)
de	de	Art(def)
heeren	heer	N(sing)
hen	zij	Pron(pers,3,plu)
ruiters	ruiter	N(plu)
en	en	Conj(coord)
knechten	knecht	N(plu)
soude	zullen	v(fin,past,aux_cop)
senden	zenden	v(infin)
aldaer	aldaar	adv(dem)
de	de	art(def)
guezen	goed	adj()
waren	zijn	v(fin,past,aux_cop)
daer	daar	adv(dem)
op	op	adp()
verdacht	verdagen	v(fin,past,lex)
ende	en	conj(coord)
sy	zij	pron(pers,3,plu)
hadden	hebben	V(fin,past,aux_cop)
gescut	geschut	v(participle,past)
al	al	adv(gener)
op	op	Adp()
de	de	art(def)
wagens	wagen	n(sing)
gebracht	brengen	V(participle,past)
twelc	hetwelk	Pron(rel)
rijssegom	prijselijk	N(prop)
niet	niet	adv(neg)
hadde	hebben	v(fin,past,aux_cop)
vernomen	vernemen	v(participle,past)
ende	en	conj(coord)
