alsmen	als+men	conj(comp)+pron(indef)
schreef	schrijven	V(fin,past,lex)
duysent	duizend	num(card)
vijfhondert	biechtvader	Num(card)
in	in	Adp()
dat	het	art(def)
achtensestichste	achtentwintig	n(sing)
jaer	jaar	n(sing)
was	zijn	V(fin,past,aux_cop)
menich	menig	Num(indef)
mensch	mens	N(sing)
verwondert	verwonderen	V(fin,pres,lex)
te	te	Adp()
bruyssel	brussel	n(prop)
int	in+het	Adp()+Art(def)
openbaer	openbaar	Adv(gener)
vier	vuur	N(sing)
graven	graaf	N(plu)
edel	edel	adj()
van	van	adp()
bloede	bloed	n(sing)
doodemen	doden+hij	n(plu)
in	in	adp()
corten	kort	adj()
stont	stond	n(sing)
daer	daar	adv(dem)
toe	toe	v(fin,past,lex)
seer	zeer	Adv(gener)
rijck	rijk	N(sing)
van	van	Adp()
goede	goed	Adj()
ick	ik	Pron(pers,1,sing)
wilse	willen+zij	V(fin,pres,aux_cop)+Pron(pers,3,plu)
u	gij	Pron(pers,2,sing)
doen	doen	V(infin)
condt	kond	v(fin,past,aux_cop)
een	een	Art(indef)
heer	heer	N(sing)
van	van	Adp()
grooter	groot	Adj()
machten	macht	N(plu)
en	en	Conj(coord)
grave	graaf	N(sing)
van	van	Adp()
egmont	egmont	N(prop)
als	als	Conj(comp)
een	een	art(indef)
schaep	schaap	N(sing)
ginck	gaan	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
ter	ter	Adp()+Art(def)
slachten	slachten	N(plu)
want	want	Conj(coord)
ghecomen	komen	v(participle,past)
was	zijn	v(fin,past,aux_cop)
ure	uur	N(sing)
en	ne	adv(neg)
stont	staan	v(fin,past,lex)
men	men	pron(indef)
sach	zien	v(fin,past,lex)
daer	daar	adv(dem)
weenen	wenen	v(infin)
en	ne	adv(neg)
trueren	treuren	v(fin,pres,lex)
so	zo	adv(resum)
menich	menig	num(indef)
man	man	n(sing)
en	een	art(indef)
wijf	wijf	n(sing)
te	te	adp()
bruyssel	brussel	n(prop)
binnen	binnen	adp()
der	de	art(def)
mueren	muur	n(sing)
al	al	adv(gener)
om	om	Adp()
dit	dit	pron(dem)
wreet	wreed	adj()
bedrijf	bedrijf	N(sing)
cloeck	kloek	Adj()
ginck	gaan	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
na	na	Adp()
der	de	Art(def)
stede	stad	n(sing)
daer	daar	PronAdv(rel)
hy	hij	pron(pers,3,sing)
moste	moeten	v(fin,past,aux_cop)
sterven	sterven	v(infin)
desolaet	dwalen	art(def)+n(sing)
en	en	Conj(coord)
sprack	spreken	V(fin,past,lex)
ghy	gij	Pron(pers,2,plu)
heeren	heer	N(sing)
en	en	Conj(coord)
burghers	burger	N(plu)
mede	mede	adv(gener)
och	och	interj()
isser	zijn+er	V(fin,pres,lex)+Adv(gener)
nu	nu	Adv(dem)
gheen	geen	Pron(indef)
ghenaedt	genade	N(sing)
soo	zo	Adv(resum)
ben	zijn	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
een	een	Art(indef)
arme	arm	Adj()
grave	graf	n(sing)
daer	daar	adv(dem)
toe	toe	v(fin,past,lex)
gheen	geen	pron(indef)
edelman	edelman	N(plu)
niemant	niemand	Pron(indef)
hem	hij	Pron(pers,3,sing)
antwoort	antwoorden	v(fin,pres,lex)
gave	gave	N(sing)
dies	dat	Pron(dem)
sprack	spreken	v(fin,past,lex)
den	de	Art(def)
grave	graf	N(sing)
nu	nu	adv(dem)
wel	wel	adv(gener)
an	aan	adp()
de	de	art(def)
grave	graf	n(sing)
nam	nemen	v(fin,past,lex)
sonder	zonder	adp()
trueren	treuren	n(plu)
een	een	art(indef)
cussen	kussen	N(sing)
hoort	horen	v(fin,pres,lex)
dit	dit	pron(dem)
bedien	bedijen	V(infin)
daer	daar	adv(dem)
op	op	Adp()
hy	hij	Pron(pers,3,sing)
den	de	Art(def)
doot	dood	N(sing)
wilde	willen	v(fin,past,aux_cop)
besueren	bezuren	v(infin)
en	ne	adv(neg)
booch	buigen	v(fin,past,lex)
daer	daar	Adv(dem)
op	op	Adp()
zijn	zijn	Pron(poss)
knien	knie	N(plu)
te	te	Adp()
samen	samen	Adv(gener)
leyde	leiden	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
zijn	zijn	Pron(poss)
handen	hand	N(plu)
ten	te+de	Adp()+Art(def)
hemel	hemel	N(sing)
siende	zien	V(participle,pres)
seer	zeer	Adv(gener)
soet	zoet	Adj()
godt	god	N(sing)
doende	doen	V(participle,pres)
