o	o	interj()
god	god	n(sing)
van	van	adp()
hemelrijcke	hemelrijk	n(sing)
siet	zien	V(imp)
toch	toch	Adv(gener)
neder	neder	Adv(gener)
int	in+het	Adp()+Art(def)
aertsche	aards	n(sing)
dal	dal	N(sing)
op	op	Adp()
u	uw	pron(poss)
kind	kind	N(sing)
'	?	punc(quest)
ren	ren	adj()
al	al	adv(gener)
ghelijcke	gelijk	adv(gener)
die	de	art(def)
bedruckt	bedrukken	V(fin,pres,lex)
zijn	zijn	v(fin,pres,aux_cop)
over	over	Adp()
al	al	Adv(gener)
al	al	adv(gener)
vanden	van+de	art(def)+adp()
duck	dik	N(sing)
dalve	delven	N(sing)
met	met	adp()
wreeden	wreed	adj()
geschal	geschal	N(sing)
hy	hij	Pron(pers,3,sing)
vervolcht	vervolgen	V(fin,pres,lex)
de	de	Art(def)
christenen	christen	N(prop)
groot	groot	Adj()
en	en	Conj(coord)
smal	smal	Adj()
voor	voor	Adp()
haerlem	haarlem	N(prop)
buyten	buiten	V(infin)
der	de	art(def)
stede	stad	n(sing)
daer	daar	Adv(dem)
leyt	liggen	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
met	met	Adp()
grooten	groot	Adj()
onvrede	onvrede	N(sing)
duc	duc	Adv(gener)
dalve	delven	n(sing)
sant	zand	n(sing)
dry	drie	num(card)
posten	post	v(infin)
ghetrouwen	getrouwen	V(infin)
voor	voor	Adp()
haerlem	haarlem	N(prop)
die	de	Art(def)
stede	stad	n(sing)
valiant	valjant	v(fin,pres,lex)
of	of	Conj(coord)
sy	zij	Pron(pers,3,plu)
de	de	Art(def)
stadt	stad	N(sing)
opgheven	opgeven	V(participle,past)
wouden	willen	V(fin,past,aux_cop)
van	van	adp()
sconincx	de+koning	Art(def)+N(sing)
weghen	weg	n(plu)
in	in	Adp()
zynder	zijn+daar	V(fin,pres,aux_cop)+Pron(dem)
hant	hand	n(sing)
oft	of	Conj(coord)
wy	wij	Pron(pers,1,plu)
eysschen	eisen	V(infin)
de	de	Art(def)
stad	stad	n(sing)
te	te	adp()
sweerd	zwaard	n(sing)
'	?	punc(quest)
en	en	Conj(coord)
te	te	Adp()
brant	brand	N(sing)
soo	zo	Adv(resum)
wy	wij	Pron(pers,1,plu)
die	die	Pron(rel)
winnen	winnen	N(plu)
met	met	adp()
stormender	stormende	N(sing)
handt	hand	N(sing)
en	en	Conj(coord)
salder	zullen+er	v(fin,pres,lex)+pron(rel)
niemant	niemand	Pron(indef)
houden	houden	V(infin)
sijn	zijn	Pron(poss)
leven	leven	N(sing)
wilt	willen	V(fin,pres,aux_cop)
u	gij	Pron(pers,2,sing)
in	in	adp()
onser	ons	pron(poss)
ghenade	genade	n(sing)
gheven	geven	v(infin)
doe	toen	Adv(dem)
sprack	spreken	v(fin,past,lex)
een	een	art(indef)
borgher	burger	N(sing)
van	van	adp()
waerden	woord	N(plu)
wy	wij	Pron(pers,1,plu)
hebben	hebben	V(fin,pres,aux_cop)
wel	wel	Adv(gener)
van	van	adp()
zijn	zijn	Pron(poss)
ghenade	genade	N(sing)
ghehoort	horen	V(participle,past)
al	al	Adv(gener)
aen	aan	adp()
die	de	art(def)
schamel	schamel	N(sing)
borghers	burger	n(plu)
van	van	Adp()
naerden	naarden	N(plu)
die	die	Pron(rel)
zijn	zijn	V(fin,pres,aux_cop)
soo	zo	Adv(gener)
deerlick	deerlijk	Adv(gener)
vermoort	vermoord	V(participle,past)
mans	man	n(sing)
vrouwen	vrouw	n(sing)
kinders	kind	n(plu)
men	men	pron(indef)
sloegent	het+slaan	pron(pers,3,sing)+v(fin,past,lex)
al	al	adv(gener)
doot	dood	adj()
die	de	Pron(rel)
borghers	burger	n(plu)
van	van	Adp()
zutphen	zutphen	N(plu)
deden	doen	v(fin,past,lex)
open	open	Adj()
de	de	Art(def)
poort	poort	N(sing)
men	men	pron(indef)
woudese	willen+zij	v(fin,past,lex)+pron(pers,3,sing)
in	in	adp()
ghenade	genade	N(sing)
ontfanghen	ontvangen	V(infin)
maer	maar	Conj(coord)
zijn	zijn	Pron(poss)
gheslaghen	slaan	v(participle,past)
ende	en	conj(coord)
ghehanghen	hangen	v(participle,past)
de	de	art(def)
stadt	stad	N(sing)
wy	wij	Pron(pers,1,plu)
niet	niet	Adv(neg)
opgheven	opgeven	V(infin)
sprack	spreken	v(fin,past,lex)
die	de	art(def)
overste	overst	adj()
luytenant	luitenant	N(sing)
wy	wij	Pron(pers,1,plu)
willense	willen+zij	v(fin,pres,lex)+pron(pers,3,plu)
bewaren	bewaren	V(infin)
van	van	adp()
sconincx	de+koning	Art(def)+N(sing)
wegen	weg	N(plu)
en	en	Conj(coord)
gheven	geven	V(infin)
ons	wij	pron(pers,1,plu)
