wie	wie	Pron(inter)
wil	willen	V(fin,pres,aux_cop)
hooren	horen	V(infin)
een	een	Art(indef)
nieu	nieuw	Adj()
liet	laten	V(fin,past,lex)
en	en	Conj(coord)
dat	dat	pron(dem)
sal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
u	gij	Pron(pers,2,sing)
singhen	zingen	V(infin)
vanden	van+de	Adp()+Art(def)
ouden	oud	adj()
man	man	n(sing)
die	die	pron(rel)
ducdalve	dukdalf	n(sing)
hiet	heten	v(fin,past,aux_cop)
tzijn	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
also	alzo	adv(dem)
vreemde	vreemd	adj()
dinghen	ding	N(plu)
hy	hij	Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
begonnen	beginnen	V(participle,past)
in	in	adp()
ons	ons	pron(poss)
lant	land	n(sing)
van	van	adp()
sconincks	de+koning	Art(def)+N(sing)
weghen	weg	n(plu)
te	te	Adp()
comen	komen	V(infin)
maer	maar	Conj(coord)
zijn	zijn	Pron(poss)
rancken	rank	N(plu)
en	en	Conj(coord)
blancken	blank	V(infin)
zijn	zijn	V(fin,pres,aux_cop)
al	al	Adv(gener)
bekant	bekend	Adj()
het	het	Pron(pers,3,sing)
zijn	zijn	V(fin,pres,aux_cop)
al	al	Adv(gener)
blaeuwe	blauw	Adj()
blomen	bloem	n(plu)
die	die	pron(rel)
privilegien	privilege	n(plu)
cleyn	klein	adj()
noch	noch	Conj(coord)
groot	groot	Adj()
wil	willen	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
gheen	geen	Pron(indef)
steden	stad	N(plu)
laten	laten	V(infin)
die	de	art(def)
vroomste	vroom	adj()
des	de	art(def)
landts	land	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
ghedoot	doden	V(participle,past)
versmaedt	versmaden	V(fin,pres,lex)
raedt	raad	N(sing)
ende	en	conj(coord)
staten	staat	N(plu)
papen	paap	N(plu)
en	en	Conj(coord)
papisten	papist	N(plu)
allegaer	algader	Adv(gener)
hadden	hebben	v(fin,past,aux_cop)
na	na	adp()
hem	hij	Pron(pers,3,sing)
verlanghen	verlangen	V(infin)
nu	nu	Adv(dem)
dancken	danken	V(infin)
sy	zij	Pron(pers,3,plu)
melis	melis	N(prop)
der	de	Art(def)
papen	paap	N(plu)
vaer	vaar	n(sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
wech	weg	Adv(gener)
gheganghen	gaan	V(participle,past)
hy	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
met	met	Adp()
processy	processie	N(sing)
inghehaelt	inhalen	V(participle,past)
men	men	Pron(indef)
ginck	gaan	v(fin,past,lex)
daer	daar	Adv(dem)
al	al	Adv(gener)
slampempen	slampampen	V(infin)
nu	nu	adv(dem)
vaert	varen	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
wech	weg	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
niemant	niemand	Pron(indef)
betaelt	betalen	V(participle,past)
by	bij	Adp()
nacht	nacht	N(sing)
soo	zo	Adv(resum)
gaet	gaan	V(fin,pres,lex)
