och	och	Interj()
my	ik	Pron(pers,1,sing)
jammert	jammer	V(fin,pres,lex)
met	met	Adp()
wee	wee	n(sing)
de	de	Art(def)
moort	moord	N(sing)
van	van	Adp()
bueren	buren	N(plu)
de	de	art(def)
stee	stee	N(sing)
t	het	Art(def)
'	?	punc(quest)
verraet	verraden	V(participle,past)
dede	doen	v(fin,past,lex)
haer	zij	pron(pers,3,sing)
sneven	sneven	v(infin)
dat	dat	pron(dem)
doet	doen	V(fin,pres,lex)
het	het	pron(pers,3,sing)
spaensch	spaans	Adj()
ghebroet	broeden	V(participle,past)
monsieur	monsieur	n(sing)
hierges	heerser	n(sing)
verwoet	verwoed	Adj()
heeft	hebben	v(fin,pres,aux_cop)
dese	deze	pron(dem)
moordt	moord	N(sing)
bedreven	bedrijven	v(fin,pres,lex)
die	die	Pron(rel)
capiteyn	kapitein	n(sing)
vant	vinden	Adp()+Art(def)
slot	slot	N(sing)
te	te	adp()
bueren	buren	v(infin)
ghaff	geven	V(fin,past,lex)
t	het	Art(def)
'	?	punc(quest)
ghebodt	gebod	N(sing)
dat	dat	Conj(subord)
niemandt	niemand	Pron(indef)
soude	zullen	v(fin,past,aux_cop)
schieten	schieten	v(infin)
heeft	hebben	V(fin,pres,aux_cop)
zijn	zijn	Pron(poss)
verraedt	verraden	V(participle,past)
volbrocht	volbrengen	v(participle,past)
was	zijn	v(fin,past,aux_cop)
met	met	adp()
gheldt	geld	N(sing)
omghecocht	omgorden	V(participle,past)
zijn	zijn	Pron(poss)
eedt	eed	N(sing)
deed	doen	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
te	te	Adp()
niete	niet	N(sing)
de	de	Art(def)
spaengiaerts	spanjaard	N(prop)
willet	willen	V(fin,pres,aux_cop)
verstaen	verstaan	v(infin)
vielen	vallen	v(fin,past,lex)
die	de	art(def)
stadt	stad	N(sing)
dapper	dapper	Adj()
aen	aan	Adp()
en	en	Conj(coord)
met	met	Adp()
gh	gij	Pron(pers,2,plu)
'	?	punc(quest)
weldt	willen	v(fin,pres,aux_cop)
inghenomen	innemen	V(participle,past)
zy	zij	Pron(pers,3,sing)
sloeghent	het+slaan	V(fin,past,lex)
daer	daar	Adv(dem)
al	al	Adv(gener)
doot	dood	N(sing)
jonck	jong	adj()
out	oud	Adj()
kleyn	klein	adj()
ende	en	conj(coord)
groot	groot	Adj()
soo	zo	Adv(resum)
wie	wie	Pron(inter)
'	?	punc(quest)
t	het	Art(def)
niet	niet	Adv(neg)
cond	kunnen	V(fin,past,aux_cop)
'	?	punc(quest)
ontcomen	ontkommerd	V(participle,past)
veel	veel	num(indef)
burghers	burger	N(plu)
namen	nemen	V(fin,past,lex)
de	de	art(def)
vlucht	vlucht	N(sing)
opt	op+het	Adp()+Art(def)
casteel	kasteel	n(sing)
met	met	Adp()
groot	groot	adj()
gherucht	gerucht	N(sing)
zy	zij	Pron(pers,3,sing)
meynden	menen	V(fin,past,lex)
t	het	Art(def)
'	?	punc(quest)
casteel	kasteel	N(sing)
te	te	Adp()
houwen	houwen	V(infin)
de	de	Art(def)
capiteyn	kapitein	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
anders	anders	Adv(gener)
ghedacht	gedachte	N(sing)
end	en	Conj(coord)
zijn	zijn	Pron(poss)
verraet	verraden	V(participle,past)
volbracht	volbrengen	V(participle,past)
dus	dus	adv(dem)
quamens	het+komen	v(fin,past,lex)+pron(pers,3,plu)
int	in+het	Adp()+Art(def)
benouwen	benauwen	V(infin)
t	het	Art(def)
'	?	punc(quest)
kasteel	kasteel	N(sing)
wert	worden	adv(gener)
opghegheven	opgeven	v(participle,past)
daer	daar	adv(dem)
behoudens	behouden	adj()
lijff	lijf	N(sing)
end	en	Conj(coord)
goet	goed	Adj()
eenpaer	eenpaar	Adv(gener)
verghetende	vergeten	V(fin,past,lex)
eer	eer	N(sing)
en	een	art(indef)
trouwe	trouw	n(sing)
aenden	aan+de	Adp()+Art(def)
prince	prins	N(sing)
ghedaen	doen	V(participle,past)
de	de	Art(def)
verrader	verrader	N(sing)
sal	zullen	V(fin,pres,aux_cop)
loon	loon	N(sing)
ontfaen	ontvangen	V(infin)
naer	naar	Adv(gener)
zijn	zijn	Pron(poss)
werck	werk	N(sing)
sonder	zonder	Adp()
flouwen	flauw	N(plu)
een	een	art(indef)
corte	kort	adj()
wyl	wil	n(sing)
nae	na	adp()
dien	die	pron(dem)
mochtmen	men+mogen	pron(indef)+v(fin,past,aux_cop)
beleghert	beliggen	v(participle,past)
sien	zien	v(infin)
ouwater	abjatar	adj()
zwack	zwak	v(fin,past,lex)
van	van	adp()
mueren	muur	n(plu)
de	de	Art(def)
spaengiaerts	spanjaard	N(prop)
schoten	schieten	V(fin,past,lex)
seer	zeer	Adv(gener)
de	de	Art(def)
mueren	muur	n(plu)
vielen	vallen	V(fin,past,lex)
neer	neer	Adv(gener)
dus	dus	adv(dem)
quamen	komen	V(fin,past,lex)
sy	zij	pron(pers,3,plu)
in	in	Adp()
trueren	treuren	V(infin)
de	de	Art(def)
borghers	burger	n(plu)
hebben	hebben	V(fin,pres,aux_cop)
haer	haar	Pron(poss)
gheweert	gewaarden	V(participle,past)
ten	te+de	adp()+art(def)
lesten	laatst	adj()
man	man	n(sing)
gheresisteert	presenteren	v(participle,past)
de	de	Art(def)
soldaten	soldaat	N(plu)
oock	ook	Adv(gener)
midts	midden	Adp()
desen	deze	Pron(dem)
veel	veel	Num(indef)
spaengiaerts	spanjaard	N(prop)
zijn	zijn	Pron(poss)
vermoort	vermoord	V(participle,past)
eer	eer	conj(subord)
die	de	Art(def)
stadt	stad	n(sing)
werdt	worden	V(fin,pres,aux_cop)
verstoort	verstoren	V(participle,past)
trouwicheyt	trouwelijk	N(sing)
sy	zij	Pron(pers,3,plu)
bewesen	bewijzen	V(participle,past)
die	de	Art(def)
papouwen	papouw	n(plu)
droeghen	dragen	v(fin,past,lex)
moet	moeten	v(fin,pres,aux_cop)
doen	doen	V(infin)
zy	zij	Pron(pers,3,plu)
onder	onder	Adp()
den	de	Art(def)
voet	voet	n(sing)
brachten	brengen	v(fin,past,lex)
dit	dit	pron(dem)
steedjen	stede	adj()
cleyne	klein	adj()
schoonhoven	schoon	N(plu)
oock	ook	Adv(gener)
met	met	Adp()
pijn	pijn	N(sing)
moest	moeten	V(fin,past,aux_cop)
tyranny	tirannie	N(sing)
onderworpen	onderwerpen	V(infin)
zijn	zijn	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
veel	veel	Num(indef)
dorpen	dorp	N(plu)
int	in+het	Adp()+Art(def)
ghemeyne	gemeen	adj()
oorloff	oorlof	N(sing)
ghy	gij	Pron(pers,2,plu)
borghers	burger	N(plu)
al	al	Adv(gener)
voor	voor	Adp()
tyranny	tirannie	N(sing)
u	gij	Pron(pers,2,sing)
niet	niet	Adv(neg)
vreesen	vrezen	v(infin)
sal	zullen	V(fin,pres,aux_cop)
wilt	willen	V(fin,pres,aux_cop)
voor	voor	Adp()
t	het	Art(def)
'	?	punc(quest)
vaderlandt	vaderland	N(sing)
strijden	strijden	V(infin)
als	als	Conj(comp)
israel	israel	N(prop)
heeft	hebben	V(fin,pres,aux_cop)
ghedaen	doen	V(participle,past)
in	in	Adp()
u	uw	Pron(poss)
noot	nood	N(sing)
