och	och	interj()
god	god	N(sing)
wilt	willen	V(fin,pres,aux_cop)
doch	doch	Adv(gener)
vertroosten	vertroosten	V(infin)
de	de	Art(def)
benaude	benauwd	Adj()
ghemeynte	gemeente	N(sing)
seer	zeer	Adv(gener)
gheen	geen	Pron(indef)
hulp	hulp	N(sing)
van	van	Adp()
suyt	zuid	N(sing)
noch	noch	conj(coord)
oosten	oosten	v(infin)
dan	dan	conj(comp)
alleene	alleen	adv(gener)
van	van	adp()
god	god	n(sing)
den	de	Art(def)
heer	heer	N(sing)
antechrist	antichrist	N(sing)
met	met	Adp()
sijn	zijn	Pron(poss)
ghesellen	gezel	N(plu)
rasen	razen	V(infin)
en	en	Conj(coord)
woeden	woeden	V(infin)
heel	heel	Adv(gener)
verwoet	verwoed	Adj()
gods	god	N(sing)
uytvercorne	uitverkoren	N(sing)
sy	zij	Pron(pers,3,plu)
quellen	kwellen	V(fin,pres,lex)
en	en	Conj(coord)
storten	storten	V(fin,past,lex)
t	het	Art(def)
'	?	punc(quest)
onschuldich	onschuldig	Adj()
bloet	bloed	n(sing)
ghelijckmen	noemen	v(infin)
mach	mogen	V(fin,pres,aux_cop)
aenschouwen	aanschouwen	V(infin)
aenden	aan+de	Adp()+Art(def)
nieuwen	nieuw	Adj()
commandeur	commandeur	N(sing)
diet	die+het	Pron(rel)+Pron(pers,3,sing)
landt	land	N(sing)
brenght	brengen	V(fin,pres,lex)
int	in+het	Adp()+Art(def)
benouwen	benauwen	V(infin)
sijn	zijn	Pron(poss)
rijck	rijk	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
niet	niet	Adv(neg)
langher	lang	Adv(gener)
gheduert	geduren	V(participle,past)
de	de	Art(def)
zee	zee	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
verlooren	verliezen	V(infin)
met	met	Adp()
haer	haar	Pron(poss)
steden	stad	N(plu)
groot	groot	Adj()
van	van	Adp()
macht	macht	N(sing)
sijn	zijn	Pron(poss)
schepen	schip	N(plu)
gheen	geen	Pron(indef)
victory	victorie	N(sing)
orbooren	geboren	V(infin)
teghen	tegen	Adp()
der	de	Art(def)
vlissinghers	vlissingen	N(prop)
cracht	kracht	n(sing)
een	een	Art(indef)
aenslach	aanslag	n(sing)
dede	doen	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
maken	maken	V(infin)
opt	op+het	Adp()+Art(def)
eylant	eiland	N(sing)
van	van	adp()
schouwen	schouwen	n(sing)
fijn	fijn	adj()
om	om	adp()
een	een	art(indef)
hoecxken	hoek	n(sing)
in	in	adp()
de	de	art(def)
zee	zee	n(sing)
te	te	adp()
raken	geraken	V(infin)
maer	maar	conj(coord)
ten	te+de	Pron(pers,3,sing)+Adv(neg)
sal	zullen	v(fin,pres,aux_cop)
niet	niet	adv(neg)
wel	wel	adv(gener)
ghewonnen	winnen	V(participle,past)
zijn	zijn	v(fin,pres,aux_cop)
ten	te+de	art(def)+adp()
eersten	eerst	num(ord)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
in	in	Adp()
ghenomen	nemen	V(participle,past)
brouwershaven	brouwen	N(plu)
de	de	Art(def)
schansse	schans	N(sing)
groot	groot	Adj()
daer	daar	Adv(dem)
nae	na	Adp()
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
sonder	zonder	Adp()
schromen	schromen	V(infin)
beleghert	beliggen	V(participle,past)
bommene	boom	N(plu)
minjoot	monjou	n(sing)
binnen	binnen	adv(gener)
bommene	boom	n(plu)
drie	drie	num(card)
vaendels	voormaals	n(plu)
laghen	liggen	v(fin,past,lex)
al	al	adv(gener)
van	van	adp()
des	de	art(def)
princen	prins	n(plu)
heyrcracht	heerkracht	N(sing)
diet	die+het	pron(rel)+pron(pers,3,sing)
niet	niet	Adv(neg)
met	met	adp()
wille	wil	n(sing)
opgaven	opgeven	v(infin)
maer	maar	conj(coord)
wederstonden	weerstaan	V(fin,past,lex)
met	met	Adp()
macht	macht	N(sing)
de	de	Art(def)
spangiaerts	spanjaard	N(plu)
laghen	liggen	v(fin,past,lex)
daer	daar	adv(dem)
langhe	lang	adv(gener)
veur	voor	adv(gener)
om	om	adp()
dat	dat	pron(dem)
sijt	het+zij	pron(pers,3,sing)+pron(pers,3,sing)
niet	niet	adv(neg)
conden	kunnen	v(fin,past,aux_cop)
winnen	winnen	V(infin)
voort	voorts	Adv(gener)
sy	zij	Pron(pers,3,plu)
stormden	stormen	V(fin,past,lex)
een	een	Art(indef)
gheheel	geheel	adj()
dach	dag	N(sing)
deur	door	Adp()
daer	daar	Adv(dem)
gheschiede	geschieden	V(fin,past,lex)
soo	zo	Adv(resum)
grooten	groot	Adj()
moort	moord	N(sing)
met	met	Adp()
ghewelt	geweld	N(sing)
zy	zij	Pron(pers,3,sing)
invielen	invallen	V(infin)
bommene	boom	V(infin)
de	de	Art(def)
schansse	schans	N(sing)
groot	groot	Adj()
sy	zij	Pron(pers,3,plu)
moorden	moorden	V(fin,past,lex)
daer	daar	Adv(dem)
alsoo	alzo	adv(gener)
vele	veel	num(indef)
men	men	pron(indef)
sach	zien	v(fin,past,lex)
noyt	nooit	adv(neg)
meerder	meer	Num(indef)
noot	nood	N(sing)
die	de	Pron(rel)
spangiaerts	spanjaard	N(plu)
raesden	raden	V(fin,past,lex)
soo	zo	Adv(resum)
seere	zeer	Adv(gener)
om	om	Adp()
haerder	haar	Pron(poss)
soldaten	soldaat	N(plu)
verlies	verlies	N(sing)
daerom	daarom	PronAdv(dem)
spaerden	sparen	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
niemant	niemand	Pron(indef)
weere	zijn	Adv(gener)
maer	maar	Conj(coord)
jaechden	jagen	V(fin,past,lex)
de	de	Art(def)
geus	geus	N(sing)
door	door	Adp()
de	de	Art(def)
spies	spijs	N(sing)
prince	prins	N(sing)
wilt	willen	V(fin,pres,aux_cop)
een	een	Art(indef)
exempel	exempel	n(sing)
nemen	nemen	v(infin)
aen	aan	adp()
dese	deze	pron(dem)
soldaten	soldaat	N(plu)
goet	goed	Adj()
die	die	Pron(rel)
daer	daar	adv(dem)
lieten	laten	v(fin,past,lex)
haer	haar	pron(poss)
leven	leven	N(sing)
voor	voor	Adp()
t	het	Art(def)
'	?	punc(quest)
vaderlant	vaderland	N(sing)
ghestort	storten	V(participle,past)
haer	haar	Pron(poss)
bloet	bloed	N(sing)
