georgen	glorie	v(participle,past)
van	van	adp()
laleyn	laken	n(prop)
ben	zijn	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
ghenaemt	genaamd	V(participle,past)
om	om	Adp()
de	de	Art(def)
spaengiaerts	spanjaard	N(prop)
te	te	Adp()
doen	doen	V(infin)
wederstant	weerstaan	v(infin)
so	zo	adv(resum)
wil	willen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
waghen	wagen	V(infin)
goet	goed	Adj()
lijf	lijf	N(sing)
en	en	Conj(coord)
leven	leven	v(fin,pres,lex)
ter	te+de	adp()+art(def)
tijt	tijd	N(sing)
ick	ik	Pron(pers,1,sing)
die	die	Pron(rel)
tyranny	tirannie	N(sing)
heb	hebben	V(fin,pres,aux_cop)
verdreven	verdrijven	V(participle,past)
ernstelijck	ernstelijk	Adv(gener)
is	zijn	V(fin,pres,aux_cop)
alle	al	num(indef)
mijn	mijn	pron(poss)
opset	opzet	N(sing)
voor	voor	Adp()
mijn	mijn	Pron(poss)
vaderlants	vaderland	N(sing)
previlegy	privilegie	Adj()
en	en	Conj(coord)
wet	wet	N(sing)
wil	willen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
vromelick	vromelijk	Adv(gener)
tot	tot	Adp()
den	de	Art(def)
doot	dood	N(sing)
gaen	gaan	V(infin)
strijden	strijden	V(infin)
de	de	Art(def)
coninck	koning	N(sing)
naest	naast	Adv(gener)
god	god	N(sing)
eeren	eer	V(infin)
t	het	Art(def)
'	?	punc(quest)
allen	al	Num(indef)
tijden	tijd	N(plu)
ondersaten	onderzaat	N(plu)
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
ghetrouwe	getrouw	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
u	gij	Pron(poss)
capiteyn	kapitein	N(sing)
sal	zullen	v(fin,pres,aux_cop)
als	als	Conj(comp)
een	een	art(indef)
goet	goed	adj()
herder	herder	n(sing)
fijn	fijn	adj()
weyden	weide	N(plu)
zijn	zijn	Pron(poss)
schapen	schaap	N(plu)
in	in	Adp()
lieflijcke	lieflijk	Adj()
weghen	weg	N(plu)
niet	niet	Adv(neg)
scheerende	schaar	V(infin)
ghelijck	gelijk	Adv(gener)
u	uw	Pron(poss)
harders	herder	N(plu)
pleghen	plegen	V(infin)
ryckdom	rijkdom	N(sing)
noch	noch	conj(coord)
alle	al	num(indef)
dit	dit	pron(dem)
aertsche	aards	Adj()
schat	schat	N(sing)
en	en	Conj(coord)
soecke	zoeken	V(fin,pres,lex)
niet	niet	Adv(neg)
ick	ik	Pron(pers,1,sing)
verganghene	vergangen	V(infin)
vat	vat	N(sing)
gelt	geld	N(sing)
en	en	Conj(coord)
goet	goed	Adj()
zal	zullen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
nemmer	nimmer	Adv(gener)
ghebreken	gebrek	V(infin)
soo	zo	Adv(resum)
ick	ik	Pron(pers,1,sing)
in	in	Adp()
die	de	Art(def)
gherechticheyt	gerechtigheid	n(sing)
blijve	blijven	Adj()
steken	steken	V(infin)
ghy	gij	Pron(pers,2,plu)
adel	adel	V(fin,past,lex)
des	de	Art(def)
lants	land	N(sing)
zijt	zijn	V(fin,pres,aux_cop)
hier	hier	Adv(dem)
toe	toe	PronAdv(prep)
oock	ook	Adv(gener)
bedacht	bedenken	V(participle,past)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
wederstaet	weerstaan	V(fin,pres,lex)
met	met	Adp()
gantscher	gans	adj()
macht	macht	n(sing)
die	de	art(def)
tyrannighe	tyrannie	N(sing)
boose	boos	Adj()
spaengiaerden	spanjaard	N(plu)
die	de	pron(rel)
man	man	n(sing)
wijf	wijf	n(sing)
noch	noch	conj(coord)
kint	kind	n(sing)
en	ne	adv(neg)
spaerden	sparen	v(fin,past,lex)
een	een	Art(indef)
werck	werk	N(sing)
laet	laten	V(imp)
ons	wij	Pron(pers,1,plu)
volbringhen	volbrengen	V(infin)
altijt	altijd	Adv(gener)
tot	tot	Adp()
godes	god	N(sing)
eer	eer	N(sing)
en	en	adv(neg)
des	de	Art(def)
conincx	koning	n(sing)
proffijt	profijt	N(sing)
het	het	pron(pers,3,sing)
lant	land	n(sing)
in	in	adp()
peys	peis	n(sing)
en	en	Conj(coord)
vrede	vrede	n(sing)
te	te	Adp()
bringhen	brengen	V(infin)
twelck	hetwelk	Pron(rel)
god	god	N(sing)
de	de	Art(def)
heer	heer	N(sing)
ons	wij	Pron(pers,1,plu)
wil	willen	V(fin,pres,aux_cop)
ghehinghen	gehengen	V(infin)
prince	prins	N(sing)
niet	niet	Adv(neg)
vermoghen	vermogen	V(infin)
wy	wij	Pron(pers,1,plu)
buyten	buiten	V(infin)
gods	god	N(sing)
macht	macht	N(sing)
laet	laten	V(imp)
ons	wij	pron(pers,1,plu)
slechts	slechts	Adv(gener)
nu	nu	Adv(dem)
aencleven	aankleven	V(infin)
eendracht	eendrachtig	N(sing)
ick	ik	Pron(pers,1,sing)
hope	hoop	V(fin,pres,lex)
dat	dat	Conj(subord)
vrieslant	friesland	N(prop)
sal	zullen	v(fin,pres,aux_cop)
bedancken	bedenken	v(infin)
haer	haar	Pron(poss)
capiteyn	kapitein	N(sing)
als	als	Conj(comp)
d	de	Art(def)
'	?	punc(quest)
instrument	instrument	N(sing)
der	de	Art(def)
crancken	krank	N(plu)
