ick	ik	Pron(pers,1,sing)
heb	hebben	V(fin,pres,aux_cop)
droefheyt	droefheid	N(sing)
vernomen	vernemen	v(participle,past)
sprack	spreken	v(fin,past,lex)
daer	daar	Adv(dem)
een	een	Art(indef)
spaensche	spaans	Adj()
poet	poot	N(sing)
hier	hier	Adv(dem)
is	zijn	V(fin,pres,aux_cop)
qua	komen	V(fin,past,lex)
tydingh	tijdig	N(sing)
ghecomen	komen	V(participle,past)
die	die	Pron(rel)
ons	wij	pron(pers,1,plu)
versuchten	verzuchten	v(infin)
doet	doen	v(fin,pres,lex)
dat	dat	conj(subord)
al	al	num(indef)
ons	wij	pron(pers,1,plu)
fraey	fraai	adj()
seignoeren	seigneur	v(infin)
moeten	moeten	V(fin,pres,aux_cop)
naer	naar	Adp()
spaengien	spanje	N(prop)
coen	koen	Adj()
wat	wat	Pron(inter)
sullen	zullen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
spaensche	spaans	Adj()
hoeren	horen	V(infin)
nu	nu	Adv(dem)
altemael	altemaal	adv(gener)
gaen	gaan	V(infin)
doen	doen	v(infin)
seignore	seigneur	n(sing)
jacomijne	jacobijn	n(sing)
och	och	conj(coord)
lieff	lief	n(sing)
seignore	seigneur	n(sing)
margriet	margareta	n(sing)
wat	wat	pron(inter)
raet	raad	n(sing)
seignore	seigneur	n(sing)
katlijne	catharina	N(sing)
wy	wij	Pron(pers,1,plu)
blyven	blijven	V(infin)
heel	heel	Adv(gener)
int	in+het	Adp()+Art(def)
verdriet	verdriet	N(sing)
wy	wij	Pron(pers,1,plu)
sullen	zullen	V(fin,pres,aux_cop)
nu	nu	Adv(dem)
moeten	moeten	V(infin)
hooren	horen	V(infin)
dat	dat	Conj(subord)
tvolck	het+volk	Art(def)+N(sing)
roept	roepen	V(fin,pres,lex)
wijs	wijs	Adj()
bedaert	bederven	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
spaensche	spaans	Adj()
hoeren	haar	V(infin)
vercooren	verkiezen	V(infin)
maeckt	maken	V(fin,pres,lex)
u	gij	Pron(pers,2,sing)
nae	na	Adp()
spaengien	spanje	N(prop)
waert	worden	V(fin,past,aux_cop)
ach	ach	interj()
laes	lezen	Adj()
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
al	al	Adv(gener)
vant	vinden	Adp()+Art(def)
varcken	varken	V(infin)
sprack	spreken	v(fin,past,lex)
seignora	seigneur	n(prop)
margriet	margareta	N(sing)
wy	wij	Pron(pers,1,plu)
sullen	zullen	V(fin,pres,aux_cop)
moeten	moeten	V(infin)
wercken	werken	V(infin)
is	zijn	v(fin,pres,aux_cop)
dat	dat	conj(subord)
niet	niet	adv(neg)
groot	groot	adj()
verdriet	verdriet	N(sing)
wy	wij	Pron(pers,1,plu)
hebben	hebben	V(fin,pres,aux_cop)
wel	wel	Adv(gener)
neghen	negeen	pron(indef)
jaeren	jaar	n(plu)
ghegaen	gaan	v(participle,past)
als	als	Conj(comp)
jonckvrouws	jonkvrouw	N(sing)
schoon	schoon	Adj()
groot	groot	Adj()
werck	werk	N(sing)
dat	dat	Pron(dem)
sal	zullen	v(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
vaeren	varen	V(infin)
wy	wij	Pron(pers,1,plu)
zijns	zijn	V(fin,pres,lex)
nu	nu	Adv(dem)
niet	niet	Adv(neg)
ghewoon	gewoon	V(participle,past)
wy	wij	Pron(pers,1,plu)
plachten	plachten	V(fin,past,lex)
den	de	Art(def)
boer	boer	n(sing)
te	te	Adp()
plaghen	plegen	v(infin)
om	om	Adp()
wijn	wijn	N(sing)
end	en	Conj(coord)
wittebroot	wittebloem	N(sing)
dus	dus	Adv(dem)
moest	moeten	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
ryden	rijden	V(infin)
end	en	Conj(coord)
jaghen	jagen	V(infin)
wy	wij	Pron(pers,1,plu)
sloeghen	slaan	V(fin,past,lex)
de	de	art(def)
hoenders	hoeder	n(plu)
doot	dood	N(sing)
als	als	conj(comp)
ander	ander	adj()
crijchslieden	krijgslieden	n(plu)
vrouwen	vrouw	n(plu)
dan	dan	conj(comp)
liepen	lopen	v(fin,past,lex)
op	op	adp()
die	de	art(def)
gaerd	geren	N(sing)
soo	zo	Adv(resum)
aten	eten	V(fin,past,lex)
wy	wij	Pron(pers,1,plu)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
wouwen	wouw	v(infin)
ghesoden	zieden	V(participle,past)
end	en	Conj(coord)
ghebraed	gebraad	N(sing)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
