hoort	horen	v(imp)
mans	man	N(sing)
en	en	Conj(coord)
vrouwen	vrouw	n(sing)
dit	dit	pron(dem)
verclaren	verklaren	V(infin)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
u	gij	Pron(pers,2,sing)
bekent	bekend	Adj()
hoe	hoe	Adv(inter)
albertus	albertus	Adv(gener)
ginck	gaan	V(fin,past,lex)
vergaren	vergaren	V(infin)
al	al	Adv(gener)
voor	voor	Adp()
oostent	oosten	N(sing)
den	de	Art(def)
vijfden	vijf	num(ord)
julij	juli	N(prop)
is	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
getoghen	tijgen	V(participle,past)
seer	zeer	Adv(gener)
excelent	excellent	V(fin,pres,lex)
haar	haar	Pron(poss)
vaendels	voormaals	N(sing)
inde	en	Adp()+Art(def)
duynen	dwijnen	v(infin)
vloghen	vliegen	v(fin,past,lex)
al	al	Adv(gener)
voor	voor	Adp()
oostent	oosten	N(sing)
hy	hij	Pron(pers,3,sing)
beloofden	beloven	V(fin,past,lex)
t	het	Art(def)
'	?	punc(quest)
landt	land	N(sing)
na	na	Adp()
sijnen	zijn	Pron(poss)
sinnen	zin	N(plu)
seer	zeer	Adv(gener)
excelent	excellent	V(fin,pres,lex)
ick	ik	Pron(pers,1,sing)
sal	zullen	V(fin,pres,aux_cop)
op	op	Adp()
sint	sint	adj()
jacobs	jacob	n(prop)
dach	dag	n(sing)
winnen	winnen	v(infin)
die	de	Art(def)
stadt	stad	n(sing)
oostent	oosten	v(fin,pres,lex)
omtrent	omtrent	Adp()
seven	zeven	num(card)
hondert	honderd	num(card)
clooten	kloot	N(plu)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
wel	wel	Adv(gener)
bekent	bekend	Adj()
op	op	Adp()
eenen	een	art(indef)
dach	dag	n(sing)
met	met	adp()
cartouwen	kartouw	n(plu)
gheschooten	geslacht	V(participle,past)
al	al	adv(gener)
op	op	Adp()
oostent	oosten	N(sing)
hondert	honderd	num(card)
en	en	Conj(coord)
dertich	dertig	num(card)
duysent	duizend	Num(card)
