aenhoort	aanhoren	V(imp)
doch	doch	Adv(gener)
allegare	algader	Adv(gener)
al	al	Adv(gener)
na	na	Adp()
dees	deze	Pron(dem)
nieuwe	nieuw	adj()
mare	maar	N(sing)
wat	wat	pron(inter)
tyding	hij+tijden	n(sing)
nu	nu	Adv(dem)
komt	komen	V(fin,pres,lex)
uyt	uit	Adp()
brabandt	brabant	N(sing)
hoe	hoe	Adv(inter)
dat	dat	conj(subord)
den	de	Art(def)
vyandt	vijand	N(sing)
sterck	sterk	Adj()
ghemant	gemond	V(participle,past)
voor	voor	Adp()
bergen	bergen	N(plu)
op	op	Adp()
den	de	art(def)
zoome	zeestroom	N(sing)
nu	nu	adv(dem)
korteling	korteling	adv(gener)
was	zijn	v(fin,past,aux_cop)
ghekomen	komen	v(participle,past)
om	om	adp()
te	te	adp()
winnen	winnen	v(infin)
de	de	Art(def)
stadt	stad	N(sing)
playsant	plakkaat	N(sing)
sy	zij	Pron(pers,3,plu)
wisten	weten	V(fin,past,lex)
klaer	klaar	Adj()
voor	voor	Adp()
oogen	oog	N(plu)
dat	dat	Conj(subord)
ons	wij	Pron(poss)
prins	prins	n(sing)
was	zijn	V(fin,past,aux_cop)
op	op	Adp()
getoogen	togen	v(participle,past)
met	met	Adp()
ons	wij	pron(pers,1,plu)
leger	leggen	adj()
hooger	hoog	Adj()
aen	aan	Adp()
dies	de	Pron(dem)
dachten	denken	V(infin)
sy	zij	Pron(pers,3,plu)
daer	daar	Adv(dem)
klare	klaar	Adj()
baen	baan	adv(gener)
aldaer	aldaar	Adv(dem)
ontrent	omtrent	adv(gener)
te	te	adp()
vinden	vinden	V(infin)
maer	maar	Conj(coord)
sy	zij	Pron(pers,3,plu)
doolden	dolen	V(fin,past,lex)
als	als	Conj(comp)
blinden	blinde	N(plu)
soo	zo	Adv(resum)
ghy	gij	Pron(pers,2,plu)
hooren	horen	V(infin)
sult	zullen	V(fin,pres,aux_cop)
doort	door+het	Adp()+Art(def)
vermaen	vermaan	V(infin)
don	doen	V(infin)
louwijs	lodewijk	N(sing)
de	de	art(def)
valasco	vals	Adj()
koene	koen	n(sing)
lichten	lichten	v(infin)
alle	al	num(indef)
garnisoenen	garnizoen	n(plu)
voor	voor	Adp()
sluys	sluis	N(prop)
uyt	uit	Adp()
brugge	brug	N(sing)
ende	en	conj(coord)
dam	daar	n(sing)
van	van	adp()
hulst	huis	N(sing)
gent	gent	N(sing)
t	het	Art(def)
'	?	punc(quest)
antwerpen	antwerpen	V(infin)
hy	hij	Pron(pers,3,sing)
nam	nemen	V(fin,past,lex)
veel	veel	Num(indef)
matroosen	matroos	N(plu)
en	en	Conj(coord)
bootsgesellen	bootgezel	N(plu)
liet	laten	V(fin,past,lex)
