looft	loven	V(imp)
god	god	N(sing)
den	de	Art(def)
heer	heer	N(sing)
ghelijckerhant	gelijkerwijs	N(plu)
voor	voor	Adp()
sijn	zijn	Pron(poss)
weldaet	weldaad	N(sing)
ghepresen	prijzen	V(participle,past)
want	want	Conj(coord)
hy	hij	Pron(pers,3,sing)
ons	wij	Pron(pers,1,plu)
vyant	vijand	N(sing)
brengt	brengen	V(fin,pres,lex)
tot	tot	Adp()
schant	schande	N(sing)
soo	zo	Adv(resum)
hy	hij	Pron(pers,3,sing)
ons	wij	Pron(pers,1,plu)
heeft	hebben	V(fin,pres,aux_cop)
bewesen	bewijzen	v(participle,past)
dies	dat	Pron(dem)
laet	laten	v(imp)
ons	wij	pron(pers,1,plu)
fijn	fijn	adj()
hem	hij	Pron(pers,3,sing)
danckbaer	dankbaar	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
doet	doen	V(fin,pres,lex)
ons	wij	Pron(poss)
vyant	vijand	N(sing)
vreesen	vrezen	V(infin)
ghelijck	gelijk	Adv(gener)
het	het	Art(def)
onlanghs	onlangs	N(sing)
is	zijn	V(fin,pres,aux_cop)
gheschiet	geschieden	V(participle,past)
in	in	Adp()
vlaenderen	vlaanderen	N(prop)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
ghebleken	blijken	V(participle,past)
dat	dat	Conj(subord)
den	de	Art(def)
vyant	vijand	N(sing)
aen	aan	Adp()
quam	komen	V(fin,past,lex)
met	met	Adp()
vliet	vlijt	N(sing)
maer	maar	Conj(coord)
is	zijn	V(fin,pres,aux_cop)
weer	zijn	Adv(gener)
heen	een	art(indef)
ghestreken	strijken	V(participle,past)
tot	tot	Adp()
sijnder	zijn	Pron(poss)
spijt	spijt	N(sing)
moest	moeten	V(fin,past,aux_cop)
doen	doen	v(infin)
ter	de+te	art(def)+adp()
tijdt	tijd	N(sing)
haes	haas	n(sing)
op	op	Adp()
al	al	adv(gener)
sonder	zonder	adp()
spreken	spreken	V(infin)
sy	zij	Pron(pers,3,plu)
hadden	hebben	V(fin,past,aux_cop)
leersen	leren	V(infin)
ghemaeckt	maken	v(participle,past)
van	van	Adp()
de	de	art(def)
voeten	voet	n(plu)
tot	tot	adp()
den	de	art(def)
hoofde	hoofd	N(sing)
en	en	Conj(coord)
meenden	menen	V(fin,past,lex)
soo	zo	Adv(resum)
te	te	Adp()
comen	komen	V(infin)
an	aan	adp()
te	te	adp()
winnen	winnen	V(infin)
sy	zij	Pron(pers,3,plu)
gheloofde	geloven	V(fin,past,lex)
sluys	sluis	N(sing)
aerdenborgh	aarde	N(sing)
het	het	pron(pers,3,sing)
was	zijn	v(fin,past,aux_cop)
wel	wel	adv(gener)
sorgh	zorg	n(sing)
den	de	Art(def)
reghen	regen	N(sing)
haer	haar	Pron(poss)
vyer	vuur	N(sing)
doofde	doof	N(sing)
julius	julius	n(prop)
den	de	art(def)
achthienden	achtde	n(plu)
dagh	dag	n(sing)
heeftmen	hebben+men	V(fin,pres,lex)+Pron(indef)
hem	hij	pron(pers,3,sing)
weer	zijn	v(fin,past,aux_cop)
vernomen	vernemen	V(participle,past)
voor	voor	Adp()
berghen	berg	N(plu)
op	op	Adp()
