wat	wat	pron(inter)
zeghenteyckens	menigertieren	n(plu)
of	of	conj(coord)
lourieren	logeren	V(infin)
zyn	zijn	v(fin,pres,aux_cop)
nu	nu	Adv(dem)
ghenoech	genoeg	Adv(gener)
te	te	adp()
cieren	sieren	v(infin)
'	?	punc(quest)
tstoute	dat+du+het	Adp()+Art(def)+N(sing)
hooft	hoofd	N(sing)
den	de	Art(def)
zeeheldt	zegelen	N(sing)
vande	van+de	Adp()+Art(def)
batavieren	bataaf	N(plu)
die	die	Pron(rel)
den	de	art(def)
monarch	monnik	n(sing)
syn	zijn	Pron(poss)
schepen	schip	N(plu)
heeft	hebben	V(fin,pres,aux_cop)
berooft	beroven	V(participle,past)
een	een	art(indef)
deel	deel	N(sing)
gheplondert	openbaren	v(participle,past)
d	de	n(sing)
'	?	punc(quest)
ander	ander	Adj()
voort	voort	Adv(gener)
verbrant	verbranden	V(participle,past)
weest	zijn	V(imp)
niet	niet	Adv(neg)
verwondert	verwonderen	V(participle,past)
van	van	adp()
ons	wij	Pron(pers,1,plu)
eendragts	eendrachtig	N(sing)
bant	band	N(sing)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
godes	god	N(sing)
stercke	sterk	Adj()
hant	hand	N(sing)
zoo	zo	Adv(resum)
haest	haast	Adv(gener)
de	de	Art(def)
spaensche	spaans	Adj()
macht	macht	N(sing)
van	van	Adp()
schepen	schip	n(plu)
den	de	Art(def)
admirael	admiraal	n(sing)
bequam	bekomen	v(fin,past,lex)
in	in	adp()
syn	zijn	pron(poss)
ghesicht	gezicht	v(participle,past)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
die	de	Art(def)
moedich	moedig	Adj()
aen	aan	Adp()
ghegrepen	gegrijpen	V(participle,past)
met	met	Adp()
twalif	twaalf	N(sing)
schepen	schip	n(plu)
haren	haar	pron(poss)
trots	troost	N(sing)
gheswicht	slechten	v(participle,past)
zijn	zijn	Pron(poss)
felle	fel	Adj()
trompen	trompet	N(plu)
baerden	baren	N(plu)
sulcken	zulk	Pron(dem)
vrucht	vrucht	N(sing)
zoo	zo	Adv(resum)
dat	dat	Conj(subord)
zy	zij	Pron(pers,3,sing)
krompen	krom	V(fin,pres,lex)
en	en	Conj(coord)
met	met	Adp()
groot	groot	Adj()
ghesucht	geschut	N(sing)
haer	haar	Pron(poss)
gaven	gave	n(plu)
op	op	adp()
de	de	art(def)
vlucht	vlucht	n(sing)
den	de	Art(def)
admirael	admiraal	n(sing)
besluyt	besluit	V(fin,pres,lex)
haer	haar	Pron(poss)
kielen	kiel	n(plu)
in	in	adp()
duyns	dwingen	N(sing)
en	en	adv(neg)
wort	worden	v(fin,pres,aux_cop)
verstert	verstoren	v(participle,past)
van	van	adp()
dagh	dag	N(sing)
tot	tot	Adp()
dagh	dag	N(sing)
den	de	Art(def)
heldt	held	N(sing)
neemt	nemen	V(fin,pres,lex)
voor	voor	Adp()
haer	zij	Pron(pers,3,sing)
te	te	Adp()
vernielen	vernielen	v(infin)
zelfs	zelf	n(sing)
daer	daar	Adv(dem)
den	de	Art(def)
vyandt	vijand	N(sing)
in	in	Adp()
syn	zijn	Pron(poss)
voor	voor	Adp()
deel	deel	N(sing)
lagh	liggen	V(fin,past,lex)
met	met	adp()
syne	zijn	Pron(poss)
helden	held	n(sing)
tast	tasten	N(sing)
hy	hij	Pron(pers,3,sing)
moedigh	moedig	Adj()
aen	aan	Adp()
al	al	Adv(gener)
haer	haar	Pron(poss)
ghewelden	geweld	n(plu)
die	die	Pron(rel)
zy	zij	Pron(pers,3,sing)
bloedigh	bloedig	Adj()
slaen	slaan	V(infin)
en	en	Conj(coord)
doen	doen	v(fin,pres,lex)
te	te	adp()
gronde	grond	n(sing)
gaen	gaan	v(infin)
waer	waar	Adv(inter)
is	zijn	V(fin,pres,aux_cop)
u	gij	pron(pers,2,sing)
trots	troost	N(sing)
en	en	Conj(coord)
macht	macht	N(sing)
ghebleven	blijven	V(participle,past)
zeght	zeggen	V(imp)
spangien	spanje	N(prop)
napels	namaals	N(sing)
en	en	Conj(coord)
oock	ook	Adv(gener)
poortegael	noordwaarts	N(sing)
daer	daar	Adv(dem)
mee	mee	Adv(gener)
ghy	gij	Pron(pers,2,plu)
'	?	punc(quest)
t	het	Art(def)
christenrijck	christelijk	N(prop)
deed	doen	V(fin,past,lex)
beven	beven	V(infin)
gherooft	roven	V(participle,past)
geplondert	funderen	v(participle,past)
is	zijn	v(fin,pres,aux_cop)
hij	hij	pron(pers,3,sing)
'	?	punc(quest)
teenemael	gezamenlijk	Adv(gener)
door	door	Adp()
stoute	stout	Adj()
handen	hand	N(plu)
vant	van+het	Adp()+Art(def)
bataefs	betalen	N(prop)
gheslacht	geslacht	N(sing)
tot	tot	Adp()
uwer	uw	Pron(poss)
schanden	schande	N(sing)
is	zijn	V(fin,pres,aux_cop)
dijn	dijn	Pron(poss)
trotse	troost	N(sing)
macht	macht	N(sing)
gheheel	geheel	Adv(gener)
tot	tot	Adp()
niet	niet	Adv(neg)
gebracht	brengen	V(participle,past)
o	o	interj()
wonderlycke	wonderlijk	adj()
grootse	groot	Adj()
daden	doen	N(plu)
voort	voort	Adv(gener)
vaderlandt	vaderland	N(sing)
soo	zo	Adv(resum)
moedich	moedig	Adj()
uytghevoert	uitgeroeid	V(participle,past)
zingt	zingen	V(imp)
gode	god	n(sing)
danck	dank	N(sing)
voor	voor	Adp()
syn	zijn	Pron(poss)
ghenaden	genade	N(sing)
die	die	pron(rel)
onse	ons	pron(poss)
helden	held	adj()
harten	hart	N(plu)
heeft	hebben	V(fin,pres,aux_cop)
ontroert	ontvaren	V(participle,past)
en	en	Conj(coord)
doen	doen	V(infin)
bezwijcken	bezwijken	V(infin)
al	al	Adv(gener)
het	het	pron(pers,3,sing)
spaens	spaan	N(plu)
gheweldt	geweld	N(sing)
laet	laten	n(sing)
trouheyt	traagheid	n(sing)
blijcken	blijken	V(infin)
met	met	adp()
den	de	art(def)
stouten	stout	adj()
heldt	held	N(sing)
voor	voor	Adp()
ons	wij	Pron(pers,1,plu)
op	op	Adp()
zee	zee	N(sing)
gestelt	stellen	v(participle,past)
arbeyt	arbeid	n(sing)
om	om	Adp()
rust	rust	n(sing)
