vvel	vuil	v(fin,past,lex)
den	de	art(def)
genen	gene	pron(dem)
die	die	pron(rel)
sonder	zonder	adp()
vlecke	vlek	n(sing)
leuen	leven	n(sing)
die	die	pron(rel)
in	in	Adp()
godts	god	N(sing)
wet	wet	N(sing)
wandelen	wandelen	V(infin)
met	met	Adp()
vlijt	vlijt	n(sing)
wel	wel	Adv(gener)
dien	die	Pron(rel)
die	die	Pron(rel)
hun	zij	Pron(pers,3,plu)
tot	tot	Adp()
zijn	zijn	Pron(poss)
getuyg	getuige	N(sing)
'	?	punc(quest)
nis	ne+zijn	adv(neg)+v(fin,pres,lex)
geuen	geven	v(infin)
die	die	pron(rel)
hem	hij	pron(pers,3,sing)
van	van	adp()
herten	hart	n(sing)
soeken	zoeken	v(infin)
altijt	altijd	adv(gener)
want	want	conj(coord)
welke	welk	pron(rel)
wandelen	wandelen	v(infin)
op	op	Adp()
zijn	zijn	Pron(poss)
weghen	weg	N(plu)
die	die	Pron(rel)
en	en	Conj(coord)
zijn	zijn	v(fin,pres,aux_cop)
tot	tot	Adp()
geen	geen	Pron(indef)
quaetdoen	kwaaddoen	N(sing)
geneghen	neigen	V(participle,past)
ghy	gij	Pron(pers,2,plu)
hebt	hebben	V(fin,pres,aux_cop)
ons	wij	Pron(pers,1,plu)
ernstich	ernstig	adj()
heere	heer	N(sing)
god	god	n(sing)
beuolen	bevelen	V(infin)
end	en	Conj(coord)
'	?	punc(quest)
ghedaen	doen	V(participle,past)
ghebodt	gebod	N(sing)
v	gij	Pron(poss)
beuelen	bevelen	v(infin)
vlijtich	vlijtig	adv(gener)
te	te	adp()
houden	houden	v(infin)
dat	dat	art(def)
wijse	wij+zij	pron(pers,1,plu)+pron(pers,3,sing)
niet	niet	adv(neg)
afgaen	afgaan	v(infin)
en	en	adv(neg)
souden	zullen	v(fin,past,aux_cop)
o	o	interj()
dat	dat	conj(subord)
mijn	mijn	pron(poss)
leuen	leven	n(sing)
behile	behouden	Adj()
warachtich	waarachtig	adj()
met	met	Adp()
ganschen	gans	N(plu)
ernst	ernst	N(sing)
v	uw	Pron(poss)
rechten	recht	v(infin)
alleen	alleen	Adv(gener)
wanneer	wanneer	adv(inter)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
mercke	merken	V(fin,pres,lex)
geheel	geheel	Adv(gener)
aendachtich	aandachtig	Adj()
o	o	Interj()
heer	heer	N(sing)
'	?	punc(quest)
op	op	Adp()
uwe	uw	Pron(poss)
gheboden	gebod	N(plu)
reen	rein	Adj()
soo	zo	Adv(resum)
en	ne	Adv(neg)
coem	komen	V(fin,pres,lex)
'	?	punc(quest)
ic	ik	pron(pers,1,sing)
niet	niet	adv(neg)
tot	tot	Adp()
schand	schande	N(sing)
'	?	punc(quest)
noch	noch	conj(coord)
smerten	smart	v(fin,pres,lex)
ic	ik	pron(pers,1,sing)
danc	dank	v(fin,pres,lex)
v	gij	pron(pers,2,plu)
heere	heer	n(sing)
van	van	adp()
rechter	recht	adj()
herten	hart	n(sing)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
leert	leren	V(fin,pres,lex)
end	en	Conj(coord)
'	?	punc(quest)
in	in	Adp()
my	ik	Pron(pers,1,sing)
verbreyt	verbreiden	V(fin,pres,lex)
het	het	Art(def)
recht	recht	N(sing)
uwer	uw	Pron(poss)
gherechticheyt	gerechtigheid	N(sing)
v	uw	Pron(poss)
wetten	wet	N(plu)
wil	willen	v(fin,pres,aux_cop)
ic	ik	pron(pers,1,sing)
houden	houden	V(infin)
heere	heer	n(sing)
en	en	Conj(coord)
verlaet	verlaten	V(imp)
my	ik	Pron(pers,1,sing)
doch	doch	Adv(gener)
nimmermeere	nimmermeer	Adv(gener)
hoe	hoe	Adv(inter)
sal	zullen	v(fin,pres,aux_cop)
een	een	art(indef)
ionghelinc	jongeling	n(sing)
na	na	adp()
v	gij	pron(pers,2,plu)
behaghen	behagen	V(infin)
op	op	Adp()
zijnen	zijn	Pron(poss)
wech	weg	N(sing)
onstraffelijc	onstaffelijk	Adv(gener)
gaen	gaan	v(infin)
als	als	Conj(subord)
hy	hij	Pron(pers,3,sing)
hem	hij	Pron(pers,3,sing)
na	na	Adp()
v	uw	Pron(poss)
woorden	woord	N(plu)
recht	recht	Adv(gener)
wil	willen	V(fin,pres,aux_cop)
draghen	dragen	v(infin)
ic	ik	pron(pers,1,sing)
soek	zoeken	v(fin,pres,lex)
'	?	punc(quest)
v	gij	pron(pers,2,plu)
gansch	gans	Adv(gener)
van	van	adp()
herten	hart	N(sing)
voortaen	voortaan	Adv(gener)
maeckt	maken	V(fin,pres,lex)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
aen	aan	Adp()
v	gij	Pron(poss)
ghebodt	gebod	N(sing)
niet	niet	Adv(neg)
fale	paal	Adj()
v	uw	Pron(poss)
woorden	woord	N(plu)
heer	heer	N(sing)
'	?	punc(quest)
behoud	behouden	N(sing)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
altemale	altemaal	adv(gener)
in	in	Adp()
mijnder	mijn	pron(poss)
herten	hart	n(sing)
dat	dat	conj(subord)
van	van	adp()
my	ik	Pron(pers,1,sing)
gheen	geen	Pron(indef)
sond	zonde	N(sing)
'	?	punc(quest)
en	en	Conj(coord)
werd	worden	v(fin,pres,aux_cop)
'	?	punc(quest)
ghedaen	doen	V(participle,past)
voor	voor	Adp()
dy	du	Pron(pers,2,sing)
gheloeft	geloven	V(fin,pres,lex)
zijt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,sing)
heer	heer	N(sing)
'	?	punc(quest)
t	het	Art(def)
'	?	punc(quest)
elker	elk	Adv(gener)
steden	stad	n(sing)
leert	leren	v(fin,pres,lex)
my	ik	Pron(pers,1,sing)
doch	doch	Adv(gener)
v	uw	Pron(poss)
rechten	recht	V(infin)
end	en	Conj(coord)
'	?	punc(quest)
zeden	zede	N(plu)
ic	ik	pron(pers,1,sing)
wil	willen	V(fin,pres,aux_cop)
heere	heer	n(sing)
met	met	Adp()
mijn	mijn	Pron(poss)
lippen	lip	N(plu)
vertellen	vertellen	V(infin)
alle	al	Num(indef)
de	de	Art(def)
rechten	recht	n(plu)
van	van	Adp()
uwen	uw	pron(poss)
mont	mond	N(sing)
soo	zo	Adv(resum)
langh	lang	Adv(gener)
'	?	punc(quest)
als	als	conj(comp)
ic	ik	pron(pers,1,sing)
leue	leven	v(fin,pres,lex)
sal	zullen	v(fin,pres,aux_cop)
icse	ik+zij	pron(pers,1,sing)+pron(pers,3,plu)
mellen	mellen	v(infin)
ic	ik	pron(pers,1,sing)
verheughe	verheugen	v(fin,pres,lex)
my	ik	Pron(pers,1,sing)
tot	tot	Adp()
alder	al+de	Num(indef)+Art(def)
stont	stond	N(sing)
des	de	art(def)
weechs	weeg	n(sing)
uwer	uw	pron(poss)
ghetuychenis	getuigenis	N(sing)
heere	heer	N(sing)
als	als	Conj(comp)
ouer	over	Adp()
rijcdom	rijkdom	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
s	de	Art(def)
'	?	punc(quest)
werelts	wereld	N(sing)
eere	eer	N(sing)
ick	ik	Pron(pers,1,sing)
spreek	spreken	V(fin,pres,lex)
'	?	punc(quest)
al	al	num(indef)
wat	wat	Pron(inter)
is	zijn	v(fin,pres,aux_cop)
v	gij	pron(pers,2,plu)
beuel	bevelen	n(sing)
ende	en	conj(coord)
sie	zij	pron(pers,3,plu)
op	op	adp()
v	gij	pron(pers,2,plu)
weghen	weg	N(plu)
wel	wel	Adv(gener)
tot	tot	Adp()
v	uw	Pron(poss)
rechten	recht	N(plu)
hebb	hebben	V(fin,pres,aux_cop)
'	?	punc(quest)
ic	ik	pron(pers,1,sing)
behaghen	behagen	v(fin,pres,lex)
v	uw	Pron(poss)
woort	woord	N(sing)
bewaer	bewaren	Adj()
'	?	punc(quest)
ic	ik	Pron(pers,1,sing)
t	het	Art(def)
'	?	punc(quest)
allen	al	Num(indef)
daghen	dag	n(plu)
doet	doen	v(fin,pres,lex)
wel	wel	Adv(gener)
uwen	uw	Pron(poss)
knecht	knecht	N(sing)
op	op	Adp()
dat	dat	conj(subord)
ic	ik	pron(pers,1,sing)
mach	mogen	v(fin,pres,aux_cop)
leuen	leven	V(infin)
end	en	Conj(coord)
'	?	punc(quest)
v	gij	Pron(poss)
woorden	woord	N(plu)
houden	houden	V(infin)
nacht	nacht	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
dach	dag	N(sing)
opent	openen	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
d	de	Art(def)
'	?	punc(quest)
ooghen	oog	N(plu)
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
ghesicht	gezicht	V(participle,past)
gheuen	geven	V(infin)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
t	het	Art(def)
'	?	punc(quest)
wonder	wonder	N(sing)
aen	aan	adp()
v	uw	Pron(poss)
wet	wet	N(sing)
sien	zien	v(infin)
mach	mogen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
ben	zijn	V(fin,pres,aux_cop)
een	een	Art(indef)
gast	gast	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
heel	heel	Adv(gener)
vreemt	vreemd	V(fin,pres,lex)
op	op	Adp()
eyrden	aarde	N(sing)
en	en	Conj(coord)
wilt	willen	V(fin,pres,aux_cop)
niet	niet	Adv(neg)
verberghen	verbergen	V(infin)
met	met	adp()
onweyrden	onwaarde	N(plu)
voor	voor	Adp()
my	ik	Pron(pers,1,sing)
uwe	uw	Pron(poss)
gheboden	gebod	N(plu)
goet	goed	Adj()
mijn	mijn	pron(poss)
sile	ziel	n(sing)
leeft	leven	v(fin,pres,lex)
in	in	adp()
teghenspoet	tegenspoed	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
is	zijn	V(fin,pres,aux_cop)
verslaghen	verslaan	V(participle,past)
door	door	Adp()
t	het	Art(def)
'	?	punc(quest)
verlanghen	verlangen	V(infin)
na	na	Adp()
v	uw	Pron(poss)
rechten	recht	v(infin)
ende	en	conj(coord)
dijn	dijn	pron(poss)
ganghen	gang	N(plu)
ghy	gij	Pron(pers,2,plu)
scheldt	schelden	N(sing)
de	de	Art(def)
stouten	stout	n(plu)
ende	en	conj(coord)
die	die	pron(rel)
daer	daar	adv(dem)
falen	vallen	n(plu)
vwer	uw	Pron(poss)
gheboden	gebod	n(plu)
die	die	Pron(rel)
zijn	zijn	V(fin,pres,aux_cop)
vervloect	vervloeken	V(participle,past)
keere	keer	N(sing)
van	van	Adp()
my	ik	Pron(pers,1,sing)
smaet	smaad	N(sing)
verachtingh	verachten	N(sing)
'	?	punc(quest)
ende	en	conj(coord)
dwalen	dwalen	v(infin)
want	want	conj(coord)
ic	ik	pron(pers,1,sing)
blijue	blijven	v(fin,pres,lex)
ganschelijc	ganselijk	adj()
vercloect	verklaren	V(fin,pres,lex)
om	om	adp()
v	uw	Pron(poss)
ghetuycheniss	getuigenis	n(sing)
'	?	punc(quest)
te	te	adp()
bewaren	bewaren	v(infin)
de	de	Art(def)
vorsten	vorst	N(plu)
heer	heer	N(sing)
'	?	punc(quest)
hun	zij	Pron(pers,3,plu)
ooc	ook	Adv(gener)
openbaren	openbaren	V(infin)
sitten	zitten	V(infin)
end	en	Conj(coord)
'	?	punc(quest)
spreken	spreken	V(infin)
teghen	tegen	Adp()
my	ik	Pron(pers,1,sing)
maer	maar	Conj(coord)
v	uw	Pron(poss)
knecht	knecht	N(sing)
spreect	spreken	v(fin,pres,lex)
van	van	adp()
v	uw	Pron(poss)
wet	wet	N(sing)
vry	vrij	Adj()
tot	tot	Adp()
v	uw	Pron(poss)
rechten	recht	V(infin)
end	en	Conj(coord)
'	?	punc(quest)
v	gij	Pron(poss)
ghebiden	gebieden	v(infin)
hebb	hebben	v(fin,pres,aux_cop)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
lust	lust	V(fin,pres,lex)
sy	zij	Pron(pers,3,plu)
zijn	zijn	V(fin,pres,aux_cop)
mijn	mijn	Pron(poss)
raetsliden	raadslieden	N(plu)
mijn	mijn	pron(poss)
sile	ziel	n(sing)
leyt	liggen	v(fin,pres,lex)
in	in	Adp()
t	het	Art(def)
'	?	punc(quest)
stof	stof	N(sing)
verquict	verkwikken	V(imp)
my	ik	Pron(pers,1,sing)
zeere	zeer	Adv(gener)
heer	heer	N(sing)
'	?	punc(quest)
na	na	Adp()
uwen	uw	pron(poss)
woorde	woord	N(sing)
rechteuoort	rechtevoort	Adv(gener)
ic	ik	pron(pers,1,sing)
vertelle	vertellen	v(fin,pres,lex)
mijn	mijn	Pron(poss)
weghen	weg	N(plu)
end	en	Conj(coord)
'	?	punc(quest)
ghy	gij	Pron(pers,2,plu)
heere	heer	N(sing)
goedertierlijken	goedertierlijk	Adj()
my	ik	Pron(pers,1,sing)
verhoort	verhoren	V(participle,past)
vwe	uw	Pron(poss)
rechten	recht	N(plu)
my	ik	Pron(pers,1,sing)
doch	doch	Adv(gener)
leert	leren	V(fin,pres,lex)
ghenadich	genadig	Adj()
den	de	Art(def)
wech	weg	N(sing)
ws	uw	Pron(poss)
