aenbiet	aanbidden	v(fin,pres,lex)
alsdan	alsdanig	Adv(dem)
loop	loop	n(sing)
'	?	punc(quest)
ic	ik	pron(pers,1,sing)
den	de	art(def)
wech	weg	n(sing)
vrijmoedich	vrijmoediglijk	adj()
vwer	uw	Pron(poss)
gheboden	gebod	N(plu)
heere	heer	N(sing)
goedich	goedig	Adj()
leert	leren	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
doch	doch	Adv(gener)
heere	heer	N(sing)
den	de	Art(def)
wech	weg	N(sing)
uwer	uw	pron(poss)
rechten	recht	n(sing)
dat	dat	conj(subord)
icse	ik+zij	pron(pers,1,sing)+pron(pers,3,plu)
bewaer	bewaren	adj()
'	?	punc(quest)
tot	tot	Adp()
aen	aan	Adp()
mijn	mijn	Pron(poss)
eyndt	eind	N(sing)
wijst	wijzen	N(sing)
dat	dat	conj(subord)
ic	ik	pron(pers,1,sing)
v	gij	pron(pers,2,plu)
wet	weten	v(fin,pres,lex)
in	in	Adp()
my	ik	Pron(pers,1,sing)
soo	zo	Adv(resum)
mach	mogen	V(fin,pres,aux_cop)
hechten	hechten	V(infin)
dat	dat	conj(subord)
icse	ik+zij	pron(pers,1,sing)+pron(pers,3,plu)
behoude	behouden	v(fin,past,lex)
onghescheyndt	ongeschend	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
die	die	Pron(rel)
van	van	adp()
ganscher	gans	adj()
herten	hart	n(sing)
sla	slaan	Adj()
gade	god	n(sing)
voert	voort	Adv(gener)
my	ik	Pron(pers,1,sing)
op	op	Adp()
uwer	uw	Pron(poss)
gheboden	gebod	n(plu)
pade	pad	N(sing)
want	want	Conj(coord)
ick	ik	Pron(pers,1,sing)
hebb	hebben	V(fin,pres,aux_cop)
'	?	punc(quest)
grooten	groot	Adj()
lust	lust	N(sing)
daer	daar	Adv(dem)
aen	aan	Adp()
o	o	Interj()
heere	heer	N(sing)
neycht	neigen	V(imp)
mijn	mijn	pron(poss)
herte	hart	n(sing)
saen	zaan	adv(gener)
tot	tot	adp()
v	gij	pron(pers,2,plu)
ghetuygheniss	getuigenis	N(sing)
'	?	punc(quest)
ghemeyne	gemeen	Adv(gener)
end	en	Conj(coord)
'	?	punc(quest)
niet	niet	Adv(neg)
tot	tot	Adp()
ghiricheyt	gierigheid	n(sing)
onreyne	onrein	Adj()
van	van	adp()
onnutte	onnut	adj()
leere	leer	n(sing)
weynt	wanen	v(fin,pres,lex)
af	af	PronAdv(rel)
mijn	mijn	Pron(poss)
ooghen	oog	N(plu)
maer	maar	Conj(coord)
op	op	Adp()
uwen	uw	pron(poss)
wech	weg	N(sing)
mijn	mijn	pron(poss)
siel	ziel	n(sing)
'	?	punc(quest)
verblijt	verblijden	v(participle,past)
willet	willen	V(imp)
doch	doch	adv(gener)
alsulx	alzulk	pron(dem)
uwen	uw	Pron(poss)
knecht	knecht	N(sing)
ghedoogen	gedogen	V(participle,past)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
v	gij	Pron(poss)
ghebot	gebod	N(sing)
houd	houden	adj()
'	?	punc(quest)
vast	vast	Adv(gener)
altijt	altijd	Adv(gener)
voor	voor	Adp()
v	uw	Pron(poss)
woort	woord	N(sing)
dat	dat	conj(subord)
ic	ik	pron(pers,1,sing)
v	gij	pron(pers,2,plu)
vreese	vrees	n(sing)
heere	heer	N(sing)
weynt	wenen	V(fin,pres,lex)
van	van	Adp()
my	ik	Pron(pers,1,sing)
