salich	zalig	Adj()
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
die	de	Pron(rel)
stijff	stijf	N(sing)
op	op	adp()
de	de	art(def)
baen	baan	n(plu)
in	in	Adp()
godt	god	N(sing)
des	de	Art(def)
heeren	heer	N(sing)
gheboden	gebod	N(plu)
gaen	gaan	V(infin)
en	en	Conj(coord)
zijn	zijn	Pron(poss)
ghetuyghenissen	getuigenis	N(sing)
achten	achten	V(infin)
die	die	pron(rel)
die	die	Pron(rel)
soecken	zoeken	n(plu)
met	met	Adp()
hun	zij	Pron(poss)
herten	hart	N(sing)
crachten	kracht	N(plu)
die	die	pron(rel)
en	ne	adv(neg)
doen	doen	v(fin,pres,lex)
geen	geen	pron(indef)
quaet	kwaad	N(sing)
maer	maar	Conj(coord)
gaen	gaan	V(infin)
op	op	Adp()
sheeren	de+heer	art(def)+n(sing)
padt	pad	N(sing)
en	en	Conj(coord)
sy	zij	Pron(pers,3,plu)
achten	achten	V(fin,pres,lex)
hooch	hoog	Adj()
syn	zijn	Pron(poss)
geboden	gebod	N(plu)
pladt	plat	N(sing)
heer	heer	N(sing)
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
in	in	Adp()
u	gij	pron(pers,2,sing)
vaen	vangen	v(infin)
so	zo	adv(resum)
stouwen	stof	v(infin)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
u	gij	Pron(poss)
rechten	recht	V(infin)
mach	mogen	v(fin,pres,aux_cop)
onderhouwen	onderhouden	v(infin)
en	en	adv(neg)
als	als	Conj(subord)
ick	ik	Pron(pers,1,sing)
aenmercke	aanmerken	V(fin,pres,lex)
uwen	uw	Pron(poss)
wedt	wet	N(sing)
zaen	zaan	adv(gener)
dan	dan	conj(comp)
en	ne	adv(neg)
sel	zullen	v(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
te	te	Adp()
schanden	schande	n(sing)
gaen	gaan	V(infin)
dies	dat	Pron(dem)
van	van	adp()
rechter	recht	adj()
herten	hart	n(sing)
loeff	loven	V(fin,pres,lex)
ick	ik	Pron(pers,1,sing)
u	gij	Pron(pers,2,sing)
leert	leren	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
u	uw	Pron(poss)
rechten	recht	V(infin)
verlaet	verlaten	V(imp)
my	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
nu	nu	Adv(dem)
so	zo	adv(resum)
wil	willen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
u	gij	Pron(pers,2,sing)
