ghelijckerwijs	gelijkerwijs	Conj(comp)
vol	vol	adj()
rouwen	rouw	n(sing)
sadt	zitten	N(sing)
tvolck	het+volk	Art(def)+N(sing)
van	van	Adp()
israel	israel	N(prop)
in	in	Adp()
dbabiloensch	de+babylonië	Art(def)+N(prop)
landouwen	landouw	N(plu)
deur	door	Adp()
tyrannije	tyrannie	N(sing)
fel	fel	Adj()
soo	zo	Adv(resum)
hebben	hebben	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
gheseten	zitten	V(participle,past)
in	in	Adp()
tsoete	het+zoet	Art(def)+Adj()
nederlant	nederland	N(prop)
vol	vol	Adj()
lijdens	lijden	N(plu)
onghemeten	ongemeten	N(plu)
door	door	Adp()
spaingsche	spaans	Adj()
iock	juk	N(sing)
en	en	Conj(coord)
bant	band	N(sing)
maer	maar	Conj(coord)
god	god	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
ons	wij	Pron(pers,1,plu)
ghesonden	zenden	V(participle,past)
van	van	Adp()
nassouwen	nassau	N(prop)
een	een	Art(indef)
helt	held	N(sing)
welck	welk	Pron(rel)
heeft	hebben	V(fin,pres,aux_cop)
den	de	Art(def)
bant	band	N(sing)
ontbonden	ontbinden	v(participle,past)
die	die	pron(rel)
ons	wij	pron(pers,1,plu)
dus	dus	Adv(dem)
heeft	hebben	V(fin,pres,aux_cop)
ghequelt	kwellen	V(participle,past)
daer	daar	Adv(dem)
naer	naar	Adv(gener)
is	zijn	V(fin,pres,aux_cop)
dlot	de+lot	N(sing)
ghevallen	vallen	V(participle,past)
op	op	Adp()
u	uw	Pron(poss)
matthias	matthias	n(prop)
goet	goed	Adj()
die	de	Pron(rel)
voortaen	voortaan	Adv(gener)
sult	zullen	V(fin,pres,aux_cop)
voor	voor	Adp()
allen	al	Num(indef)
ons	wij	Pron(poss)
qualen	kwaal	n(sing)
gheven	geven	v(infin)
boet	bieden	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
sult	zullen	V(fin,pres,aux_cop)
te	te	Adp()
vreden	vrede	V(infin)
stellen	stellen	v(infin)
onsen	ons	pron(poss)
lantsheere	landsheer	n(sing)
ontpayt	ontpaaien	V(fin,pres,lex)
en	en	Conj(coord)
die	de	Pron(rel)
leughen	leugen	N(plu)
mellen	mellen	n(plu)
die	die	pron(rel)
van	van	adp()
ons	wij	pron(pers,1,plu)
