ick	ik	Pron(pers,1,sing)
sal	zullen	V(fin,pres,aux_cop)
beschrijuen	beschrijven	V(infin)
eerbaer	eerbaar	n(prop)
leser	lezer	Adv(gener)
op	op	Adp()
dit	dit	Pron(dem)
pas	pas	n(sing)
een	een	Art(indef)
triumphante	triomfant	N(sing)
incompste	inwoner	N(sing)
gheschiet	geschieden	V(participle,past)
publijcke	publikaan	N(sing)
hier	hier	Adv(dem)
binnen	binnen	Adv(gener)
brussel	brussel	n(sing)
ter	de+te	art(def)+adp()
eeren	eer	n(sing)
matthias	matthias	n(prop)
aertshertoghe	aartshertog	N(sing)
des	de	art(def)
lants	land	n(sing)
van	van	adp()
oostenrijcke	oostenrijk	N(prop)
nempse	nemen+zij	v(imp)+pron(pers,3,sing)
in	in	adp()
dancke	dank	adj()
vrinden	vriend	n(plu)
alghelijcke	algeheel	Adv(gener)
by	bij	adp()
desen	deze	pron(dem)
sullen	zullen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
v	gij	Pron(pers,2,plu)
thoonen	tonen	N(plu)
t	het	Art(def)
'	?	punc(quest)
vercieren	versieren	V(infin)
met	met	adp()
al	al	num(indef)
dat	dat	Pron(rel)
tot	tot	Adp()
d	de	Art(def)
'	?	punc(quest)
incompst	inkomen	N(sing)
was	zijn	v(fin,past,aux_cop)
ghemaeckt	maken	v(participle,past)
ghereet	gereed	V(participle,past)
oock	ook	Adv(gener)
principalijck	principaal	Adj()
tbancket	traagheid	Art(def)+N(sing)
en	en	Conj(coord)
tvieren	treuren	Art(def)+N(sing)
het	het	pron(pers,3,sing)
tafelspel	tabernakel	n(sing)
dialogue	dyadochus	N(sing)
en	en	Conj(coord)
matthias	matthias	n(prop)
eet	eed	N(sing)
oock	ook	Adv(gener)
insghelijcx	ingelijks	Adv(gener)
t	het	Art(def)
'	?	punc(quest)
sprincen	springen	V(infin)
eedt	eed	N(sing)
hier	hier	Adv(dem)
by	bij	Adp()
steet	staan	V(fin,pres,lex)
oock	ook	Adv(gener)
soo	zo	Adv(resum)
sy	zij	Pron(pers,3,plu)
swoeren	zweren	V(infin)
te	te	Adp()
beschermen	beschermen	V(infin)
dees	deze	Pron(dem)
landouwen	landouw	N(plu)
al	al	Adv(gener)
t	het	Art(def)
'	?	punc(quest)
is	zijn	V(fin,pres,aux_cop)
wonder	wonder	n(sing)
wat	wat	pron(rel)
v	gij	pron(pers,2,plu)
dit	dit	pron(dem)
boeck	boek	n(sing)
met	met	adp()
claer	klaar	adj()
bescheet	bescheid	V(fin,pres,lex)
oock	ook	Adv(gener)
al	al	Adv(gener)
ordentlijck	ordentelijk	Adj()
naer	naar	adp()
die	de	Art(def)
waerheyt	waarheid	N(sing)
ontfouwen	ontvouwen	v(infin)
sal	zullen	V(fin,pres,aux_cop)
het	het	pron(pers,3,sing)
sal	zullen	v(fin,pres,aux_cop)
v	gij	pron(pers,2,plu)
thoonen	tonen	adv(gener)
die	de	art(def)
figuren	figuur	n(plu)
rustich	rustig	Adj()
oock	ook	Adv(gener)
al	al	Adv(gener)
tsamen	tezamen	Adv()
naer	naar	Adp()
dleuen	het+leven	Art(def)+N(sing)
gheconterfeyt	tormenteren	n(sing)
daer	daar	adv(dem)
vandie	die+van	pron(dem)+adp()
poincten	punt	n(plu)
die	die	pron(rel)
ter	de+te	art(def)+adp()
seluer	zelf	pron(dem)
uren	uur	n(sing)
lustich	lustig	adj()
waeren	zijn	V(fin,past,aux_cop)
in	in	Adp()
alle	al	Num(indef)
wijcken	wijk	N(plu)
verbreyt	verbreiden	V(participle,past)
maer	maar	Conj(coord)
als	als	Conj(subord)
ghy	gij	Pron(pers,2,sing)
hier	hier	Adv(dem)
leest	lezen	V(fin,pres,lex)
die	de	art(def)
particulariteyt	gariophilatrix	n(sing)
claer	klaar	adj()
esser	er+zijn	adv(gener)+v(fin,pres,aux_cop)
dan	dan	conj(comp)
inde	en	conj(coord)
prose	proces	n(sing)
oft	of	conj(coord)
const	kunnen	N(sing)
ghefailleert	gevalsd	v(participle,past)
iet	iet	pron(indef)
reprocheert	reproberen	adj()
heuslijck	heilewig	adj()
want	want	Conj(coord)
het	het	pron(pers,3,sing)
is	zijn	v(fin,pres,aux_cop)
sonder	zonder	adp()
aerbeyt	arbeid	n(sing)
swaer	zwaar	adj()
ter	te+de	Adp()+Art(def)
eeren	eer	n(sing)
matthias	matthias	n(prop)
uyt	uit	Adp()
ionft	jong	N(sing)
ghedicteert	gedicht	N(sing)
siet	zien	V(imp)
