tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
op	op	Adp()
dy	du	Pron(pers,2,sing)
heere	heer	N(sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
bouwe	bouwen	V(fin,pres,lex)
en	en	Conj(coord)
laet	laten	V(imp)
my	ik	Pron(pers,1,sing)
nimmermeer	nimmermeer	Adv(gener)
vervallen	vervullen	V(infin)
in	in	Adp()
oneer	oneer	N(sing)
om	om	Adp()
dijn	dijn	Pron(poss)
gerechticheyt	gerechtigheid	N(sing)
end	en	Conj(coord)
'	?	punc(quest)
trouwe	trouw	N(sing)
wil	willen	v(fin,pres,aux_cop)
mijn	mijn	Pron(poss)
verlossing	verlossing	N(sing)
spoeden	spoeden	V(infin)
end	en	Conj(coord)
my	ik	Pron(pers,1,sing)
genadich	genadig	Adj()
hoeden	hoeden	V(infin)
sy	zij	Pron(pers,3,plu)
my	ik	Pron(pers,1,sing)
mijn	mijn	Pron(poss)
rotz	rots	N(sing)
end	en	Conj(coord)
wal	wel	Adv(gener)
daer	daar	Adv(dem)
ick	ik	pron(pers,1,sing)
toe	toe	Adp()
wijcken	wijk	V(infin)
sal	zullen	v(fin,pres,aux_cop)
du	du	pron(pers,2,sing)
hebst	hebben	v(fin,pres,aux_cop)
beuolen	bevelen	V(infin)
my	ik	Pron(pers,1,sing)
te	te	adp()
sparen	sparen	V(infin)
du	du	pron(pers,2,sing)
bist	zijn	v(fin,pres,aux_cop)
o	o	interj()
alderbeste	allerbest	N(sing)
mijn	mijn	Pron(poss)
rotz	rots	N(sing)
end	en	Conj(coord)
stercke	sterk	Adj()
veste	vest	N(sing)
mijn	mijn	pron(poss)
god	god	n(sing)
verloss	verlossen	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
van	van	Adp()
d	de	Art(def)
'	?	punc(quest)
onvromen	onvrome	V(participle,past)
end	en	Conj(coord)
van	van	Adp()
sgodloosen	het+goddeloos	N(plu)
handt	hand	N(sing)
die	de	Pron(rel)
erg	erg	N(sing)
is	zijn	v(fin,pres,aux_cop)
suer	zuur	Adj()
end	en	Conj(coord)
wrant	brand	N(sing)
want	want	Conj(coord)
du	du	pron(pers,2,sing)
bist	zijn	v(fin,pres,aux_cop)
mijnen	mijn	Pron(poss)
troost	troost	N(sing)
volcomen	volkomen	V(infin)
mijn	mijn	pron(poss)
toeverlaet	toeverlaat	n(sing)
alleene	alleen	adv(gener)
van	van	Adp()
mijner	mijn	Pron(poss)
kintsheyt	kindsheid	N(sing)
kleene	klein	Adj()
ick	ik	Pron(pers,1,sing)
heb	hebben	V(fin,pres,aux_cop)
gesteunt	gestaan	v(participle,past)
op	op	adp()
dijn	dijn	Pron(poss)
vermogen	vermogen	n(sing)
van	van	adp()
smoeders	snood	Art(def)+N(sing)
lichaem	lichaam	n(sing)
af	af	pronadv(rel)
du	du	pron(pers,2,sing)
hebst	hebben	v(fin,pres,aux_cop)
als	als	Conj(comp)
uyt	uit	Adp()
een	een	Art(indef)
graf	graf	N(sing)
my	ik	Pron(pers,1,sing)
uyt	uit	Adp()
haer	haar	Pron(poss)
ingewant	engeland	N(sing)
getogen	togen	v(participle,past)
du	du	pron(pers,2,sing)
bist	zijn	v(fin,pres,aux_cop)
o	o	Interj()
heer	heer	N(sing)
genadich	genadig	Adj()
mijn	mijn	Pron(poss)
eer	eer	N(sing)
end	en	Conj(coord)
roem	roem	N(sing)
gestadich	gestadig	Adj()
of	of	Conj(coord)
veel	veel	num(indef)
als	als	conj(comp)
een	een	Art(indef)
gedrocht	gedragen	N(sing)
my	ik	Pron(pers,1,sing)
mijden	mijden	V(infin)
so	zo	adv(resum)
bistu	zijn+du	pron(pers,2,sing)+v(fin,pres,aux_cop)
inder	de+in	art(def)+adp()
daet	daad	n(sing)
mijn	mijn	pron(poss)
vaste	vast	Adj()
toeverlaet	toeverlaat	n(sing)
laet	laten	V(imp)
mijnen	mijn	pron(poss)
mont	mond	N(sing)
heer	heer	n(sing)
tallen	al+te	num(indef)+adp()
tijden	tijd	n(plu)
dijns	dijn	pron(poss)
lofs	lof	n(sing)
geheel	geheel	Adv(gener)
vol	vol	Adj()
steken	steken	N(plu)
end	en	Conj(coord)
in	in	Adp()
dijn	dijn	Pron(poss)
eer	eer	N(sing)
uytbreken	ontbreken	v(infin)
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
in	in	Adp()
mijn	mijn	pron(poss)
oude	oud	adj()
dagen	dag	n(plu)
als	als	conj(comp)
mijn	mijn	pron(poss)
jeugt	jeugd	N(sing)
is	zijn	V(fin,pres,aux_cop)
voirby	voorbij	Adv(gener)
verstooten	verstoten	V(participle,past)
heer	heer	N(sing)
van	van	Adp()
dy	du	Pron(pers,2,sing)
als	als	Conj(comp)
mijne	mijn	Pron(poss)
leden	lijden	N(plu)
vast	vast	Adj()
vertragen	vertragen	V(infin)
end	en	Conj(coord)
krachteloos	krachteloos	N(sing)
beswijcken	bezwijken	V(infin)
wil	willen	v(fin,pres,aux_cop)
du	du	pron(pers,2,sing)
van	van	adp()
my	ik	pron(pers,1,sing)
niet	niet	Adv(neg)
wijcken	wijk	V(infin)
want	want	Conj(coord)
mijne	mijn	Pron(poss)
haters	hater	N(sing)
doch	doch	Adv(gener)
niet	niet	Adv(neg)
spreken	spreken	V(infin)
dan	dan	conj(comp)
enckel	enkel	n(sing)
