cvpidos	cupido	n(prop)
schichte	schicht	n(sing)
is	zijn	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
nu	nu	Adv(dem)
wel	wel	Adv(gener)
bekent	bekend	Adj()
door	door	Adp()
tsuet	het+zoet	Art(def)+N(sing)
ghesichte	gezicht	N(sing)
der	de	Art(def)
schoonheyt	schoonheid	n(sing)
excellent	excellent	N(sing)
van	van	adp()
een	een	art(indef)
maechdeken	maagd	N(sing)
reene	rein	Adj()
wys	wijs	adj()
minlyck	minnelijk	Adj()
en	en	Conj(coord)
seer	zeer	Adv(gener)
goet	goed	Adj()
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
nv	nu	adv(dem)
dus	dus	Adv(dem)
alleene	alleen	adv(gener)
naer	naar	Adp()
heur	hun	Pron(poss)
verlanghen	verlangen	N(sing)
doet	doen	V(fin,pres,lex)
heur	hun	Pron(poss)
schoon	schoon	Adj()
bruyn	bruin	Adj()
ooghen	oog	N(plu)
lieffelyck	lieflijk	Adv(gener)
ende	en	conj(coord)
claer	klaar	adj()
doen	doen	v(infin)
my	ik	Pron(pers,1,sing)
nv	nu	adv(dem)
dooghen	dogen	V(infin)
pyne	pijn	n(sing)
groot	groot	adj()
ende	en	conj(coord)
swaer	zwaar	Adj()
heur	hun	Pron(poss)
wancxkens	wang	N(sing)
net	net	N(sing)
en	en	Conj(coord)
pure	puur	Adj()
blosende	blozend	Adj()
als	als	conj(comp)
een	een	art(indef)
granaet	granaat	N(sing)
maken	maken	v(infin)
my	ik	Pron(pers,1,sing)
d	de	Art(def)
'	?	punc(quest)
leuen	leven	N(sing)
sure	zuur	adj()
ia	ja	Interj()
schier	schier	Adv(gener)
half	half	Adj()
desperaet	desperaat	V(participle,past)
heur	hun	Pron(poss)
eerbaer	eerbaar	Adj()
wesen	wezen	V(infin)
en	en	Conj(coord)
heur	haar	Pron(poss)
manieren	manier	N(plu)
soet	zoet	adj()
weerdich	waardig	Adj()
ghepresen	prijzen	V(participle,past)
en	en	Conj(coord)
diemen	die+men	Pron(rel)+Pron(indef)
prysen	prijzen	V(infin)
moet	moeten	V(fin,pres,aux_cop)
en	en	Conj(coord)
heur	hun	Pron(poss)
seer	zeer	Adv(gener)
eerlyck	eerlijk	Adj()
leuen	leven	V(infin)
al	al	Adv(gener)
heur	haar	Pron(poss)
bedryuen	bedrijven	V(infin)
vry	vrij	Adj()
en	en	Conj(coord)
heur	hun	Pron(poss)
deuchden	deugd	N(plu)
verheuen	verheffen	V(participle,past)
maken	maken	V(infin)
myn	mijn	pron(poss)
herte	hart	N(sing)
bly	blij	Adj()
weer	zijn	Adv(gener)
ick	ik	Pron(pers,1,sing)
int	in+het	Adp()+Art(def)
herte	hart	N(sing)
blyschappe	blijdschap	n(sing)
heb	hebben	v(fin,pres,aux_cop)
'	?	punc(quest)
oft	of	Conj(coord)
pyn	pijn	N(sing)
weer	zijn	Adv(gener)
vreucht	vreugde	N(sing)
oft	of	Conj(coord)
smerte	smart	N(sing)
sy	zij	Pron(pers,3,plu)
sal	zullen	V(fin,pres,aux_cop)
de	de	Art(def)
weertste	waard	n(sing)
syn	zijn	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
salse	zullen+zij	V(fin,pres,aux_cop)+Pron(pers,3,sing)
oock	ook	Adv(gener)
al	al	Adv(gener)
'	?	punc(quest)
myn	mijn	Pron(poss)
leuen	leven	N(sing)
dienen	dienen	V(infin)
wt	uit	Adp()
ionsten	gunst	adj()
puer	puur	N(sing)
en	en	Conj(coord)
heur	hun	Pron(poss)
gheensins	geenszins	Adv(gener)
begheuen	begeven	V(infin)
om	om	Adp()
vreucht	vreugde	N(sing)
oft	of	Conj(coord)
lyden	lijden	N(plu)
suer	zuur	Adj()
god	god	N(sing)
almachtich	almachtig	adj()
die	die	Pron(rel)
alle	al	num(indef)
herten	hart	n(plu)
voet	voet	N(sing)
weest	zijn	V(imp)
toch	toch	Adv(gener)
ghedachtich	gedachtig	Adj()
dees	deze	Pron(dem)
'	?	punc(quest)
schoone	schoon	Adj()
vrouwe	vrouw	N(sing)
goet	goed	Adj()
wiltse	willen+zij	V(fin,pres,lex)+Pron(pers,3,sing)
voor	voor	Adp()
schande	schande	N(sing)
wachten	wachten	V(infin)
nou	nu	Adv(dem)
en	en	Conj(coord)
tot	tot	Adp()
alder	al+de	Num(indef)+Art(def)
tyt	tijd	N(sing)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
al	al	Adv(gener)
in	in	Adp()
uwer	uw	Pron(poss)
machten	macht	N(plu)
die	die	Pron(rel)
sonder	zonder	Adp()
eynde	eind	n(sing)
syt	zijn	v(fin,pres,aux_cop)
