waerom	waarom	pronadv(inter)
is	zijn	V(fin,pres,aux_cop)
toch	toch	Adv(gener)
het	het	Art(def)
volck	volk	N(sing)
aldus	aldus	adv(dem)
beruert	beroeren	V(participle,past)
wat	wat	pron(inter)
dwaesheyt	dwaasheid	n(sing)
doet	doen	V(fin,pres,lex)
heur	zij	pron(pers,3,sing)
nv	nu	Adv(dem)
dus	dus	Adv(dem)
murmureren	murmureren	v(infin)
hoe	hoe	adv(inter)
syn	zijn	v(fin,pres,aux_cop)
nv	nu	adv(dem)
dus	dus	adv(dem)
de	de	Art(def)
heydenen	heiden	N(plu)
bekuert	bekoren	V(fin,pres,lex)
om	om	Adp()
ydelyck	ijdellijk	adj()
dwaesheyt	dwaasheid	N(sing)
groot	groot	Adj()
t	het	Art(def)
'	?	punc(quest)
ordonneren	ordineren	V(infin)
de	de	Art(def)
coninghen	koning	N(plu)
en	en	Conj(coord)
de	de	Art(def)
princen	prins	N(plu)
der	de	Art(def)
eerden	aarde	N(sing)
hebben	hebben	v(fin,pres,aux_cop)
ghehadt	hebben	v(participle,past)
alsulcken	alzulk	pron(dem)
ouermoet	overmoed	n(sing)
te	te	adp()
muyten	kwijten	v(infin)
i	een	num(card)
en	ne	adv(neg)
oorlogh	oorlog	N(sing)
t	het	Art(def)
'	?	punc(quest)
aenueerden	aanvaarden	V(infin)
al	al	Adv(gener)
teghen	tegen	Adp()
godt	god	N(sing)
en	en	Conj(coord)
synen	zijn	Pron(poss)
coeninck	koning	n(sing)
goet	goed	adj()
segghende	zeggen	v(participle,pres)
coemt	komen	V(fin,pres,lex)
laet	laten	V(imp)
ons	wij	pron(pers,1,plu)
breken	breken	V(infin)
gelyck	gelijk	conj(comp)
de	de	Art(def)
banden	band	N(plu)
daer	daar	Adv(dem)
sy	zij	Pron(pers,3,plu)
ons	wij	Pron(pers,1,plu)
me	mee	num(indef)
bynden	binden	v(infin)
willen	willen	v(fin,pres,aux_cop)
verworpen	verwerpen	V(participle,past)
