danckt	danken	V(imp)
den	de	Art(def)
heere	heer	N(sing)
al	al	Adv(gener)
wie	wie	Pron(inter)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
syt	zijn	V(fin,pres,aux_cop)
heydenen	heiden	N(plu)
hem	hij	Pron(pers,3,sing)
ghebenedyt	gebenedijd	V(participle,past)
want	want	conj(coord)
syn	zijn	Pron(poss)
groote	groot	Adj()
ghenade	genade	N(sing)
goet	goed	Adj()
stort	storten	N(sing)
hy	hij	Pron(pers,3,sing)
op	op	Adp()
ons	wij	Pron(pers,1,plu)
seer	zeer	Adv(gener)
oueruloet	overvloed	N(sing)
en	en	Conj(coord)
syn	zijn	Pron(poss)
vast	vast	adj()
warachticheyt	waarachtig	n(sing)
sal	zullen	v(fin,pres,aux_cop)
dueren	duren	v(infin)
inder	in+de	adp()+art(def)
eewicheyt	eeuwigheid	n(sing)
