israel	israel	N(prop)
mach	mogen	V(fin,pres,aux_cop)
wel	wel	adv(gener)
segghen	zeggen	v(infin)
op	op	adp()
des	de	art(def)
'	?	punc(quest)
tyt	tijd	n(sing)
had	hebben	v(fin,past,aux_cop)
'	?	punc(quest)
ons	wij	Pron(poss)
godt	god	N(sing)
niet	niet	Adv(neg)
self	zelf	Pron(dem)
voor	voor	Adp()
ons	wij	Pron(pers,1,plu)
geweest	zijn	v(participle,past)
en	en	adv(neg)
ons	wij	pron(pers,1,plu)
recht	recht	N(sing)
self	zelf	pron(dem)
ghedraghen	dragen	V(participle,past)
die	de	art(def)
gheneest	genezen	v(participle,past)
als	als	conj(subord)
al	al	Adv(gener)
tquaet	het+kwaad	Art(def)+N(sing)
volck	volk	N(sing)
veruult	vervullen	V(participle,past)
met	met	Adp()
haet	haat	N(sing)
en	en	Conj(coord)
nyt	niet	adv(neg)
quam	komen	v(fin,past,lex)
om	om	adp()
ons	wij	pron(pers,1,plu)
gans	gans	n(sing)
te	te	adp()
vernielen	vernielen	v(infin)
met	met	adp()
stryt	strijd	N(sing)
sy	zij	Pron(pers,3,plu)
souden	zullen	V(fin,past,aux_cop)
ons	wij	Pron(pers,1,plu)
leuendich	levendig	adj()
al	al	Adv(gener)
verslint	verslinden	v(participle,past)
hebben	hebben	v(fin,pres,aux_cop)
hadt	hebben	v(fin,past,aux_cop)
al	al	Adv(gener)
nae	na	Adp()
heuren	hun	Pron(poss)
wil	willen	V(fin,pres,aux_cop)
ghegaen	gaan	V(participle,past)
ouer	over	Adp()
lang	lang	Adv(gener)
siet	zien	V(imp)
hadmen	hebben+men	v(fin,past,aux_cop)+pron(indef)
op	op	Adp()
ons	wij	pron(pers,1,plu)
sien	zien	V(infin)
slaen	slaan	V(infin)
heur	hun	Pron(poss)
boosheyt	boosheid	N(sing)
fel	fel	Adj()
soo	zo	Adv(resum)
seer	zeer	Adv(gener)
syn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
verblint	verblinden	V(fin,pres,lex)
ghelijck	gelijk	Adv(gener)
der	de	art(def)
zee	zee	N(sing)
baren	baren	v(infin)
rou	rouw	N(sing)
en	en	Conj(coord)
ontsint	ontzien	v(fin,pres,lex)
ouer	over	Adp()
lang	lang	adj()
siet	zien	V(imp)
souden	zullen	V(fin,past,aux_cop)
heur	hun	Pron(poss)
stroomen	stroom	N(plu)
groot	groot	Adj()
ouer	over	Adp()
ons	wij	pron(pers,1,plu)
hoot	hoofd	N(sing)
hebben	hebben	V(fin,pres,aux_cop)
gheslaghen	slaan	v(participle,past)
saen	zaan	adv(gener)
maer	maar	Conj(coord)
lof	lof	n(sing)
heb	hebben	V(fin,pres,aux_cop)
godt	god	N(sing)
die	die	Pron(rel)
ons	wij	Pron(pers,1,plu)
heeft	hebben	V(fin,pres,aux_cop)
by	bij	Adp()
ghestaen	staan	V(participle,past)
en	en	Conj(coord)
die	die	Pron(rel)
syn	zijn	Pron(poss)
volck	volk	N(sing)
in	in	Adp()
der	de	Art(def)
vyanden	vijand	n(plu)
macht	macht	N(sing)
niet	niet	Adv(neg)
en	ne	adv(neg)
verliet	verlaten	V(fin,pres,lex)
soo	zo	Adv(resum)
syt	zijn	V(fin,pres,aux_cop)
hadden	hebben	V(fin,past,aux_cop)
ghedacht	gedachte	V(participle,past)
wy	wij	Pron(pers,1,plu)
syn	zijn	V(fin,pres,aux_cop)
verlost	verlossen	V(participle,past)
ghelijck	gelijk	Adv(gener)
den	de	art(def)
voghel	vogel	n(sing)
teer	teer	adv(gener)
die	die	pron(rel)
hem	hij	pron(pers,3,sing)
ontwerdt	antwoorden	v(fin,pres,lex)
wt	uit	adp()
den	de	art(def)
strick	strik	N(sing)
die	die	pron(rel)
hem	hij	pron(pers,3,sing)
hielt	houden	v(fin,past,lex)
den	de	art(def)
strick	strik	n(sing)
die	die	pron(rel)
ons	wij	pron(pers,1,plu)
houden	houden	v(infin)
wou	willen	N(sing)
is	zijn	v(fin,pres,aux_cop)
vernielt	vernielen	V(participle,past)
alsoo	alzo	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
godt	god	N(sing)
die	de	Art(def)
hemel	hemel	N(sing)
locht	lucht	V(fin,pres,lex)
en	en	adv(neg)
meer	meer	Num(indef)
gheschapen	scheppen	v(participle,past)
heeft	hebben	V(fin,pres,aux_cop)
ons	wij	Pron(pers,1,plu)
verlost	verlossen	V(participle,past)
tsynder	zijn+er	N(sing)
eer	eer	N(sing)
