stelt	stellen	V(imp)
v	gij	Pron(pers,2,plu)
nv	nu	Adv(dem)
oock	ook	Adv(gener)
dienaers	dienaar	N(plu)
van	van	Adp()
godt	god	N(sing)
den	de	Art(def)
heer	heer	N(sing)
syn	zijn	Pron(poss)
gramschap	gramschap	N(sing)
vreest	vrezen	N(sing)
soeckt	zoeken	V(fin,pres,lex)
om	om	Adp()
hem	hij	Pron(pers,3,sing)
te	te	adp()
behaghen	behagen	v(infin)
en	en	Conj(coord)
syn	zijn	v(fin,pres,aux_cop)
te	te	adp()
syn	zijn	Pron(poss)
verheucht	verheugd	V(participle,past)
v	gij	Pron(pers,2,plu)
alle	al	Num(indef)
seer	zeer	Adv(gener)
hebbende	hebben	v(participle,pres)
altyts	arbeid	Adv(gener)
hem	hij	pron(pers,3,sing)
te	te	adp()
stooren	storen	v(infin)
versaghen	versagen	v(infin)
haer	haar	Pron(poss)
opstel	opstel	n(sing)
sal	zullen	v(fin,pres,aux_cop)
van	van	adp()
hem	hij	pron(pers,3,sing)
bespottet	bespotten+het	v(participle,past)
wesen	wezen	v(infin)
want	want	conj(coord)
het	het	pron(pers,3,sing)
is	zijn	v(fin,pres,aux_cop)
ydel	ijdel	Adj()
end	en	Conj(coord)
godt	god	N(sing)
acht	achten	V(fin,pres,lex)
het	het	Pron(pers,3,sing)
niet	niet	Adv(neg)
hy	hij	Pron(pers,3,sing)
sals	zullen	V(fin,pres,aux_cop)
'	?	punc(quest)
aenspreken	aanspreken	V(infin)
elck	elk	Pron(indef)
by	bij	Adp()
synen	zijn	Pron(poss)
naem	naam	N(sing)
in	in	Adp()
sijn	zijn	Pron(poss)
gramschap	gramschap	n(sing)
die	de	Pron(rel)
grootlicks	grotelijk	Adv(gener)
is	zijn	v(fin,pres,aux_cop)
te	te	adp()
vruchten	vrucht	V(infin)
hy	hij	Pron(pers,3,sing)
salse	zij+zullen	V(fin,pres,aux_cop)+Pron(pers,3,sing)
verbaest	verbaasd	V(participle,past)
maeken	maken	v(infin)
al	al	Adv(gener)
te	te	Adp()
saem	samen	n(sing)
in	in	adp()
syn	zijn	pron(poss)
toornicheit	toornigheid	n(sing)
die	die	Pron(rel)
seer	zeer	Adv(gener)
is	zijn	v(fin,pres,aux_cop)
te	te	adp()
duchten	duchten	V(infin)
end	en	Conj(coord)
sal	zullen	V(fin,pres,aux_cop)
spreken	spreken	V(infin)
ghy	gij	Pron(pers,2,plu)
koningen	koning	N(plu)
wilt	willen	V(fin,pres,aux_cop)
hooren	horen	V(infin)
van	van	Adp()
waer	waar	Pron(inter)
komt	komen	v(fin,pres,lex)
v	gij	pron(pers,2,plu)
dese	deze	pron(dem)
raetslagh	raadslag	n(sing)
so	zo	adv(resum)
ergh	erg	Adj()
ick	ik	Pron(pers,1,sing)
heb	hebben	V(fin,pres,aux_cop)
myn	mijn	Pron(poss)
koningh	koning	N(sing)
gesalft	zaligen	V(participle,past)
end	en	Conj(coord)
verkoren	verkiezen	V(participle,past)
ouer	over	Adp()
zion	sion	N(sing)
mynen	mijn	pron(poss)
heyligen	heilig	Adj()
bergh	berg	N(sing)
end	en	Conj(coord)
ick	ik	Pron(pers,1,sing)
sijn	zijn	V(fin,pres,aux_cop)
koningh	koning	N(sing)
van	van	adp()
hem	hij	pron(pers,3,sing)
toebereydt	toebereiden	v(fin,pres,lex)
sal	zullen	v(fin,pres,aux_cop)
godts	god	N(sing)
oordeel	oordeel	N(sing)
spreken	spreken	V(infin)
voor	voor	Adp()
yders	ieder	Pron(indef)
ooren	oor	N(plu)
t	het	Art(def)
'	?	punc(quest)
welck	welk	Pron(rel)
is	zijn	v(fin,pres,aux_cop)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
my	ik	Pron(pers,1,sing)
klaerlick	klaarlijk	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
geseyt	zeggen	V(participle,past)
ghy	gij	Pron(pers,2,plu)
sijt	zijn	V(fin,pres,aux_cop)
myn	mijn	pron(poss)
soen	zoon	n(sing)
huyden	hoeden	v(fin,past,lex)
van	van	adp()
my	ik	Pron(pers,1,sing)
geboren	geboren	adj()
begeert	begeren	V(fin,pres,lex)
van	van	adp()
my	ik	Pron(pers,1,sing)
ick	ik	Pron(pers,1,sing)
sal	zullen	V(fin,pres,aux_cop)
v	gij	Pron(pers,2,plu)
t	het	Art(def)
'	?	punc(quest)
eender	een	Art(indef)
eruen	erf	n(sing)
veel	veel	num(indef)
volckeren	volk	N(plu)
haest	haast	Adv(gener)
maeken	maken	V(infin)
onderdaen	onderdaan	Adj()
een	een	Art(indef)
alsulck	alzulk	pron(dem)
rijck	rijk	N(sing)
sult	zullen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
van	van	Adp()
my	ik	Pron(pers,1,sing)
verweruen	verwerven	V(infin)
dat	dat	Conj(subord)
tot	tot	adp()
den	de	Art(def)
eynden	eind	N(sing)
des	de	Art(def)
eertrycks	aardrijk	N(sing)
sal	zullen	v(fin,pres,aux_cop)
gaen	gaan	V(infin)
ghy	gij	Pron(pers,2,plu)
sult	zullen	V(fin,pres,aux_cop)
draegen	dragen	V(infin)
eenen	een	art(indef)
yseren	ijzeren	adj()
staf	staaf	n(sing)
om	om	adp()
die	die	pron(rel)
al	al	adv(gener)
te	te	adp()
dwingen	dwingen	v(infin)
dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)
'	?	punc(quest)
v	gij	pron(pers,2,plu)
doen	doen	v(infin)
eere	eer	N(sing)
ghy	gij	Pron(pers,2,plu)
sults	zullen	V(fin,pres,aux_cop)
'	?	punc(quest)
inden	in+de	Adp()+Art(def)
windt	wind	N(sing)
verstroyen	verstrooien	V(infin)
als	als	Conj(comp)
kaf	cave	N(sing)
end	en	Conj(coord)
morselen	morseel	N(plu)
als	als	Conj(comp)
een	een	Art(indef)
eerden	aarde	N(sing)
vat	vat	n(sing)
teere	een+te	art(indef)+adp()
dies	dat	Pron(dem)
ghy	gij	Pron(pers,2,plu)
koninghen	koning	N(plu)
end	en	Conj(coord)
vorsten	vorst	N(plu)
der	de	Art(def)
eerden	aarde	N(sing)
wilt	willen	V(fin,pres,aux_cop)
myn	mijn	Pron(poss)
onderwys	onderwijzen	N(sing)
met	met	Adp()
herten	hart	n(sing)
ontfaen	ontvangen	V(participle,past)
end	en	Conj(coord)
ghy	gij	Pron(pers,2,plu)
rechters	rechter	N(plu)
wilt	willen	V(fin,pres,aux_cop)
met	met	Adp()
ootmoet	ootmoed	N(sing)
aenueerden	aanvaarden	V(fin,past,lex)
t	het	Art(def)
'	?	punc(quest)
goet	goed	Adj()
vermaen	vermaan	v(infin)
dat	dat	Conj(subord)
v	gij	pron(pers,2,plu)
van	van	adp()
my	ik	Pron(pers,1,sing)
werdt	worden	v(fin,pres,aux_cop)
gedaen	doen	v(participle,past)
dient	dienen	V(fin,pres,lex)
godt	god	N(sing)
met	met	Adp()
kinderlicke	kinderlief	Adj()
vreese	vrees	N(sing)
goet	goed	Adj()
vreest	vrezen	N(sing)
sijn	zijn	Pron(poss)
gramschap	gramschap	N(sing)
end	en	Conj(coord)
soeckt	zoeken	V(fin,pres,lex)
hem	hij	Pron(pers,3,sing)
te	te	Adp()
behaegen	behagen	v(infin)
verblijdt	verblijden	v(imp)
v	gij	Pron(pers,2,plu)
end	en	Conj(coord)
beeft	beven	V(fin,pres,lex)
voor	voor	Adp()
hem	hij	Pron(pers,3,sing)
met	met	Adp()
ootmoet	ootmoed	N(sing)
siet	zien	v(fin,pres,lex)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
hem	hij	Pron(pers,3,sing)
