verheuen	verheffen	v(participle,past)
verstaet	verstaan	V(imp)
toch	toch	Adv(gener)
mijn	mijn	Pron(poss)
clachte	knecht	N(sing)
ghestadich	gestadig	Adj()
mijn	mijn	Pron(poss)
godt	god	N(sing)
mijn	mijn	Pron(poss)
coninck	koning	N(sing)
groot	groot	Adj()
gheacht	achten	V(participle,past)
want	want	Conj(coord)
ick	ik	Pron(pers,1,sing)
alleene	alleen	Adv(gener)
met	met	Adp()
aendacht	aandacht	N(sing)
v	gij	pron(pers,2,plu)
bid	bidden	V(fin,pres,lex)
o	o	interj()
heere	heer	N(sing)
seer	zeer	Adv(gener)
ghenadich	genadig	adj()
ende	en	conj(coord)
weldadich	waarachtig	adj()
des	de	art(def)
morghens	morgen	N(sing)
eert	eer+het	n(sing)
beghint	beginnen	v(fin,pres,lex)
te	te	Adp()
daghen	dag	v(infin)
sult	zullen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
heer	heer	N(sing)
gheuen	geven	V(infin)
ghehoor	goor	N(sing)
want	want	Conj(coord)
ick	ik	Pron(pers,1,sing)
v	gij	Pron(pers,2,plu)
vroech	vroeg	Adv(gener)
sonder	zonder	Adp()
ghestoor	goor	N(sing)
vierich	vurig	adj()
sal	zullen	v(fin,pres,aux_cop)
bidden	bidden	v(infin)
ende	en	conj(coord)
claghen	klagen	v(infin)
sonder	zonder	adp()
vertraghen	vertragen	V(infin)
ghy	gij	Pron(pers,2,plu)
syt	zijn	V(fin,pres,aux_cop)
de	de	Art(def)
godt	god	N(sing)
die	die	Pron(rel)
de	de	Art(def)
boosheden	branden	n(plu)
niet	niet	Adv(neg)
en	ne	Adv(neg)
bemint	beminnen	V(fin,pres,lex)
maer	maar	Conj(coord)
wederstaet	weerstaan	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
versmaet	versmaden	V(fin,pres,lex)
de	de	Art(def)
doenders	derde	n(plu)
van	van	Adp()
tquaet	het+kwaad	Art(def)+N(sing)
en	en	Conj(coord)
heur	hun	Pron(poss)
boose	boos	Adj()
en	en	Conj(coord)
valsche	vals	Adj()
seden	zede	N(plu)
sult	zullen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
vertreden	vertreden	V(infin)
nummermeer	nimmermeer	Adv(gener)
en	ne	adv(neg)
sullen	zullen	v(fin,pres,aux_cop)
die	de	art(def)
quade	kwaad	adj()
heur	hun	Pron(poss)
vertoonen	vertoornen	V(infin)
doruen	durven	V(infin)
voor	voor	Adp()
v	gij	Pron(pers,2,plu)
want	want	Conj(coord)
altyts	arbeid	Adv(gener)
voor	voor	Adp()
naer	naar	Adv(gener)
ende	en	Conj(coord)
nv	nu	adv(dem)
haet	haat	v(imp)
ghyse	gij+zij	pron(pers,2,plu)+pron(pers,3,plu)
die	die	Pron(rel)
sonder	zonder	Adp()
ghenade	genade	n(sing)
syn	zijn	V(fin,pres,aux_cop)
vroech	vroeg	Adv(gener)
en	en	Conj(coord)
spade	spade	Adv(gener)
v	gij	pron(pers,2,plu)
gramschappe	gramschap	N(sing)
sult	zullen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
bewysen	bewijzen	V(infin)
ouer	over	Adp()
de	de	Art(def)
leughenaers	leraar	N(plu)
ghemeyn	gemeen	Adj()
bedrieghers	bedrieger	N(plu)
dootslaghers	dochter	N(sing)
onreyn	onrein	adj()
syn	zijn	V(fin,pres,aux_cop)
voor	voor	adp()
gode	god	N(sing)
diemen	die+men	Pron(rel)+Pron(indef)
moet	moeten	v(fin,pres,aux_cop)
prysen	prijzen	V(infin)
een	een	Art(indef)
groot	groot	Adj()
afgrysen	agnes	N(sing)
myns	mijn	Pron(poss)
klagens	klagen	N(plu)
end	en	Conj(coord)
suchtens	zuchten	N(plu)
eendrachtigh	eendrachtig	Adj()
o	o	Interj()
heer	heer	N(sing)
almachtigh	almachtig	Adj()
hebt	hebben	V(fin,pres,aux_cop)
acht	achten	V(imp)
op	op	Adp()
myn	mijn	Pron(poss)
suchten	zuchten	N(plu)
ghestadigh	gestadig	Adj()
myn	mijn	Pron(poss)
godt	god	N(sing)
end	en	Conj(coord)
koningh	koning	N(sing)
groot	groot	Adj()
gheacht	achten	V(participle,past)
dewyl	de+wijl	Adv(gener)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
tot	tot	Adp()
v	gij	Pron(pers,2,plu)
met	met	Adp()
aendacht	aandacht	N(sing)
myn	mijn	Pron(poss)
smeeken	smeken	N(sing)
doe	toen	Adv(dem)
o	o	Interj()
heer	heer	N(sing)
genaedigh	genadig	Adj()
ende	en	conj(coord)
weldaedigh	waarachtig	adj()
des	de	art(def)
morgens	morgen	N(sing)
vroegh	vroeg	Adv(gener)
voor	voor	Adp()
den	de	Art(def)
daegraede	dageraad	N(sing)
sult	zullen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
my	ik	Pron(pers,1,sing)
verhooren	verhoren	V(infin)
eenpaer	eenpaar	Adv(gener)
want	want	Conj(coord)
seer	zeer	Adv(gener)
vroegh	vroeg	Adv(gener)
sal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
v	gij	Pron(pers,2,plu)
voorwaer	voorwaar	Adv(gener)
bidden	bidden	V(infin)
wachtende	wachten	V(participle,pres)
vroegh	vroeg	Adv(gener)
end	en	Conj(coord)
spaede	spade	Adv(gener)
op	op	Adp()
v	uw	Pron(poss)
'	?	punc(quest)
ghenaede	genade	N(sing)
ghy	gij	Pron(pers,2,plu)
