wie	wie	pron(inter)
sal	zullen	v(fin,pres,aux_cop)
tonser	ons+te	pron(poss)+adp()
leeren	leren	v(infin)
oueruloedich	overvloedig	Adj()
ons	wij	Pron(pers,1,plu)
toonen	tonen	V(infin)
t	het	Art(def)
'	?	punc(quest)
goet	goed	Adj()
nae	na	Adp()
v	uw	Pron(poss)
goetheyt	goedheid	N(sing)
o	o	Interj()
heer	heer	N(sing)
der	de	Art(def)
heeren	heer	N(sing)
wilt	willen	V(fin,pres,aux_cop)
de	de	Art(def)
claerheyt	klaarheid	N(sing)
ws	uw	Pron(poss)
aensichts	aangezicht	N(sing)
keeren	keren	V(infin)
op	op	Adp()
my	ik	Pron(pers,1,sing)
en	en	Conj(coord)
myne	mijn	Pron(poss)
met	met	Adp()
voorspoet	voorspoed	N(sing)
want	want	Conj(coord)
ick	ik	Pron(pers,1,sing)
heb	hebben	V(fin,pres,aux_cop)
meer	meer	Num(indef)
vreuchden	vreugde	V(infin)
ontfanghen	ontvangen	V(infin)
deur	door	Adp()
de	de	Art(def)
schoonheyt	schoonheid	N(sing)
ws	uw	Pron(poss)
aensichts	aangezicht	N(sing)
claer	klaar	Adj()
dan	dan	Conj(comp)
sy	zij	Pron(pers,3,plu)
die	die	Pron(rel)
hier	hier	Adv(dem)
naer	naar	Adp()
heur	hun	Pron(poss)
verlanghen	verlangen	N(sing)
olie	olie	N(sing)
en	een	Conj(coord)
wijn	wijn	n(sing)
met	met	adp()
vollen	vol	adj()
ganghen	gang	N(plu)
hebben	hebben	v(fin,pres,aux_cop)
en	en	Conj(coord)
een	een	Art(indef)
goet	goed	adj()
cooren	koren	n(sing)
iaer	jaar	N(sing)
soo	zo	Adv(resum)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
in	in	Adp()
peys	peis	n(sing)
ende	en	conj(coord)
vrede	vrede	n(sing)
slapen	slapen	v(infin)
sal	zullen	v(fin,pres,aux_cop)
gaen	gaan	v(infin)
seer	zeer	Adv(gener)
wel	wel	Adv(gener)
gherust	gerust	V(participle,past)
want	want	Conj(coord)
v	gij	Pron(poss)
goetheyt	goedheid	N(sing)
vuecht	voegen	V(fin,pres,lex)
dat	dat	Conj(subord)
soo	zo	Adv(resum)
mede	mede	Adv(gener)
en	ne	Conj(coord)
versekert	verzekeren	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
op	op	Adp()
dees	deze	Pron(dem)
stede	stad	n(sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
ghebieden	gebieden	v(infin)
sal	zullen	V(fin,pres,aux_cop)
met	met	Adp()
lust	lust	N(sing)
als	als	Conj(subord)
ick	ik	Pron(pers,1,sing)
v	gij	Pron(pers,2,plu)
bidd	bidden	V(fin,pres,lex)
'	?	punc(quest)
opent	openen	v(imp)
v	gij	Pron(poss)
ooren	oor	N(plu)
o	o	Interj()
heer	heer	N(sing)
myne	mijn	Pron(poss)
gerechticheit	gerechtigheid	n(sing)
laet	laten	V(imp)
myn	mijn	Pron(poss)
hert	hart	N(sing)
'	?	punc(quest)
bang	bang	n(sing)
'	?	punc(quest)
uwen	uw	Pron(poss)
troost	troost	N(sing)
hooren	horen	V(infin)
end	en	Conj(coord)
v	gij	Pron(poss)
stedes	stad	N(sing)
komen	komen	v(infin)
te	te	Adp()
vooren	voren	V(infin)
myn	mijn	Pron(poss)
gebedt	gebed	N(sing)
nae	na	Adp()
v	uw	Pron(poss)
goedicheit	goedigheid	n(sing)
hoe	hoe	adv(inter)
langh	lang	Adv(gener)
sult	zullen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
soecken	zoeken	V(infin)
ghy	gij	Pron(pers,2,plu)
heeren	heer	N(sing)
myn	mijn	Pron(poss)
eer	eer	N(sing)
te	te	Adp()
schenden	schenden	v(infin)
met	met	adp()
hooghmoet	hoogmoed	N(sing)
end	en	Conj(coord)
v	gij	Pron(pers,2,plu)
tot	tot	Adp()
ydelheit	ijdelheid	N(sing)
bekeeren	bekeren	V(infin)
die	de	Pron(rel)
luegen	leugen	N(plu)
oock	ook	Adv(gener)
t	het	Art(def)
'	?	punc(quest)
uwer	uw	Pron(poss)
oneeren	oneer	n(sing)
so	zo	adv(resum)
liefhebben	liefhebben	v(fin,pres,lex)
als	als	Conj(subord)
ghy	gij	Pron(pers,2,sing)
nu	nu	Adv(dem)
doet	doen	V(fin,pres,lex)
bekent	bekend	adj()
dat	dat	Conj(subord)
godt	god	N(sing)
my	ik	Pron(pers,1,sing)
in	in	Adp()
dit	dit	Pron(dem)
leuen	leven	n(sing)
bouen	boven	adp()
die	de	art(def)
ander	ander	adj()
menschen	mens	n(plu)
al	al	adv(gener)
tot	tot	Adp()
eenen	een	Art(indef)
koningh	koning	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
verheuen	verheffen	V(participle,past)
die	die	Pron(rel)
myn	mijn	Pron(poss)
suchten	zuchten	n(sing)
ende	en	conj(coord)
myn	mijn	Pron(poss)
beuen	beven	n(sing)
van	van	Adp()
den	de	art(def)
hemel	hemel	n(sing)
verhooren	verhoren	v(infin)
sal	zullen	v(fin,pres,aux_cop)
so	zo	Adv(resum)
ghy	gij	pron(pers,2,sing)
gram	gram	adj()
werdt	worden	V(fin,pres,aux_cop)
wacht	wachten	v(imp)
v	gij	pron(pers,2,plu)
van	van	adp()
sonden	zonde	n(plu)
misdoet	misdoen	v(fin,pres,lex)
niet	niet	adv(neg)
tegen	tegen	adp()
synen	zijn	pron(poss)
wil	willen	V(fin,pres,aux_cop)
op	op	Adp()
uwen	uw	Pron(poss)
legher	leger	N(sing)
wilt	willen	V(fin,pres,aux_cop)
doergronden	doorgronden	V(infin)
dit	dit	Pron(dem)
werck	werk	N(sing)
laet	laten	V(fin,pres,aux_cop)
af	af	PronAdv(rel)
tot	tot	adp()
desen	deze	pron(dem)
stonden	stond	N(plu)
my	ik	Pron(pers,1,sing)
te	te	Adp()
quellen	kwellen	V(infin)
met	met	adp()
dit	dit	pron(dem)
gheschil	geschil	N(sing)
offert	offeren	v(fin,pres,lex)
dan	dan	conj(comp)
een	een	Art(indef)
oprecht	oprecht	Adj()
'	?	punc(quest)
