ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
dat	dat	Conj(subord)
de	de	Art(def)
mensch	mens	n(sing)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
beschayen	beschamen	V(infin)
wil	willen	V(fin,pres,aux_cop)
hem	hij	pron(pers,3,sing)
van	van	Adp()
t	het	Art(def)
'	?	punc(quest)
quaet	kwaad	N(sing)
niet	niet	Adv(neg)
en	ne	Adv(neg)
wil	willen	v(fin,pres,aux_cop)
drayen	draaien	V(infin)
soo	zo	Adv(resum)
sal	zullen	V(fin,pres,aux_cop)
godt	god	N(sing)
dan	dan	Adv(dem)
syn	zijn	Pron(poss)
sweert	zwaard	N(sing)
scherp	scherp	N(sing)
'	?	punc(quest)
maken	maken	V(infin)
en	en	Conj(coord)
synen	zijn	Pron(poss)
booch	buigen	n(sing)
spannen	spannen	V(infin)
om	om	adp()
raken	geraken	n(sing)
alree	algeheel	Adv(gener)
heeft	hebben	V(fin,pres,aux_cop)
de	de	Art(def)
heer	heer	N(sing)
'	?	punc(quest)
der	de	Art(def)
heerscharen	heerschaar	N(plu)
syn	zijn	pron(poss)
wapenen	wapen	N(plu)
tsamen	tezamen	Adv()
gaen	gaan	v(infin)
paren	paard	V(infin)
hy	hij	Pron(pers,3,sing)
maeckt	maken	V(fin,pres,lex)
ghereet	gereed	Adv(gener)
schichten	schicht	V(infin)
seer	zeer	adv(gener)
snel	snel	Adj()
om	om	Adp()
te	te	Adp()
treffen	treffen	V(infin)
mijn	mijn	Pron(poss)
haters	hater	N(sing)
fel	fel	Adj()
en	en	Conj(coord)
d	d	Art(def)
'	?	punc(quest)
ander	ander	Adj()
vol	vol	adj()
van	van	adp()
ydel	ijdel	adj()
saken	zaak	n(plu)
die	die	pron(rel)
hem	hij	pron(pers,3,sing)
lastich	lastig	adj()
int	in+het	art(def)+adp()
quaet	kwaad	N(sing)
doen	doen	V(infin)
blaken	blaken	V(infin)
om	om	Adp()
voorts	voorts	Adv(gener)
te	te	Adp()
brenghen	brengen	v(infin)
met	met	Adp()
verdriet	verdriet	N(sing)
syn	zijn	Pron(poss)
ongheual	ongeval	N(sing)
en	en	Conj(coord)
anders	anders	Adv(gener)
niet	niet	adv(neg)
om	om	adp()
een	een	Art(indef)
groote	groot	adj()
grachte	gracht	N(sing)
te	te	adp()
grauen	graven	v(infin)
sietmen	zien+men	pron(indef)+v(fin,pres,lex)
hem	hij	pron(pers,3,sing)
sorchfuldichlyck	zorgvuldig	adj()
slauen	slaaf	v(infin)
maer	maar	Conj(coord)
hy	hij	Pron(pers,3,sing)
sal	zullen	V(fin,pres,aux_cop)
vallen	vallen	V(infin)
met	met	adp()
misual	misval	n(sing)
in	in	adp()
de	de	art(def)
gracht	gracht	n(sing)
die	die	Pron(rel)
hy	hij	Pron(pers,3,sing)
grauen	graven	V(infin)
sal	zullen	V(fin,pres,aux_cop)
het	het	pron(pers,3,sing)
quaet	kwaad	adj()
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
my	ik	Pron(pers,1,sing)
wilt	willen	V(fin,pres,aux_cop)
bereyden	bereiden	V(infin)
sal	zullen	V(fin,pres,aux_cop)
hem	hij	pron(pers,3,sing)
ouer	over	adp()
syn	zijn	Pron(poss)
hooft	hoofd	n(sing)
verspreyden	verspreiden	V(infin)
ia	ja	Interj()
ick	ik	Pron(pers,1,sing)
sie	zij	V(fin,pres,lex)
het	het	pron(pers,3,sing)
quaet	kwaad	adj()
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
doet	doen	V(fin,pres,lex)
hem	hij	Pron(pers,3,sing)
dalen	dalen	v(infin)
op	op	adp()
syn	zijn	Pron(poss)
hooft	hoofd	N(sing)
onsoet	onzoet	Adj()
hier	hier	Adv(dem)
om	om	adp()
gheue	geven	V(fin,pres,lex)
ick	ik	Pron(pers,1,sing)
den	de	Art(def)
grooten	groot	Adj()
heere	heer	N(sing)
om	om	Adp()
syn	zijn	Pron(poss)
recht	recht	N(sing)
oordeel	oordeel	N(sing)
prys	prijs	N(sing)
en	en	Conj(coord)
eere	eer	N(sing)
en	en	Conj(coord)
soo	zo	Adv(resum)
lang	lang	Adv(gener)
'	?	punc(quest)
hy	hij	Pron(pers,3,sing)
my	ik	Pron(pers,1,sing)
d	de	Art(def)
'	?	punc(quest)
leuen	leven	N(sing)
iont	gunnen	adj()
sal	zullen	v(fin,pres,aux_cop)
hem	hij	pron(pers,3,sing)
lof	lof	n(sing)
singhen	zingen	V(infin)
mynen	mijn	Pron(poss)
mont	mond	N(sing)
op	op	Adp()
v	uw	pron(poss)
hop	hoop	N(sing)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
heer	heer	N(sing)
t	het	Art(def)
'	?	punc(quest)
allen	al	Num(indef)
tijden	tijd	N(plu)
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
doch	doch	Adv(gener)
voor	voor	Adp()
al	al	Num(indef)
die	de	Pron(rel)
bevryden	bevrijden	v(fin,pres,lex)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
haeten	haten	V(infin)
met	met	Adp()
onuerstand	onverstand	N(sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
hen	zij	Pron(pers,3,plu)
niet	niet	Adv(neg)
vall	vallen	Adj()
'	?	punc(quest)
in	in	adp()
die	de	art(def)
hand	hand	n(sing)
dat	dat	conj(subord)
haer	haar	pron(poss)
ouerste	overst	N(sing)
my	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
vanghe	vangen	V(fin,pres,lex)
end	en	Conj(coord)
my	ik	Pron(pers,1,sing)
als	als	Conj(comp)
eenen	een	Art(indef)
leewe	leeuw	n(sing)
strange	strang	n(sing)
niet	niet	adv(neg)
verniel	vernielen	v(fin,past,lex)
'	?	punc(quest)
end	en	Conj(coord)
maeke	maken	V(fin,pres,lex)
ter	te+de	Art(def)+Adp()
schand	schande	N(sing)
'	?	punc(quest)
bloot	bloot	Adj()
sijnde	zijn	V(participle,pres)
van	van	Adp()
uwer	uw	Pron(poss)
bystandt	bijstand	N(sing)
godt	god	N(sing)
op	op	Adp()
wien	wie	Pron(inter)
ick	ik	Pron(pers,1,sing)
hop	hopen	V(fin,pres,lex)
'	?	punc(quest)
met	met	adp()
verlangen	verlangen	N(sing)
heb	hebben	v(fin,pres,aux_cop)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
myn	mijn	Pron(poss)
daeghen	dag	N(plu)
sulcks	zulk	Pron(indef)
begangen	beginnen	V(infin)
als	als	Conj(comp)
sy	zij	Pron(pers,3,plu)
toeschryuen	toeschrijven	V(infin)
uwen	uw	Pron(poss)
knecht	knecht	N(sing)
is	zijn	V(fin,pres,aux_cop)
in	in	Adp()
myn	mijn	Pron(poss)
hand	hand	N(sing)
eenigh	enig	Num(indef)
onrecht	onrecht	n(sing)
heb	hebben	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
quaed	kwaad	Adj()
vergolden	vergelden	V(infin)
met	met	adp()
quaede	kwaad	N(sing)
ofte	of	conj(coord)
gesocht	zoeken	v(participle,past)
der	de	art(def)
vromen	vroom	n(sing)
schaede	schade	n(sing)
heb	hebben	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
dien	die	Pron(dem)
vergramt	vergrammen	V(participle,past)
met	met	adp()
een	een	Art(indef)
woort	woord	N(sing)
die	die	Pron(rel)
t	het	Art(def)
'	?	punc(quest)
onrecht	onrecht	N(sing)
op	op	Adp()
my	ik	Pron(pers,1,sing)
was	zijn	V(fin,past,aux_cop)
gestoort	storen	v(participle,past)
so	zo	adv(resum)
moet	moeten	v(fin,pres,aux_cop)
myn	mijn	Pron(poss)
viandt	vijand	N(sing)
my	ik	Pron(pers,1,sing)
nae	na	Adp()
jaegen	jagen	V(infin)
van	van	adp()
hem	hij	pron(pers,3,sing)
werd	worden	v(fin,pres,aux_cop)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
nedergeslaegen	neergeslagen	V(participle,past)
hy	hij	Pron(pers,3,sing)
bringhe	brengen	V(fin,pres,lex)
myn	mijn	Pron(poss)
leuen	leven	N(sing)
te	te	Adp()
niet	niet	Adv(neg)
end	en	Conj(coord)
myn	mijn	Pron(poss)
eere	eer	N(sing)
daer	daar	pronadv(rel)
men	men	pron(indef)
op	op	Adp()
siet	zien	v(fin,pres,lex)
staet	staan	v(fin,pres,lex)
op	op	Adp()
heer	heer	N(sing)
wilt	willen	V(fin,pres,aux_cop)
opstaen	opstaan	V(infin)
in	in	Adp()
eeren	eer	n(sing)
vwen	uw	Pron(poss)
toorn	toorn	N(sing)
teghen	tegen	Adp()
hen	zij	Pron(pers,3,plu)
wilt	willen	V(fin,pres,aux_cop)
keeren	keren	V(infin)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
haeten	haten	V(infin)
helpt	helpen	V(imp)
my	ik	Pron(pers,1,sing)
gelijck	gelijk	Adv(gener)
aen	aan	Adp()
dat	dat	Conj(subord)
beloefde	beloofd	v(fin,past,lex)
koninghryck	koninkrijk	n(sing)
dat	dat	Conj(subord)
volck	volk	N(sing)
komme	komen	V(fin,pres,lex)
met	met	Adp()
grooten	groot	Adj()
hoopen	hoop	N(plu)
tot	tot	Adp()
uwer	uw	Pron(poss)
maiesteit	majesteit	n(sing)
geloopen	lopen	V(participle,past)
end	en	Conj(coord)
op	op	Adp()
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
ons	wij	Pron(pers,1,plu)
recht	recht	N(sing)
ontfaen	ontvangen	V(infin)
wilt	willen	v(fin,pres,aux_cop)
op	op	adp()
uwen	uw	Pron(poss)
rechterstoel	rechterhand	N(sing)
gaen	gaan	V(infin)
daer	daar	Adv(dem)
sult	zullen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
des	de	Art(def)
volcks	volk	N(sing)
rechter	recht	adj()
wesen	wezen	v(infin)
en	en	adv(neg)
sult	zullen	V(fin,pres,aux_cop)
heer	heer	N(sing)
myn	mijn	Pron(poss)
toevlucht	toevlucht	N(sing)
gepresen	prijzen	V(participle,past)
my	ik	Pron(pers,1,sing)
nae	na	Adp()
myne	mijn	Pron(poss)
gerechticheit	gerechtigheid	n(sing)
rechten	recht	V(infin)
end	en	Conj(coord)
nae	na	Adp()
myn	mijn	Pron(poss)
vromicheit	vroomheid	n(sing)
van	van	adp()
der	de	art(def)
boosheit	boosheid	N(sing)
wilt	willen	V(fin,pres,aux_cop)
een	een	Art(indef)
eynd	einde	N(sing)
'	?	punc(quest)
maeken	maken	v(infin)
der	de	Art(def)
boosen	boos	Adj()
end	en	Conj(coord)
neemt	nemen	V(fin,pres,lex)
aen	aan	Adp()
die	de	Art(def)
saeken	zaak	n(plu)
der	de	art(def)
vromen	vroom	N(plu)
ghy	gij	Pron(pers,2,plu)
die	die	Pron(rel)
t	het	Art(def)
'	?	punc(quest)
aller	al	Num(indef)
stond	stond	N(sing)
'	?	punc(quest)
elcks	elk	Pron(indef)
hert	hart	n(sing)
'	?	punc(quest)
ende	en	conj(coord)
nieren	nier	n(plu)
doergrondt	doorgronden	adj()
god	god	n(sing)
is	zijn	V(fin,pres,aux_cop)
myn	mijn	Pron(poss)
schilt	schild	N(sing)
end	en	Conj(coord)
myn	mijn	Pron(poss)
borcht	burcht	N(sing)
krachtigh	krachtig	Adj()
op	op	Adp()
hem	hij	Pron(pers,3,sing)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
hop	hopen	N(sing)
'	?	punc(quest)
aendachtigh	aandachtig	Adj()
die	die	pron(rel)
de	de	art(def)
vrome	vroom	N(sing)
helpt	helpen	V(fin,pres,lex)
end	en	Conj(coord)
behoedt	behoeden	V(fin,pres,lex)
ende	en	Conj(coord)
sy	zij	pron(pers,3,plu)
ouerwinnen	overwinnen	V(infin)
doet	doen	V(fin,pres,lex)
godt	god	N(sing)
is	zijn	V(fin,pres,aux_cop)
een	een	Art(indef)
oprecht	oprecht	adj()
rechter	recht	Adj()
machtigh	machtig	Adj()
des	de	Art(def)
vromen	vroom	n(sing)
mans	man	n(sing)
die	die	pron(rel)
hem	hij	pron(pers,3,sing)
valt	vallen	v(fin,pres,lex)
klachtigh	klachtig	Adj()
hy	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
dier	de	Pron(dem)
rechter	recht	Adj()
bekent	bekend	adj()
die	die	pron(rel)
hem	hij	pron(pers,3,sing)
vertoornen	vertoornen	v(infin)
sonder	zonder	adp()
eyndt	eind	N(sing)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
soeckt	zoeken	V(fin,pres,lex)
t	het	Art(def)
'	?	punc(quest)
onteeren	onteren	V(infin)
niet	niet	Adv(neg)
wilt	willen	V(fin,pres,aux_cop)
afstaen	afstaan	v(infin)
noch	noch	Conj(coord)
hem	hij	Pron(pers,3,sing)
bekeeren	bekeren	V(infin)
godt	god	N(sing)
sal	zullen	V(fin,pres,aux_cop)
scherpen	scherp	V(infin)
sijn	zijn	pron(poss)
sweerdt	zwaard	N(sing)
seer	zeer	Adv(gener)
fel	fel	Adj()
end	en	Conj(coord)
schieten	schieten	V(infin)
met	met	Adp()
den	de	art(def)
boghe	boog	n(sing)
snel	snel	adj()
van	van	Adp()
nu	nu	Adv(dem)
heeft	hebben	V(fin,pres,aux_cop)
bereydt	bereid	V(participle,past)
godt	god	N(sing)
almachtigh	almachtig	Adj()
doodlick	dodelijk	Adv(gener)
geschutt	geschut	V(fin,pres,lex)
end	en	Conj(coord)
waepen	wapen	V(infin)
krachtigh	krachtig	Adj()
hy	hij	Pron(pers,3,sing)
maeckt	maken	V(fin,pres,lex)
pylen	pijl	N(plu)
ter	te+de	Adp()+Art(def)
straff	straf	N(sing)
'	?	punc(quest)
bequaem	bekwaam	Adj()
der	de	Art(def)
ghener	gene	pron(dem)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
haeten	haten	V(infin)
t	het	Art(def)
'	?	punc(quest)
saem	samen	Adv(gener)
een	een	art(indef)
ander	ander	adj()
heeft	hebben	v(fin,pres,aux_cop)
quaed	kwaad	adj()
in	in	adp()
sijn	zijn	pron(poss)
sinnen	zin	N(plu)
hy	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
swangher	slang	Adj()
met	met	adp()
onrecht	onrecht	n(sing)
binnen	binnen	adv(gener)
dies	dat	pron(dem)
sal	zullen	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
baeren	baren	V(infin)
anders	anders	Adv(gener)
niet	niet	adv(neg)
dan	dan	conj(comp)
enckel	enkel	n(sing)
leughen	leugen	v(infin)
met	met	Adp()
verdriet	verdriet	N(sing)
om	om	Adp()
eenen	een	Art(indef)
diepen	diep	adj()
put	put	n(sing)
te	te	adp()
graeuen	graaf	v(infin)
