hoort	horen	v(imp)
colen	kool	N(plu)
die	de	Art(def)
licht	licht	n(sing)
op	op	adp()
den	de	art(def)
rijn	rijn	N(sing)
u	uw	Pron(poss)
papen	paap	N(plu)
leert	leren	V(fin,pres,lex)
beter	beter	Adj()
huys	huis	N(sing)
houwen	houwen	V(infin)
met	met	adp()
hoeren	haar	N(sing)
drincken	drinken	V(infin)
sy	zij	Pron(pers,3,plu)
den	de	Art(def)
wijn	wijn	N(sing)
haer	haar	pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
nu	nu	adv(dem)
bier	bier	n(sing)
te	te	adp()
bon	zon	n(sing)
ghebrouwen	vervrouwen	v(infin)
die	de	pron(rel)
bisschop	bisschop	N(sing)
heeft	hebben	v(fin,pres,aux_cop)
een	een	art(indef)
vrouw	vrouw	N(sing)
gaen	gaan	v(infin)
trouwen	trouw	V(infin)
hy	hij	Pron(pers,3,sing)
noyt	nooit	Adv(neg)
u	gij	Pron(pers,2,sing)
t	het	Art(def)
'	?	punc(quest)
sijnder	zijn	Pron(poss)
bruyloft	bruiloft	V(fin,pres,lex)
al	al	Adv(gener)
t	het	Art(def)
'	?	punc(quest)
capittel	kapittel	N(sing)
sorcht	zorgen	N(sing)
en	en	adv(neg)
is	zijn	v(fin,pres,aux_cop)
in	in	adp()
rouwen	rouw	n(sing)
dat	dat	conj(subord)
haer	zij	pron(pers,3,sing)
de	de	art(def)
feest	feest	N(sing)
veel	veel	num(indef)
costen	kosten	v(infin)
sal	zullen	v(fin,pres,aux_cop)
dit	dit	pron(dem)
bierken	bier	V(infin)
gist	gij+het	pron(pers,2,plu)+pron(pers,3,sing)
seer	zeer	Adv(gener)
schoon	schoon	Adj()
geblomt	gebloeid	V(participle,past)
en	en	Adv(neg)
is	zijn	v(fin,pres,aux_cop)
int	in+het	adp()+art(def)
ghijl	gijzel	n(sing)
wel	wel	adv(gener)
opgheheven	opheffen	V(participle,past)
ras	ras	Adv()
papen	paap	N(plu)
met	met	Adp()
u	gij	Pron(poss)
vaetkens	vaatje	N(sing)
comt	komen	v(fin,pres,lex)
men	men	pron(indef)
sal	zullen	v(fin,pres,aux_cop)
der	de	art(def)
tonnen	ton	n(sing)
vul	vol	adj()
bier	bier	n(sing)
gheven	geven	v(infin)
de	de	art(def)
bischop	bisschop	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
u	gij	Pron(poss)
lang	lang	adj()
gheschreven	schrijven	V(participle,past)
ghy	gij	Pron(pers,2,plu)
sullet	zullen	Pron(pers,3,sing)+V(fin,pres,aux_cop)
hebben	hebben	V(fin,pres,aux_cop)
goeden	goed	adj()
coop	loop	N(sing)
maer	maar	conj(coord)
drinckt	drinken	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
'	?	punc(quest)
t	het	Art(def)
eer	eer	N(sing)
dat	dat	Pron(dem)
heeft	hebben	v(fin,pres,aux_cop)
ghedreven	drijven	V(participle,past)
ghy	gij	Pron(pers,2,plu)
crijght	krijgen	V(fin,pres,lex)
buyck	buik	N(sing)
pijn	pijn	N(sing)
daer	daar	Adv(dem)
nae	na	Adp()
den	de	Art(def)
loop	loop	N(sing)
nochtans	nochtans	Adv(gener)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
goet	goed	Adj()
oock	ook	Adv(gener)
